case_label,display,time,configured_dp,mode,weighting,apparent_flux_integral,reference_flux_integral,flux_ratio,effective_cv_ratio,effective_h
mode4_raw_dp010,"mode 4 raw, dp=0.010",0.006032,0.01,4,raw,52.24438971451408,14.543623870330425,3.5922539100515882,3.5922539100515882,8.726109717744151
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.0,0.01,4,normalized,52.22870391036153,4099.121912940717,0.012741437073505474,0.012741437073505474,1.6624912797234082
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.001005,0.01,4,normalized,56.595806072149955,41.82437749194429,1.3531774880104495,1.3531774880104495,2.029342936046558
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.002011,0.01,4,normalized,54.071384389584885,28.31435651466818,1.9096808490623243,1.9096808490623243,2.2365224913182016
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.003016,0.01,4,normalized,53.695451991806976,22.33685316422298,2.4038951054131106,2.4038951054131106,2.5904986156325713
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.004022,0.01,4,normalized,24.72311521018799,18.770138847466768,1.3171514292513953,1.3171514292513953,1.4012595771380016
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.005027,0.01,4,normalized,21.736555593572444,16.338665295316975,1.3303752295974032,1.3303752295974032,1.2505894821350263
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",0.006032,0.01,4,normalized,54.20661530011755,14.543623870330425,3.727173899945337,3.727173899945337,3.385251263827656
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.0,0.01,4,diagnostic_capped,22.41332326666942,4099.121912940717,0.005467835244399955,0.005467835244399955,0.7134382378014049
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.001005,0.01,4,diagnostic_capped,38.9758712177042,41.82437749194429,0.9318936360788936,0.9318936360788936,1.3078245079700173
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.002011,0.01,4,diagnostic_capped,32.78528646012474,28.31435651466818,1.1579032863819598,1.1579032863819598,1.2179747260213205
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.003016,0.01,4,diagnostic_capped,7.481009196850479,22.33685316422298,0.33491777654843696,0.33491777654843696,0.2877035597642758
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.004022,0.01,4,diagnostic_capped,-1.9526987353210445,18.770138847466768,-0.10403219449730294,-0.10403219449730294,-0.07665376345912348
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.005027,0.01,4,diagnostic_capped,-9.977361329062546,16.338665295316975,-0.6106595091290767,-0.6106595091290767,-0.40961418299076824
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",0.006032,0.01,4,diagnostic_capped,-11.134991651345905,14.543623870330425,-0.7656270370180388,-0.7656270370180388,-0.47142781180830057
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.0,0.008,4,normalized,83.49702609234548,4099.121912940717,0.02036949079966362,0.02036949079966362,2.6577928872139487
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.001046,0.008,4,normalized,87.281093665453,40.911894663194644,2.133391630575673,2.133391630575673,3.386350348994608
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.002011,0.008,4,normalized,77.252685838672,28.31435651466818,2.728392778364977,2.728392778364977,3.9084652230422066
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.003056,0.008,4,normalized,37.24869813004308,22.16214126966638,1.6807355244606201,1.6807355244606201,2.286754721140961
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.004022,0.008,4,normalized,23.97431063806826,18.770138847466768,1.277258033778682,1.277258033778682,1.572784005559478
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.005067,0.008,4,normalized,38.93162916926654,16.257156810968123,2.39473787587512,2.39473787587512,2.9279683120230846
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",0.006032,0.008,4,normalized,42.58249955050858,14.543623870330425,2.927915348345785,2.927915348345785,4.249836087080698
mode4_normalized_dp0065,"mode 4 normalized, dp=0.0065",0.0,0.0065,4,normalized,115.08174533762482,4099.121912940717,0.028074731072115146,0.028074731072115146,3.663165726025134
