case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,sph_center_pressure,fv_center_pressure,center_error,sph_volume_mean_pressure,fv_volume_mean_pressure,volume_mean_error,apparent_boundary_flux_integral,fv_boundary_flux_integral,flux_ratio,effective_cv_ratio,effective_h
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.002011,844.1475190402556,1000.0000000000043,-155.85248095974873,850.2410199388801,766.125419923174,84.11560001570604,32.78528646012474,28.31435651466818,1.1579032863819598,1.1579032863819598,1.2179747260213205
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.003016,873.5049739479442,999.9999999992508,-126.49502605130658,830.9734062210387,718.0944968392885,112.87890938175019,7.481009196850479,22.33685316422298,0.33491777654843696,0.33491777654843696,0.2877035597642758
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.004022,844.5762120578297,999.9999987093851,-155.42378665155536,821.5182783001677,678.8508182714902,142.6674600286775,-1.9526987353210445,18.770138847466768,-0.10403219449730294,-0.10403219449730294,-0.07665376345912348
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.005027,864.4349063511999,999.9998895685092,-135.5649832173093,838.4469459649931,645.2867233282645,193.16022263672858,-9.977361329062546,16.338665295316975,-0.6106595091290767,-0.6106595091290767,-0.40961418299076824
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.006032,896.2242199342815,999.9978840064646,-103.77366407218312,859.8195448539333,615.7272911806482,244.0922536732851,-11.134991651345905,14.543623870330425,-0.7656270370180388,-0.7656270370180388,-0.47142781180830057
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,83.49702609234548,4099.121912940717,0.02036949079966362,0.02036949079966362,2.6577928872139487
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.001046,852.4917193748208,1000.000000000005,-147.50828062518417,833.1969183984526,828.037624637884,5.1592937605685165,87.281093665453,40.911894663194644,2.133391630575673,2.133391630575673,3.386350348994608
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.002011,754.7787993014259,1000.0000000000043,-245.2212006985784,665.9025880040934,766.125419923174,-100.22283191908059,77.252685838672,28.31435651466818,2.728392778364977,2.728392778364977,3.9084652230422066
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.003056,608.9789926480838,999.9999999988919,-391.0210073508081,540.9404583471324,716.3947810655859,-175.45432271845345,37.24869813004308,22.16214126966638,1.6807355244606201,1.6807355244606201,2.286754721140961
mode4_normalized_dp008,"mode 4 normalized, dp=0.008",C5h,finer,0.008,4,normalized,mode4_normalized,0.004022,615.2523509272987,999.9999987093851,-384.74764778208635,515.4760956044854,678.8508182714902,-163.3747226670048,23.97431063806826,18.770138847466768,1.277258033778682,1.277258033778682,1.572784005559478
