case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,r_over_R_min,r_over_R_max,r_over_R_mid,sph_count,sph_mean_pressure,sph_median_pressure,sph_p95_abs_pressure,sph_max_abs_pressure,fv_mean_pressure,fv_p95_pressure,fv_max_pressure,mean_error,p95_abs_error
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.4,0.6,0.5,66.0,944.9429799036648,944.6331879039,945.9595398609749,945.9595406546,996.6151225198826,999.8131283246148,999.8723226956603,-51.6721426162178,-53.85358846363988
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.6,0.8,0.7,158.0,944.0079692289585,943.8701741365,944.81279517046,944.8127980509,911.5454922623727,985.3885973080999,988.391030534977,32.46247696658577,-40.57580213763981
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.8,0.9,0.8500000000000001,138.0,941.8942891673679,941.6330245726,943.013536360575,943.0135399165,620.8336453147509,766.8523033069586,777.2078975510374,321.060643852617,176.16123305361646
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.9,0.95,0.925,72.0,939.9139953668249,940.3151255144501,940.3151292006249,940.3151305378,335.5541006785189,432.66125007512983,441.3692776055814,604.359894688306,507.6538791254951
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.004022,0.95,1.0,0.975,24.0,937.0501743513836,937.0501748885499,937.050176791755,937.0501769598,110.44351320770033,211.8105988433139,221.29956732133098,826.6066611436833,725.2395779484411
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.0,0.2,0.1,1.0,936.6481404294,936.6481404294,936.6481404294,936.6481404294,999.9973640556683,999.9997119606978,999.9998895685092,-63.349223626268326,-63.35157153129785
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.2,0.4,0.30000000000000004,26.0,949.9180985098344,950.3046751372999,952.87778829645,952.877788951,999.7779717493403,999.9886260740383,999.9932823582317,-49.85987323950587,-47.110837777588245
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.4,0.6,0.5,66.0,952.7190976837165,952.6351567926499,953.6589003795,953.6589019965,990.8850248625578,999.017574084926,999.273423484799,-38.16592717884123,-45.358673705425986
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.6,0.8,0.7,158.0,945.5091532610938,944.1107019978999,948.98579707051,949.2117794901,870.2459621533826,968.3707982884964,973.6938595599312,75.26319110771124,-19.385001217986428
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.8,0.9,0.8500000000000001,138.0,938.0279221396418,938.24117400795,939.95603664453,939.9560390303,559.8195237959226,703.5839297780057,714.395588183734,378.2083983437192,236.3721068665243
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.9,0.95,0.925,72.0,931.5554260172916,932.58260823105,932.58261408432,932.5826171706,295.0070031578053,382.2839467793008,390.21968788577186,636.5484228594862,550.2986673050192
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.005027,0.95,1.0,0.975,24.0,926.0702297904418,926.0702312771,926.0702345515449,926.0702385847,96.33296215423482,185.04096430866707,193.39354956246981,829.737267636207,741.0292702428778
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.0,0.2,0.1,1.0,947.0182187204,947.0182187204,947.0182187204,947.0182187204,999.976879947496,999.995744102576,999.997878833742,-52.958661227095945,-52.977525382176054
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.2,0.4,0.30000000000000004,32.0,946.8215191532936,947.1553152072499,947.27796355537,947.2779642135,999.1683910032857,999.9216741216715,999.9488553938023,-52.34687184999211,-52.64371056630148
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.4,0.6,0.5,60.0,944.8358478138633,944.9082088591999,945.253307028835,945.2533076282,981.841217702089,996.9858420890689,997.6494258170977,-37.00536988822569,-51.732535060233886
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.6,0.8,0.7,158.0,940.7256711333065,940.3137239878499,943.18802773757,943.1880296542,829.4917533438272,946.4532522953003,954.075546002426,111.23391778947928,-3.2652245577303347
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.8,0.9,0.8500000000000001,138.0,936.1142184741842,936.704300655,939.1089123942401,939.1089155976,510.5819362733064,649.6379055480651,660.5074826584186,425.53228220087783,289.471006846175
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.9,0.95,0.925,72.0,926.9357500370206,927.8427565193999,927.8427616116551,927.8427644622,264.3432430633254,343.71355774021094,350.99751984342424,662.5925069736952,584.1292038714441
mode3_shell_dp010,"mode 3 shell, dp=0.010",C5e,coarse,0.01,3,n/a,mode3_shell,0.006033,0.95,1.0,0.975,24.0,918.1931361340124,918.1931363453,918.19314479975,918.1931462967,85.85804296813694,165.09566018581774,172.5858179258674,832.3350931658755,753.0974846139322
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.0,0.2,0.1,7.0,1000.0,1000.0,1000.0,1000.0,999.9999999999999,1000.0,1000.0,1.1368683772161603e-13,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.2,0.4,0.30000000000000004,26.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.4,0.6,0.5,90.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.6,0.8,0.7,134.0,1000.0,1000.0,1000.0,1000.0,999.9999999999999,1000.0,1000.0,1.1368683772161603e-13,0.0
