time,r,r_over_R,pressure,cell_volume_no4pi
0.0,0.005052083333333334,0.10104166666666667,1000.0,2.658796899112643e-09
0.0,0.00515625,0.103125,1000.0,2.7695644048997107e-09
0.0,0.005260416666666667,0.10520833333333333,1000.0,2.8825924720293132e-09
0.0,0.005364583333333334,0.10729166666666667,1000.0,2.997881100501539e-09
0.0,0.00546875,0.10937499999999999,1000.0,3.1154302903163524e-09
0.0,0.005572916666666667,0.11145833333333334,1000.0,3.2352400414737896e-09
0.0,0.005677083333333334,0.11354166666666668,1000.0,3.3573103539737616e-09
0.0,0.00578125,0.11562499999999999,1000.0,3.481641227816348e-09
0.0,0.005885416666666667,0.11770833333333335,1000.0,3.6082326630015406e-09
0.0,0.005989583333333334,0.11979166666666667,1000.0,3.737084659529347e-09
0.0,0.00609375,0.121875,1000.0,3.86819721739968e-09
0.0,0.0061979166666666675,0.12395833333333335,1000.0,4.001570336612654e-09
0.0,0.006302083333333333,0.12604166666666666,1000.0,4.137204017168198e-09
0.0,0.0064062500000000005,0.128125,1000.0,4.275098259066392e-09
0.0,0.006510416666666668,0.13020833333333334,1000.0,4.415253062307077e-09
0.0,0.006614583333333333,0.13229166666666667,1000.0,4.557668426890429e-09
0.0,0.006718750000000001,0.134375,1000.0,4.70234435281636e-09
0.0,0.006822916666666666,0.13645833333333332,1000.0,4.8492808400848535e-09
0.0,0.006927083333333334,0.13854166666666667,1000.0,4.9984778886960314e-09
0.0,0.007031250000000001,0.140625,1000.0,5.149935498649682e-09
0.0,0.007135416666666667,0.14270833333333333,1000.0,5.303653669945966e-09
0.0,0.007239583333333334,0.14479166666666668,1000.0,5.4596324025848815e-09
0.0,0.0073437500000000005,0.146875,1000.0,5.617871696566394e-09
0.0,0.007447916666666667,0.14895833333333333,1000.0,5.7783715518904144e-09
0.0,0.007552083333333334,0.15104166666666669,1000.0,5.941131968557085e-09
0.0,0.00765625,0.15312499999999998,1000.0,6.106152946566353e-09
0.0,0.007760416666666667,0.15520833333333334,1000.0,6.273434485918199e-09
0.0,0.007864583333333335,0.1572916666666667,1000.0,6.442976586612696e-09
0.0,0.00796875,0.159375,1000.0,6.614779248649736e-09
0.0,0.008072916666666667,0.16145833333333334,1000.0,6.788842472029249e-09
0.0,0.008177083333333335,0.1635416666666667,1000.0,6.965166256751589e-09
0.0,0.00828125,0.165625,1000.0,7.143750602816296e-09
0.0,0.008385416666666666,0.16770833333333332,1000.0,7.324595510223794e-09
0.0,0.008489583333333335,0.1697916666666667,1000.0,7.507700978973836e-09
0.0,0.00859375,0.171875,1000.0,7.693067009066281e-09
0.0,0.008697916666666666,0.17395833333333333,1000.0,7.880693600501587e-09
0.0,0.008802083333333334,0.17604166666666665,1000.0,8.070580753279225e-09
