case,variant,part,time,dp,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,lateral_active_targets,cap_leakage_proxy,velocity_gradient_norm,shear_rate_proxy
CaseM3n_Dp0075Overhang045,dp0075_overhang045,7,0.000905,0.0075,1521,-3,1,0.017500272,0.025000365,0.087499678,0.03051684404074591,1.0172281346915304,0.8749967799999999,edge_ring,127,110,0.0074996730012195185,11.104289316015159,0.8556402405709271,0.0014606705395758984,-0.034643903,23085146.0,-2763.765451403,-106.15728,54.12694033333333,80.04756459810439,1.478885821092832,120.0,0.80000174,0.0,0.0,0.0,7.0,1273.2819,0.0,0.4634175,163.9004129784187,0.764631,180,0.0,0.08921396680680116,0.12603015733321937
CaseM3n_Dp0075Overhang045,dp0075_overhang045,7,0.000905,0.0075,1626,-3,1,0.025000365,0.017500272,0.087499678,0.03051684404074591,1.0172281346915304,0.8749967799999999,edge_ring,127,110,0.0074996730012195185,11.104289316015157,0.855640240570927,0.0014606705581415205,-0.034643907,23085148.0,-2763.767845517,-106.15727,54.126932000000004,80.04756252397571,1.4788860104610346,120.0,0.80000174,0.0,0.0,0.0,7.0,1273.282,0.0,0.4634175,163.9004129784187,0.764631,180,0.0,0.0892139672570164,0.12603015765345585
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1139,-1,1,0.0024999999,-0.027500881,0.035000011,0.027614279915944957,0.9204759971981653,0.35000011,lateral_surface,101,101,0.007499987000003263,8.89222611588088,0.6851944120155454,0.000884132859484229,0.028324233,-18774000.0,-18003.2651501,-7.9229088,-13.062341366666667,41.12568602459336,-3.148416112408497,119.99984,0.80004925,-1.2009531e-07,1.2716765e-07,0.0,0.0,-13.062351,1.2716765e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04018064721505653,0.05674293260712605
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,719,-1,1,-0.027500881,0.0024999999,0.035000011,0.027614279915944957,0.9204759971981653,0.35000011,lateral_surface,101,101,0.007499987000003263,8.892226115880883,0.6851944120155455,0.0008841327994097008,0.028324228,-18773996.0,-18003.26546422,-7.9229116,-13.0623384,41.125680310389704,-3.1484163900079105,119.99984,0.80004925,-1.2009194e-07,1.2716409e-07,0.0,0.0,-13.062348,1.2716409e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04018064208569687,0.056742925343952054
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1679,-1,1,0.032500882,0.0024999999,0.035000011,0.03259689142047021,1.086563047349007,0.35000011,lateral_surface,101,101,0.007499987000003263,8.892225259130514,0.6851943459982673,0.000884132906106257,0.028324233,-18774000.0,-18003.26552063,-7.9229045,-13.0623451,41.12568597949617,-3.148415209110971,119.99984,0.80004925,-1.2009401e-07,1.2716627e-07,0.0,0.0,-13.062355,1.2716627e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04018064566706283,0.05674293066804247
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1259,-1,1,0.0024999999,0.032500882,0.035000011,0.03259689142047021,1.086563047349007,0.35000011,lateral_surface,101,101,0.007499987000003263,8.892225259130514,0.6851943459982673,0.0008841328571292762,0.028324233,-18774000.0,-18003.26584958,-7.922905,-13.062345899999999,41.12568586046683,-3.148415007174694,119.99984,0.80004925,-1.2009274e-07,1.2716494e-07,0.0,0.0,-13.062356,1.2716494e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04018064534304243,0.056742930149344985
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1140,-1,1,0.0024999999,-0.027500881,0.042500004,0.027614279915944957,0.9204759971981653,0.42500003999999997,lateral_surface,101,101,0.0074999929999999965,8.892224155614505,0.6851942609663537,0.000882144808439603,0.027702432,-18359102.0,-18060.45983524,-7.4477825,-13.180320933333332,40.58627418790752,-3.079308492804899,119.99972,0.80004948,-2.0700321e-07,2.1885793e-07,0.0,0.0,-13.180331,2.1885793e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.039943937302280304,0.05648805091430346
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1141,-1,1,0.0024999999,-0.027500881,0.049999997,0.027614279915944957,0.9204759971981653,0.49999996999999996,lateral_surface,101,101,0.007499989000000273,8.892228584945697,0.6851946022704256,0.0008840237144389894,0.02595856,-17194426.0,-17731.82734181,-8.1773367,-12.7111313,40.843078209686695,-3.2131741263412716,119.99971,0.8000496,-2.1426297e-07,2.2648854e-07,0.0,0.0,-12.711142,2.2648854e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04081365332520162,0.057675609675994124
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1142,-1,1,0.0024999999,-0.027500883,0.057499986,0.027614281907731894,0.9204760635910632,0.57499986,lateral_surface,101,101,0.007499974000008059,8.892243297422054,0.6851957359467914,0.0008976456958612424,0.021832058,-14438418.0,-16720.13305194,-11.100086,-11.0971664,42.40879018289664,-3.8215873002405942,119.99986,0.80004919,-1.0802066e-07,1.1434802e-07,0.0,0.0,-11.097177,1.1434802e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04454976434435704,0.0628105722045307
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,720,-1,1,-0.027500881,0.0024999999,0.042500004,0.027614279915944957,0.9204759971981653,0.42500003999999997,lateral_surface,101,101,0.0074999929999999965,8.892224155614505,0.6851942609663537,0.000882144808699235,0.02770243,-18359100.0,-18060.46018494,-7.4477844,-13.180320633333332,40.58627546036717,-3.079308659436065,119.99972,0.80004948,-2.0700354e-07,2.1885828e-07,0.0,0.0,-13.18033,2.1885828e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.039943936876489006,0.05648805029581559
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,721,-1,1,-0.027500881,0.0024999999,0.049999997,0.027614279915944957,0.9204759971981653,0.49999996999999996,lateral_surface,101,101,0.007499989000000273,8.892228584945695,0.6851946022704255,0.0008840237747599569,0.02595856,-17194426.0,-17731.82774642,-8.1773348,-12.711130599999999,40.843072996014165,-3.2131738931243587,119.99971,0.8000496,-2.1426162e-07,2.264871e-07,0.0,0.0,-12.711141,2.264871e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04081365687848072,0.05767561472047722
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,722,-1,1,-0.027500883,0.0024999999,0.057499986,0.027614281907731894,0.9204760635910632,0.57499986,lateral_surface,101,101,0.007499974000008059,8.892243297422054,0.6851957359467914,0.0008976456972016251,0.021832056,-14438417.0,-16720.13297566,-11.100089,-11.097163266666664,42.4087891319862,-3.821588284581924,119.99986,0.80004919,-1.0802253e-07,1.1435e-07,0.0,0.0,-11.097173,1.1435e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.044549763777394905,0.06281057147454244
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1680,-1,1,0.032500882,0.0024999999,0.042500004,0.03259689142047021,1.086563047349007,0.42500003999999997,lateral_surface,101,101,0.0074999929999999965,8.892223242545741,0.6851941906094368,0.0008821449186770809,0.027702434,-18359102.0,-18060.45972358,-7.4477859,-13.180320766666666,40.58627626434586,-3.0793086892839123,119.99972,0.80004948,-2.0699912e-07,2.188536e-07,0.0,0.0,-13.180331,2.188536e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.03994394020003788,0.056488055003113026
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1681,-1,1,0.032500882,0.0024999999,0.049999997,0.03259689142047021,1.086563047349007,0.49999996999999996,lateral_surface,101,101,0.0074999890000000055,8.892227698781685,0.6851945339866662,0.0008840236544062724,0.025958549,-17194418.0,-17731.8266503,-8.1773367,-12.711129933333334,40.84307112503368,-3.2131739144549125,119.99971,0.8000496,-2.1425363e-07,2.2647866e-07,0.0,0.0,-12.71114,2.2647866e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04081364534518163,0.057675598413857096
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1682,-1,1,0.032500882,0.0024999999,0.057499986,0.03259689142047021,1.086563047349007,0.57499986,lateral_surface,101,101,0.007499974000008059,8.892243901281175,0.6851957824774227,0.0008976455863665581,0.021832054,-14438416.0,-16720.13240799,-11.100084,-11.097163933333333,42.40878140217981,-3.821587358441518,119.99986,0.80004919,-1.080176e-07,1.1434478e-07,0.0,0.0,-11.097174,1.1434478e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.0445497545358489,0.0628105583168594
