variant,time,count,failed_count,status_-3,status_-1,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045_ref,0.001307,407,8,0,8,98.0,0.8048302688579905,0.04656537306701046,0.06485329996354289,30.691473416158907,39.878416218362645,2.202626982156307,3528.4258,120.00576670761666,0.8000129894840293,4.270695642712531e-06,1.2523657582651104e-05,0.37523749999999795,0.7865990000000023,-53.84884194299752,0.152254013627195,-11933.738850861184,27468794.0,0.004052436567187129,112.0,0.0
overhang045_ref,0.001408,407,8,0,8,98.0,0.8048315373202395,0.048169552984955656,0.06690050798953676,32.41590111365273,41.893765153883784,2.128022964354012,3749.1155,120.00638484029503,0.800010298108108,4.728532976633907e-06,1.4947857755503689e-05,0.37523749999999795,0.7865990000000023,-56.63039974668307,0.16011868303262952,-11994.395091468736,29765292.0,0.004307565089915021,112.0,0.0
overhang045_ref,0.001508,407,8,0,8,98.0,0.804832439637168,0.049795231190901415,0.0689662068642195,34.43904453952822,43.66578204111089,1.995019108663932,3979.8662,120.00704744471737,0.8000072555528271,5.2189014001228495e-06,1.7385900900859952e-05,0.37523749999999795,0.7865990000000023,-59.540117544810805,0.16834571628538533,-11282.03569244444,31091686.0,0.004535063342970476,112.0,0.0
overhang045_ref,0.001609,407,16,8,8,98.0,0.8048328716342854,0.05142905902489529,0.07104419096085664,36.78512922460523,45.49178497217172,1.3940743502558914,4195.7783,120.00767071253065,0.8000040396314504,5.680360389459462e-06,1.9738217861965596e-05,0.37523749999999795,0.7865990000000023,-62.79995382511063,0.1775626862244712,-10416.03959532626,31419126.0,0.004738649323101798,112.0,0.0
overhang045_ref,0.001709,407,8,8,0,98.0,0.8059848251581619,0.05300182521541587,0.07305191510028562,39.38204075129649,46.668172902390346,2.1295034153963504,4377.6377,120.00824948402949,0.8000006223095812,6.108709515366097e-06,2.2403552751402953e-05,0.37523749999999795,0.7865990000000023,-65.88487509085998,0.18628509561131418,-9435.979408371495,31055066.0,0.004921571723418509,112.0,0.0
overhang045_ref,0.00181,407,5,5,0,98.0,0.8059847247020981,0.05441780961323515,0.07485822191424257,41.99921574967157,47.85546168574413,2.012304634946079,4523.0405,120.00889695331693,0.7999969855773958,6.588240595552828e-06,2.5020568956191653e-05,0.37523749999999795,0.7865990000000023,-69.07696737722848,0.1953105239201065,-8386.847073789753,30141300.0,0.005085039693923268,112.0,0.0
overhang045_ref,0.00191,407,0,0,0,98.0,0.8064278804322499,0.05559753593977247,0.0763485454653811,44.69106233610156,48.704254462184835,1.9116470771303873,4653.9385,120.00950751842758,0.7999932628746922,7.040174004201476e-06,2.7761717990737124e-05,0.37523749999999795,0.7865990000000023,-72.12382688452075,0.20392531622027316,-7305.243099073669,28928542.0,0.005230113191467355,112.0,0.0
overhang045_ref,0.002011,407,1,1,0,98.0,0.8064270954828726,0.056489805600362424,0.07745063824894705,47.32740687613431,49.55385101905933,1.8053254930637646,4753.9561,120.01012280098267,0.7999896097051599,7.495559229999998e-06,3.0499950910761673e-05,0.29300729999999936,0.7793350000000028,-75.14568389400495,0.2124694156233481,-6228.379137561113,28895830.0,0.005357580112150533,112.0,0.0
overhang045_ref,0.002111,407,0,0,0,98.0,0.8064261512707664,0.057083527079460294,0.07815031161701248,49.807096222776394,50.19689318751491,1.68612244288192,4792.6309,120.01076653562669,0.7999860748894343,7.972272662334155e-06,3.3331262814987726e-05,0.29300729999999936,0.7793350000000028,-77.89794839093382,0.22025126015520707,-5190.454113959656,30690110.0,0.00546846041612936,112.0,0.0
overhang045_ref,0.002212,407,5,5,0,98.0,0.8066592862092974,0.057396200369146375,0.0784731280968548,52.160280951998374,51.055129501476564,1.570000323248826,4773.7407,120.01136343980353,0.7999827834152339,8.414090322285015e-06,3.607690130319409e-05,0.29300729999999936,0.7793350000000028,-80.68765638665845,0.22813897368573335,-4221.799646008609,32308504.0,0.0055639347688556575,112.0,0.0
overhang045_ref,0.002312,407,4,4,0,98.0,0.8066581599460466,0.05742472951691576,0.07841065165214636,54.28199719528261,51.710090997114044,1.4562164418686119,4704.4575,120.01195452088461,0.7999796877886973,8.851504606093367e-06,3.8932630380343966e-05,0.29300729999999936,0.7793350000000028,-83.12330096004916,0.23502559647440147,-3348.6383202238203,33770148.0,0.0056452810910078,112.0,0.0
overhang045_ref,0.002413,407,4,4,0,98.0,0.8066571049663658,0.057325494869498714,0.07819577313278496,56.155381960687976,52.44613697644233,1.3605461038787283,6994.145,120.0125196068797,0.7999768923587208,9.270067877616708e-06,4.178628869656019e-05,0.29300729999999936,0.7793350000000028,-85.40500323857492,0.2414769576787075,-2781.1210073916955,35144484.0,0.005716756157183762,112.0,0.0
overhang045_ref,0.002513,407,0,0,0,98.0,0.8066558270990618,0.05713842941123976,0.07788417137947945,57.7672806338247,52.547076185076776,1.272468625199547,4453.793,120.01304272727297,0.7999744570270271,9.657091496987718e-06,4.495001389950862e-05,0.29300729999999936,0.7793350000000028,-87.12929475724808,0.2463522770896472,-2154.271753740912,36441872.0,0.005778676546033171,112.0,0.0
