case,frame_index,kind,mode,surface_excess_count,surface_excess_max,surface_excess_maxAbs,surface_excess_mean,surface_excess_median,surface_excess_p90_abs,surface_excess_p95_abs,surface_excess_p99_abs,surface_threshold,time
compression_raw,5,compression,4,278,44.77695537454,48.06883209047,-13.170399108469178,-14.360048978025,38.305004251718,39.27595605644435,48.068721403878904,0.95,0.005027
compression_raw,6,compression,4,398,117.3157145518,195.0849976479,-34.556169746870566,-4.782572294882,195.08442698749002,195.084666488665,195.084815679213,0.85,0.006032
compression_raw,6,compression,4,350,117.3157145518,195.0849976479,-37.61018983844583,-4.782572294882,195.08449564190002,195.08467000078502,195.08485248422102,0.9,0.006032
compression_raw,6,compression,4,278,117.3157145518,195.0849976479,-44.55336126672555,-1.645705629319,195.08457204919,195.08468637361997,195.084895343033,0.95,0.006032
compression_normalized,0,compression,4,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
compression_normalized,0,compression,4,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
compression_normalized,0,compression,4,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
compression_normalized,1,compression,4,398,67.29280918791,67.29280918791,57.42105414422742,57.483214974805,64.984956181471,65.049235912695,67.2928037366194,0.85,0.001005
compression_normalized,1,compression,4,350,67.29280918791,67.29280918791,56.55825213415745,56.674595452325,64.984950074294,64.9849554450735,67.2928044906898,0.9,0.001005
compression_normalized,1,compression,4,278,67.29280918791,67.29280918791,54.554113431083785,55.61321791902,63.136724323565005,63.1367362629835,67.29280562179541,0.95,0.001005
compression_normalized,2,compression,4,398,272.8507860712,272.8507860712,255.22082908235296,257.6555784901,272.85075240773,272.85076156613,272.850775350546,0.85,0.002011
compression_normalized,2,compression,4,350,272.8507860712,272.8507860712,252.82632607549561,255.70898825544998,272.85075519505,272.850763466505,272.85077548408196,0.9,0.002011
compression_normalized,2,compression,4,278,269.0821105706,269.0821105706,247.9717647307295,253.83329056079998,268.79439183125,268.79441551640997,269.082091901769,0.95,0.002011
compression_normalized,3,compression,4,398,221.8284313456,221.8284313456,195.19081115551037,194.56640130305,221.82832966837,221.828356955395,221.82839078968,0.85,0.003016
compression_normalized,3,compression,4,350,221.8284313456,221.8284313456,197.84294712348265,195.9113359804,221.82833250712,221.8283612077,221.82839582776,0.9,0.003016
compression_normalized,3,compression,4,278,221.8284313456,221.8284313456,202.65289344978984,195.91140398815,221.82834280901,221.82836658136,221.828402789111,0.95,0.003016
compression_normalized,4,compression,4,398,123.8111386703,123.8111386703,78.26843356289481,70.692657282805,123.8110136544,123.81106494266,123.81111114117301,0.85,0.004022
compression_normalized,4,compression,4,350,123.8111386703,123.8111386703,78.94569458609868,70.69263075706,123.81102520888,123.81106977395,123.811111303941,0.9,0.004022
compression_normalized,4,compression,4,278,123.8111386703,123.8111386703,81.02449941951734,65.86405616584,123.81104394697,123.811079841525,123.811111617967,0.95,0.004022
compression_normalized,5,compression,4,398,155.2084908834,155.2084908834,118.4796175490086,125.6527310002,146.4425380007,155.20844296745,155.20848395525996,0.85,0.005027
compression_normalized,5,compression,4,350,139.5066122886,139.5066122886,114.0436100440823,125.6526078654,134.30377141425,139.50653349814,139.506569171455,0.9,0.005027
compression_normalized,5,compression,4,278,133.6085939108,133.6085939108,108.34721770928026,110.25240047055,133.60834031201,133.60839219704002,133.60845021511798,0.95,0.005027
compression_normalized,6,compression,4,398,182.9576197402,182.9576197402,86.54954480678128,85.29959002357,125.9029000198,131.556911832785,182.957573761014,0.85,0.006032
compression_normalized,6,compression,4,350,182.9576197402,182.9576197402,84.41988317002053,85.299507832305,125.90296205370001,131.556922822965,182.957575351638,0.9,0.006032
compression_normalized,6,compression,4,278,182.9576197402,182.9576197402,82.33418751400023,72.38348102391501,131.55677173522,131.556953202075,182.95758421649,0.95,0.006032
