case_id,time_s,z_m,excess,analytical_excess
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.045000002,10000.0,9987.879476638229
l3c_mode1,0.0,0.055,10000.0,10004.936473417667
l3c_mode1,0.0,0.064999998,10000.0,10011.36732507999
l3c_mode1,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode1,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode1,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode1,0.0,0.105,10000.0,10009.042092269858
l3c_mode1,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode1,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode1,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode1,0.0,0.105,10000.0,10009.042092269858
l3c_mode1,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode1,0.0,0.085000001,10000.0,9989.66581587038
l3c_mode1,0.0,0.094999999,10000.0,10008.426440125531
l3c_mode1,0.0,0.105,10000.0,10009.042092269858
l3c_mode1,0.0,0.075000003,10000.0,9993.24311187619
l3c_mode1,0.0,0.085000001,10000.0,9989.66581587038
