time_s,nfluid,vel_max,vel_mean,mean_settlement_m,PorePress_max,PorePress_mean,ExcessPorePress_maxAbs,ExcessPorePress_mean,bottom_excess_mean,top_drained_excess_maxAbs,bottom_no_flux_proxy,PorePressRate_maxAbs,DivVel_contribution_maxAbs,hydraulic_contribution_maxAbs,PorePressureAccelDiff_maxAbs
0.08,1000,1.2675778e-06,7.07596504e-07,-2.671e-09,9763.58885,4906.64785,2.63910383,1.64761827,2.63844808,5.14069143e-09,5.92282612e-05,30024.871,7.5100788e-06,4.74821386e-05,0.0024822697
0.085,1000,1.4603536e-06,8.15610157e-07,-6.61e-10,9761.05706,4905.05171,0.106943188,0.0514969556,0.106662604,6.83210999e-09,-4.59210246e-05,7129.2383,9.1205957e-06,6.73225882e-06,0.000377487271
0.09,1000,4.3402278e-07,1.62159249e-07,-6.1e-11,9760.30173,4904.57606,0.64885168,-0.424155788,-0.648676236,1.87441174e-09,4.63723264e-06,14475.199,3.7561288e-06,2.1365685e-05,0.00098277186
0.095,1000,2.6625833e-07,1.19285898e-07,-9.60999999e-10,9761.18958,4905.1376,0.239237152,0.137382437,0.239178658,1.22744837e-09,7.27377255e-06,1031.3169,1.6450051e-06,6.24927625e-07,0.000249500041
0.1,1000,1.4020894e-07,8.82497665e-08,-3.66e-10,9761.00656,4905.02271,0.0562188847,0.0224902492,0.0561590459,5.95754557e-10,-4.89929689e-06,409.2478,1.278945e-06,1.81624567e-06,0.000151427622
0.105,1000,8.7970669e-08,9.7776335e-09,-3.66e-10,9760.87214,4904.93871,0.0782606404,-0.0615016987,-0.0782588455,2.49414711e-10,-3.93739994e-07,3176.4836,5.183702e-07,4.96201529e-06,0.000245754462
0.11,1000,9.1435417e-08,1.75735359e-08,-3.66e-10,9760.96967,4905.00071,0.0305124737,0.000489965525,0.0192675143,3.31098704e-10,1.00455454e-06,1714.8982,3.810448e-07,2.51647401e-06,0.000121962945
0.115,1000,4.4957595e-08,1.3581145e-08,-3.66e-10,9760.96258,4904.99665,0.0300754,-0.0035613644,0.0121756527,6.31672492e-11,-6.92785941e-07,1262.807,2.9215607e-07,2.15573394e-06,0.000118535632
0.12,1000,5.172776e-08,8.66080229e-09,-3.66e-10,9760.94184,4904.98395,0.0345690937,-0.0162620424,-0.0085603479,1.28515865e-10,-3.68883957e-07,1531.028,2.4600635e-07,2.4279052e-06,0.000126431041
0.125,1000,5.0930463e-08,7.14772765e-09,-3.66e-10,9760.9519,4904.99066,0.0290902934,-0.00955542091,0.00149986085,1.45945478e-10,-1.68872157e-07,1308.7523,2.3643589e-07,2.0426422e-06,0.000104650561
0.13,1000,4.1586002e-08,7.50506234e-09,-3.66e-10,9760.95302,4904.9917,0.0269616508,-0.00851513027,0.00261253656,1.05650599e-10,-2.88171304e-07,1126.213,2.0825175e-07,1.79595515e-06,9.4942997e-05
0.135,1000,3.8632571e-08,6.9291083e-09,-3.66e-10,9760.9501,4904.99016,0.0264693857,-0.0100606809,-0.000309319294,1.00200737e-10,-2.75712682e-07,1083.993,1.9619871e-07,1.7112895e-06,9.0008704e-05
0.14,1000,3.6197122e-08,6.39657669e-09,-3.66e-10,9760.95106,4904.99105,0.024687135,-0.00916356107,0.000649856501,1.00200737e-10,-2.3354869e-07,1002.0367,1.8474587e-07,1.57265545e-06,8.19794891e-05
0.145,1000,3.2833992e-08,6.12755514e-09,-3.66e-10,9760.95151,4904.99161,0.0232398755,-0.00860549232,0.00110787401,8.93081165e-11,-2.60991419e-07,901.45386,1.7101829e-07,1.41875025e-06,7.54701617e-05
0.15,1000,3.0273576e-08,5.83412887e-09,-3.66e-10,9760.95113,4904.99162,0.0221998564,-0.00859112152,0.000723301531,8.16910983e-11,-4.00812496e-08,898.94055,1.5963715e-07,1.40753721e-06,6.82665051e-05
0.155,1000,2.8246069e-08,5.51627517e-09,-3.66e-10,9760.95104,4904.99182,0.0211790431,-0.00839915933,0.000637646501,7.84226017e-11,-2.67515497e-07,790.93695,1.5080118e-07,1.23730275e-06,6.56528869e-05
0.16,1000,2.626679e-08,5.27004162e-09,-3.66e-10,9760.95116,4904.99212,0.0201628647,-0.00809222194,0.000753815435,7.2972739e-11,-2.61179775e-07,728.87854,1.419306e-07,1.13836595e-06,6.11810486e-05
0.165,1000,2.4514708e-08,5.04851578e-09,-3.66e-10,9760.95112,4904.99233,0.0192510794,-0.00788233519,0.000715604667,6.97042424e-11,-2.27428882e-07,697.95367,1.3405332e-07,1.08826198e-06,5.69473954e-05
0.17,1000,2.2980691e-08,4.83195718e-09,-3.86e-10,9760.95105,4904.99251,0.0184496661,-0.00770928407,0.000641098862,6.64357458e-11,-2.57489228e-07,643.3161,1.2708632e-07,1.00075127e-06,5.37928178e-05
0.175,1000,2.1628619e-08,4.63550268e-09,-3.86e-10,9760.95103,4904.99271,0.0176908518,-0.0075074973,0.000621047539,6.20872243e-11,-2.59947319e-07,605.8844,1.2072397e-07,9.42705403e-07,5.05555999e-05
0.18,1000,2.0172951e-08,4.47290122e-09,-3.91e-10,9760.95103,4904.99292,0.0169389886,-0.00729124892,0.000626209704,5.77244919e-11,-2.99676412e-07,577.32385,1.1460723e-07,8.97853211e-07,4.74818319e-05
0.185,1000,1.9241721e-08,4.30463282e-09,-3.91e-10,9760.95079,4904.993,0.0163421772,-0.00721350089,0.000381508838,5.77244919e-11,-2.5703057e-07,540.07098,1.0942768e-07,8.38729867e-07,4.50081923e-05
0.19,1000,1.8033417e-08,4.13866593e-09,-3.91e-10,9760.95083,4904.9932,0.0156919944,-0.00701269668,0.000421735816,5.22817345e-11,-1.10168094e-07,547.52155,1.0396431e-07,8.46884811e-07,4.10990656e-05
0.195,1000,1.7367523e-08,3.99084755e-09,-3.91e-10,9760.95092,4904.99346,0.0150477974,-0.0067540007,0.000517031898,5.01003683e-11,-2.44035709e-07,485.43338,9.9094876e-08,7.53102956e-07,4.01809701e-05
0.2,1000,1.655919e-08,3.85084151e-09,-3.91e-10,9760.95066,4904.99349,0.0145943764,-0.00672450941,0.000256020986,4.79190021e-11,-2.54387396e-07,461.83987,9.4883653e-08,7.14366972e-07,3.83755799e-05
