id,kind,mk,x,y,z,r,theta,z_over_H,region,volume_weight
1004,top_platen,1,0.027030508113438323,-0.029484769477297005,0.10500000000000001,0.04,-0.8287974071493391,,top_platen,7.391982714328922e-07
1005,top_platen,1,0.03198807452068339,-0.024015892414382737,0.10500000000000001,0.04,-0.6439978392911155,,top_platen,7.391982714328922e-07
1006,top_platen,1,0.035856325415593235,-0.01772918293918483,0.10500000000000001,0.04,-0.45919827143289305,,top_platen,7.391982714328922e-07
1007,top_platen,1,0.03850353215339734,-0.010838727402804156,0.10500000000000001,0.04,-0.27439870357466956,,top_platen,7.391982714328922e-07
1008,top_platen,1,0.03983954728361427,-0.003579172004341661,0.10500000000000001,0.039999999999999994,-0.0895991357164461,,top_platen,7.391982714328922e-07
1009,top_platen,1,0.03981887441335803,0.003802267803984989,0.10500000000000001,0.039999999999999994,0.09520043214177652,,top_platen,7.391982714328922e-07
1010,top_platen,1,0.04227177207813205,0.015430401335495312,0.10500000000000001,0.045,0.35000000000000003,,top_platen,3.51362336256753e-07
1011,top_platen,1,0.039155479618445996,0.022177655778946974,0.10500000000000001,0.045,0.5153469817678838,,top_platen,3.51362336256753e-07
1012,top_platen,1,0.03497112774548619,0.0283199615855828,0.10500000000000001,0.04499999999999999,0.6806939635357677,,top_platen,3.51362336256753e-07
1013,top_platen,1,0.02983285467055575,0.033689772664793984,0.10500000000000001,0.045000000000000005,0.8460409453036515,,top_platen,3.51362336256753e-07
1014,top_platen,1,0.023880819088660528,0.038140614568392406,0.10500000000000001,0.045,1.0113879270715354,,top_platen,3.51362336256753e-07
1015,top_platen,1,0.017277377014675875,0.041551079931726805,0.10500000000000001,0.045,1.1767349088394192,,top_platen,3.51362336256753e-07
1016,top_platen,1,0.010202653134491334,0.04382814015010509,0.10500000000000001,0.04499999999999999,1.342081890607303,,top_platen,3.51362336256753e-07
1017,top_platen,1,0.0028496274731296106,0.04490968295662289,0.10500000000000001,0.04499999999999999,1.507428872375187,,top_platen,3.51362336256753e-07
1018,top_platen,1,-0.004581128597274675,0.044766206682890074,0.10500000000000001,0.045,1.6727758541430708,,top_platen,3.51362336256753e-07
1019,top_platen,1,-0.011886923421656276,0.04340162498763934,0.10500000000000001,0.045,1.8381228359109547,,top_platen,3.51362336256753e-07
1020,top_platen,1,-0.018868473961991785,0.04085316010231813,0.10500000000000001,0.045000000000000005,2.0034698176788384,,top_platen,3.51362336256753e-07
1021,top_platen,1,-0.025335341719084824,0.03719032750564587,0.10500000000000001,0.04499999999999999,2.1688167994467222,,top_platen,3.51362336256753e-07
