id,region,r_over_R,z_over_H,support_proxy,volume_weighted_support_proxy,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance
226,interior,0.6666666666666667,0.39999999999999997,16.439934898672245,1.0079396226955212e-05,182,182,0.007349980712662809
227,interior,0.6666666666666667,0.39999999999999997,16.440273396849538,1.0079665064110515e-05,181,181,0.007349980712662818
228,lateral_surface,1.0,0.39999999999999997,11.179298266514138,5.599217121213125e-06,128,128,0.007519994013858254
229,lateral_surface,1.0,0.39999999999999997,11.179454410035408,5.599332474720468e-06,127,127,0.007519994013858254
230,lateral_surface,1.0,0.39999999999999997,11.179476038686493,5.59934835491523e-06,126,126,0.00751999401385825
231,lateral_surface,1.0000000000000002,0.39999999999999997,11.179302419411599,5.599220236147996e-06,128,128,0.00751999401385825
232,lateral_surface,0.9999999999999999,0.39999999999999997,11.179425778647744,5.599311252033659e-06,127,127,0.007519994013858252
233,lateral_surface,1.0,0.39999999999999997,11.179497534526094,5.599364300344544e-06,126,126,0.007519994013858244
234,lateral_surface,1.0000000000000002,0.39999999999999997,11.179311926672915,5.599227261118777e-06,127,127,0.007519994013858244
235,lateral_surface,0.9999999999999999,0.39999999999999997,11.179396242971894,5.599289364658341e-06,126,126,0.007519994013858264
236,lateral_surface,0.9999999999999999,0.39999999999999997,11.1795132854843,5.599376001409661e-06,129,129,0.007519994013858237
237,lateral_surface,1.0,0.39999999999999997,11.179326378149725,5.59923789400565e-06,128,128,0.007519994013858237
238,lateral_surface,1.0,0.39999999999999997,11.179367959708284,5.599268419602508e-06,126,126,0.007519994013858239
239,lateral_surface,0.9999999999999998,0.39999999999999997,11.179521919857253,5.599382431622593e-06,129,129,0.007519994013858239
240,lateral_surface,1.0,0.39999999999999997,11.179345405783694,5.599251882505591e-06,125,125,0.007519994013858265
241,lateral_surface,1.0000000000000002,0.39999999999999997,11.179342865066431,5.599249858239019e-06,125,125,0.007519994013858265
242,lateral_surface,1.0000000000000002,0.39999999999999997,11.179522662680942,5.5993830102724584e-06,129,129,0.007519994013858237
243,lateral_surface,1.0,0.39999999999999997,11.179368530152257,5.599268900675206e-06,125,125,0.007519994013858237
244,lateral_surface,0.9999999999999999,0.39999999999999997,11.17932253978399,5.599234856388585e-06,126,126,0.007519994013858265
245,lateral_surface,1.0,0.39999999999999997,11.179515451124558,5.599377688389769e-06,128,128,0.007519994013858238
246,lateral_surface,1.0,0.39999999999999997,11.179394802630373,5.599288268742579e-06,125,125,0.007519994013858238
247,lateral_surface,1.0,0.39999999999999997,11.17930806886282,5.599224215257262e-06,125,125,0.007519994013858239
248,lateral_surface,1.0,0.39999999999999997,11.179500888628572,5.59936691269464e-06,127,127,0.00751999401385824
249,lateral_surface,1.0000000000000002,0.39999999999999997,11.179422751814965,5.599308910074352e-06,126,126,0.00751999401385824
250,lateral_surface,1.0,0.39999999999999997,11.179299992878756,5.59921832220447e-06,126,126,0.007519994013858265
251,lateral_surface,0.9999999999999999,0.39999999999999997,11.179480051294092,5.599351478002573e-06,127,127,0.007519994013858237
252,lateral_surface,1.0000000000000002,0.39999999999999997,11.179450490556727,5.599329429310356e-06,126,126,0.007519994013858237
253,measurement_core,0.0,0.5,17.766116903881958,1.3669761709694228e-05,222,222,0.009999999999999995
254,measurement_core,0.3333333333333333,0.5,17.69600001144562,1.2914008173807917e-05,225,225,0.0076536686473017935
255,measurement_core,0.33333333333333337,0.5,17.696000434443356,1.2914008321410066e-05,228,228,0.007653668647301794
256,measurement_core,0.3333333333333333,0.5,17.696000685667077,1.2914008406725362e-05,227,227,0.007653668647301794
257,measurement_core,0.33333333333333337,0.5,17.696000694709742,1.2914008408132741e-05,227,227,0.007653668647301791
258,measurement_core,0.3333333333333333,0.5,17.696000464488677,1.2914008327795775e-05,229,229,0.007653668647301791
259,measurement_core,0.33333333333333337,0.5,17.6960000456736,1.2914008180316503e-05,225,225,0.007653668647301787
260,measurement_core,0.3333333333333333,0.5,17.695999717414992,1.291400806971167e-05,226,226,0.007653668647301787
261,measurement_core,0.33333333333333337,0.5,17.695999698877582,1.2914008064018915e-05,226,226,0.0076536686473017935
262,interior,0.6666666666666669,0.5,16.440391954028268,1.0079750297359962e-05,182,182,0.007349980712662811
263,interior,0.6666666666666669,0.5,16.439832734768707,1.0079323940286158e-05,183,183,0.007349980712662811
264,interior,0.6666666666666666,0.5,16.440451624165078,1.007979908448359e-05,183,183,0.007349980712662814
265,interior,0.6666666666666667,0.5,16.439794155969544,1.007929165099704e-05,182,182,0.007349980712662811
266,interior,0.6666666666666666,0.5,16.440467551562918,1.0079814206129674e-05,182,182,0.007349980712662811
267,interior,0.6666666666666667,0.5,16.439800833373656,1.007929427893516e-05,182,182,0.007349980712662811
268,interior,0.6666666666666667,0.5,16.44043763990012,1.0079793612732757e-05,182,182,0.00734998071266281
269,interior,0.6666666666666667,0.5,16.43985188731266,1.0079331477672626e-05,183,183,0.00734998071266281
270,interior,0.6666666666666667,0.5,16.440366120145306,1.0079740179551919e-05,180,180,0.007349980712662811
271,interior,0.6666666666666667,0.5,16.43994042432131,1.0079398276603003e-05,182,182,0.007349980712662811
272,interior,0.6666666666666669,0.5,16.440262842712457,1.0079661258643194e-05,180,180,0.00734998071266281
273,interior,0.6666666666666667,0.5,16.44005454556927,1.0079485753475839e-05,183,183,0.00734998071266281
274,interior,0.6666666666666667,0.5,16.440141776234366,1.0079567593814537e-05,181,181,0.00734998071266281
275,interior,0.6666666666666666,0.5,16.44017888983355,1.0079582169774507e-05,181,181,0.00734998071266281
276,interior,0.6666666666666667,0.5,16.440019132090875,1.0079471829403837e-05,183,183,0.007349980712662809
277,interior,0.6666666666666667,0.5,16.440296696057224,1.0079674535533997e-05,181,181,0.007349980712662809
278,interior,0.6666666666666669,0.5,16.43991127831173,1.0079386808997809e-05,182,182,0.007349980712662823
279,lateral_surface,1.0,0.5,11.179324946488187,5.599236635476737e-06,126,126,0.007519994013858256
280,lateral_surface,1.0,0.5,11.179512822516937,5.599375561248201e-06,127,127,0.0075199940138582526
281,lateral_surface,0.9999999999999999,0.5,11.179396119340412,5.599289469680806e-06,127,127,0.0075199940138582526
282,lateral_surface,0.9999999999999999,0.5,11.179308067558042,5.599224135987647e-06,125,125,0.0075199940138582526
