case,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,time
mode4_boundary_particles,132,68.12767993104,68.12767993104,64.05686161273924,65.107754871575,68.127667932703,68.12767020080099,68.12767462899,1,compression,4,0.9,0.8,0.001005
mode4_boundary_particles,72,62.19168238314,62.19168238314,61.5257022981136,62.19166726249,62.191675863586,62.191678504797004,62.191680570630695,1,compression,4,0.95,0.9,0.001005
mode4_boundary_particles,54,64.31556521481,64.31556521481,58.10515056460686,59.575104567,62.89342239590002,64.3155604331445,64.3155647985003,1,compression,4,1.0,0.95,0.001005
mode4_boundary_particles,7,387.8827222011,387.8827222011,372.1628747608857,369.5429035199,376.87884516078,382.38078368094,386.78233449706806,2,compression,4,0.2,0.0,0.002011
mode4_boundary_particles,26,351.3059567578,351.3059567578,338.2012140511461,334.56268820625,351.3059464642,351.3059509877,351.305955614675,2,compression,4,0.4,0.2,0.002011
mode4_boundary_particles,90,307.584413404,307.584413404,298.28175303764885,300.64837808059997,307.58439347419005,307.58439990506497,307.584409169914,2,compression,4,0.6,0.4,0.002011
mode4_boundary_particles,134,287.7045984448,287.7045984448,265.27953130075974,260.0125961473,287.70457992517004,287.70458677574004,287.704593159423,2,compression,4,0.8,0.6,0.002011
mode4_boundary_particles,132,241.5431528059,241.5431528059,232.13554168940377,234.08919026265,241.54313184153,241.543142521045,241.543150301923,2,compression,4,0.9,0.8,0.002011
mode4_boundary_particles,72,223.0637479171,223.0637479171,221.88153028671388,223.06371692625,223.06373757068002,223.06374017406,223.06374677549098,2,compression,4,0.95,0.9,0.002011
mode4_boundary_particles,54,219.9236325472,219.9236325472,217.10121264542218,218.1832138001,219.92361790593998,219.92362320826004,219.923630746419,2,compression,4,1.0,0.95,0.002011
mode4_boundary_particles,1,2.76268475244,2.76268475244,2.76268475244,2.76268475244,2.76268475244,2.76268475244,2.76268475244,3,compression,4,0.2,0.0,0.003016
mode4_boundary_particles,32,112.5854603075,112.5854603075,85.08244988552813,80.48112455823,112.58543670353001,112.58544460068501,112.58545560535799,3,compression,4,0.4,0.2,0.003016
mode4_boundary_particles,90,115.3606031932,115.3606031932,112.05468446565331,113.058576656,115.36057695453,115.36059375505499,115.360599913372,3,compression,4,0.6,0.4,0.003016
mode4_boundary_particles,134,110.5040056694,110.5040056694,89.04554148554462,88.38993127312,110.50397364004999,110.50397984601999,110.503992174974,3,compression,4,0.8,0.6,0.003016
mode4_boundary_particles,132,84.89615168826,84.89615168826,78.71963810461034,76.99035657633,83.058253191544,84.896129449713,84.8961440526363,3,compression,4,0.9,0.8,0.003016
