source_stage,case,return_status,boundary_class,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3f,half_speed_adaptive,-3,bottom_cap_zone,8,8,0,0,0.33339515,-1.6039638124999998e-05,-1.6039638125e-06,0.0199981455,42.532030166666665,68.84569712829686,1.6186944929808034,119.92084499999999,0.8001135300000002,-5.8637549124999996e-05,0.0001565630075,100.0,1406.1837,0.0285304,0.0004454405411834878,18955824.0,0.25461399999999995,0
M3f,half_speed_adaptive,-3,edge_corner,152,152,0,0,0.7419400419328338,0.049924549811052654,0.004992454981105266,0.007741798742014995,30.842239982236844,62.643629020327914,2.047735809702575,119.76538894736832,0.8003339439473682,-0.00017397434075953945,0.00030872736008552613,139.0,1946.7706,0.039860282,0.002253409382591342,26547298.0,0.2513267605263157,0
M3f,half_speed_adaptive,-3,top_cap_zone,3,3,0,0,1.2635572496615921e-11,0.9331947066666667,0.09331947066666668,0.02999999999962093,49.68547555555556,70.85710166666668,1.4261279816223125,119.85988666666667,0.8001873899999999,-0.00010384490633333333,0.0004997901266666666,101.0,2124.1304,0.032902155,0.0019192278,21818852.0,0.255561,0
M3f,half_speed_adaptive,-1,bottom_cap_zone,17,0,17,0,0.3787061793087231,0.04706002768068234,0.004706002768068236,0.018638814620738308,3.1106676862745104,22.64456412994064,7.315992634544449,119.9986505882353,0.8000524429411766,-9.982223182352944e-07,1.0373012676470589e-06,91.0,0.22328201,0.042833209,0.0002708978497153547,28533644.0,0.2098010676470588,0
M3f,half_speed_adaptive,-1,edge_corner,52,0,52,0,0.9047015562464653,0.06923051152934785,0.0069230511529347945,0.002858953312606047,4.302429410064104,24.75224093990878,5.921550738137463,119.99929461538467,0.8000502984615387,-5.209485086538463e-07,5.44789133076923e-07,91.0,0.27766177,0.04320972,0.0011146787718663985,28766642.0,0.21356550769230778,0
M3f,half_speed_adaptive,-1,interior_ring,36,0,36,0,0.3947010262216433,0.37777778111111104,0.037777778111111104,0.018158969213350702,3.979519045370371,22.03279065827807,5.632223454954577,119.99996555555556,0.8000497600000002,-2.55792075e-08,2.657081277777778e-08,55.0,0.3355858,0.038046431,0.000194690569407779,25349680.0,0.23916369999999987,0
M3f,half_speed_adaptive,-1,lateral_surface,28,0,28,0,0.689160733407239,0.3428571414285714,0.03428571414285713,0.009325177997782822,3.769801230952381,22.07651309746941,6.074447744499129,119.99978571428571,0.8000502428571429,-1.5868365000000002e-07,1.6451860357142858e-07,72.0,0.29487425,0.034902349,0.0006409641316942907,23234240.0,0.2391636999999998,0
M3f,half_speed_ramp_adaptive,-3,bottom_cap_zone,8,8,0,0,0.33341831666666666,-2.2119739625e-05,-2.2119739625e-06,0.019997450499999996,42.27484483333333,68.73249801112071,1.6258486171172395,119.87807,0.8001708399999999,-9.035447324999999e-05,0.000237230475,101.0,1435.8082,0.028511634,0.0004769464847144767,18929614.0,0.25352475,0
M3f,half_speed_ramp_adaptive,-3,edge_corner,184,184,0,0,0.7559551854904348,0.10862758391641827,0.01086275839164184,0.007321344435287008,30.661375115942015,62.60383534015511,2.0526693138213745,119.78818500000015,0.8003034184782606,-0.0001570357165869565,0.00027892371634239153,149.0,2396.0356,0.0444941,0.0025428430319889587,29537976.0,0.2557726413043474,0
M3f,half_speed_ramp_adaptive,-3,top_cap_zone,5,5,0,0,0.37727914241367516,0.9998758879999998,0.0999875888,0.018681625727589746,43.9324876,69.12388634428002,1.583233767721433,119.849708,0.800207256,-0.0001114038072,0.00037243227800000004,98.0,1652.8634,0.040429853,0.0020635002892256445,26833748.0,0.2540645,0
