source_stage,case,return_status,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3f,ramp_improved_adaptive,-3,1232,1232,0,0,0.4884636113403973,0.688463470942181,0.06884634709421798,0.015346091659788024,44.27000226895029,68.44795675600088,1.5814838188993183,119.07824047077851,0.8012623832629835,-0.0006964901971996588,0.002583271450852271,318.0,4349.6602,0.081304953,0.005214000821264201,54042556.0,0.28947076603084654,0
M3f,ramp_improved_adaptive,-1,474,0,474,0,0.8345403198570046,0.5809987201825717,0.058099872018257274,0.004963790404289838,10.702284741132198,35.14213964690606,4.487586172814007,113.1816994704644,0.809823038270046,-0.005397941633203881,0.008097476600029681,412.0,0.70252359,0.11537866,0.006318300925761995,76617312.0,0.21757426128692095,0
M3h,adaptive_line,-3,215,215,0,0,0.38152483278005894,0.4966362669771931,0.049663626697719364,0.018554255016598235,45.72050436883724,69.50071915121222,1.5399258407603411,119.89852069767454,0.8001400540930234,-7.523266990139537e-05,0.0003356253947999998,168.0,4512.1865,0.071406551,0.004117663029849749,47429716.0,0.2878493474418598,0
M3h,adaptive_line,-1,343,0,343,0,0.8193399208773728,0.4759135933451645,0.047591359334516414,0.005419802373678829,10.34806041123421,35.69272379143755,4.797965350051297,119.61051553935873,0.8005645616034994,-0.00028974650868731754,0.0004721706036998247,214.0,1.4385655,0.11523959,0.0063158947346164855,76510096.0,0.30700742157434413,0
M3h,admissible_line,-3,70,70,0,0,0.4294987137862554,0.4941575774830289,0.04941575774830287,0.017115038586412338,43.2334978504762,83.94245142937204,2.072191959105669,119.80635242857139,0.8002493697142856,-0.00014365131342571432,0.0004641325353,24.0,4604.748,0.072419919,0.0038848526,48084448.0,0.2943715971428576,0
M3h,admissible_line,-1,395,0,395,0,0.7116196037319468,0.20631559883683004,0.020631559883682912,0.008651411888041603,-15.15978376441435,47.790792971847765,-22.10530957454211,119.96232820253199,0.800099048405063,-2.7978374094582276e-05,4.798157773967089e-05,0.0,122.34028,0.10061236,0.005916646641902406,66923092.0,0.2913368671012638,0
M3h,baseline,-3,70,70,0,0,0.4294987137862554,0.4941575774830289,0.04941575774830287,0.017115038586412338,43.233497873809526,83.94245139006766,2.072191956696671,119.80635242857139,0.8002493697142856,-0.00014365131342571432,0.0004641325353,11.0,4604.748,0.072419919,0.0038848526,48084448.0,0.2943715971428576,0
M3h,baseline,-1,395,0,395,0,0.7116196037319468,0.20631559883683004,0.020631559883682912,0.008651411888041603,-15.15978376441435,47.790792971847765,-22.10530957454211,119.96232820253199,0.800099048405063,-2.7978374094582276e-05,4.798157773967089e-05,0.0,122.34028,0.10061236,0.005916646641902406,66923092.0,0.2913368671012638,0
M3h,half_speed_adaptive_line,-3,163,163,0,0,0.7082334206983354,0.06372998389064409,0.006372998389064414,0.008752997379049958,31.762780032515348,63.09919320930195,2.015237932291439,119.77475791411037,0.8003204287730057,-0.000167022913542638,0.0003047756636380367,152.0,2124.1304,0.039860282,0.002253409382591342,26547298.0,0.2515660282208588,0
M3h,half_speed_adaptive_line,-1,133,0,133,0,0.6540467928755364,0.2075188507526144,0.0207518850752614,0.010378596213733928,3.9505624066917298,23.18343571061205,6.053662363870258,119.99949729323308,0.8000504151127822,-3.7160222203007515e-07,3.874152378195489e-07,91.0,0.3355858,0.04320972,0.0011146787718663985,28766642.0,0.22540226578947317,0
M3h,quarter_speed_line,-3,37,37,0,0,0.6851238677873747,0.6323586293006485,0.06323586293006488,0.009446283966378768,30.764640935135127,62.560757825562916,2.0546992951354595,119.80555675675674,0.8002801818918917,-0.00014412880135135134,0.0002467289859459459,108.0,999.22864,0.020206824,0.0012573738305505396,13395024.0,0.2333226216216217,0
M3h,quarter_speed_line,-1,33,0,33,0,0.790634713860677,0.04848503232900909,0.00484850323290091,0.006280958584179694,3.866333158787878,24.528404572175134,6.472932386439763,119.99858090909093,0.8000517254545457,-1.0484181203030301e-06,1.095163189090909e-06,91.0,0.22904183,0.032587651,0.0009262929229085542,21665748.0,0.14381224999999995,0
