source_stage,case,part,time,idp,return_status,original_region,x,y,z,r,r_over_R,z_over_H,distance_to_bottom_platen,distance_to_top_platen,distance_to_lateral_boundary,distance_to_edge_corner,near_bottom_platen,near_top_platen,near_lateral_surface,in_measurement_core,boundary_class,nearest_platen_role,neighbor_count_available,neighbor_count,local_distribution_metric_available,local_distribution_metric,strain_increment_proxy_available,strain_increment_proxy,axial_velocity_gradient_proxy_available,axial_velocity_gradient_proxy,radial_velocity_gradient_proxy_available,radial_velocity_gradient_proxy,trial_state_available,trial_p,trial_q,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,line_search_backtracks,line_search_reject_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
M3d2,baseline,2,0.001005,414,-1,interior,0.010000101,-0.010000101,0.020000005,0.014142278459300753,0.4714092819766918,0.20000005,0.020000005,0.079999995,0.015857721540699247,0.025523862020908627,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.9538233333333337,26.3276913026441,-8.913089352887534,119.99969,0.80005103,-2.2951676e-07,2.3841592e-07,0.0,0.0,-2.9538338,0.0,0.0,0.0,2.3841592e-07,-21326.2447854,-24254424.0,0.036411412,0.00019016246546510086,nan
M3d2,baseline,2,0.001005,415,-1,interior,0.010000102,-0.010000102,0.029999999,0.014142279873514314,0.4714093291171438,0.29999999,0.029999999,0.070000001,0.015857720126485685,0.03393327611077289,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.3833727666666669,24.910026022084118,-18.00673442640234,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833827,0.0,0.0,0.0,0.0,-20548.64290768,-21592390.0,0.032409851,0.00019200645941040785,nan
M3d2,baseline,2,0.001005,467,-1,edge,0.020000558,-0.020000558,-1.6089267e-08,0.028285060378629708,0.9428353459543236,-1.6089266999999998e-07,-1.6089267e-08,0.10000001608926701,0.0017149396213702907,0.001714939621445764,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.8814714333333342,35.05128296772906,-18.629718393135516,119.99983,0.80004817,-1.2447812e-07,1.3347561e-07,0.0,0.0,-1.8814813,0.0,0.0,0.0,1.3347561e-07,-14936.04359381,-21742362.0,0.032592114,0.0011129176015273578,nan
M3d2,baseline,2,0.001005,468,-1,edge,0.020000555,-0.020000555,0.009999997,0.028285056135989018,0.9428352045329673,0.09999997,0.009999997,0.09000000300000001,0.0017149438640109808,0.010145983069999571,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.9666863999999998,27.8388272570022,-28.798198937113636,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96669656,0.0,0.0,0.0,0.0,-19350.99338922,-26701478.0,0.040063176,0.0010826389487713975,nan
M3d2,baseline,2,0.001005,479,-1,edge,0.020000389,-0.01000028,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.010000009,0.089999991,0.007638847072887298,0.012583805648651757,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.5000486666666664,25.755477735286938,-7.358605604708813,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000587,0.0,0.0,0.0,0.0,-20984.2606353,-27050680.0,0.040608749,0.0006625133878638938,nan
M3d2,baseline,2,0.001005,480,-1,lateral_boundary,0.020000385,-0.010000277,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.020000001,0.079999999,0.0076388519922398895,0.021409159249240695,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.7869791333333337,24.905541400519123,-31.647016223961437,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698903,0.0,0.0,0.0,0.0,-20306.3694314,-22372544.0,0.033584654,0.0006367210935005045,nan
M3d2,baseline,2,0.001005,159,-1,edge,-0.030000759,2.8116574e-14,-1.7046998e-08,0.030000759,1.0000253,-1.7046998e-07,-1.7046998e-08,0.100000017046998,-7.589999999994823e-07,7.591914120562916e-07,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.511518333333333,31.983004263789766,-12.734529483342985,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115283,0.0,0.0,0.0,0.0,-15650.70766909,-22767610.0,0.034136418,0.0011099043840021867,nan
M3d2,baseline,2,0.001005,160,-1,edge,-0.030000756,1.6161328e-14,0.009999997,0.030000756,1.0000252,0.09999997,0.009999997,0.09000000300000001,-7.560000000010614e-07,0.009999997028576808,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.9556055666666663,25.34694304420722,-8.57588824776559,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556158,0.0,0.0,0.0,0.0,-20244.42217367,-27926256.0,0.041912846,0.001084068777995578,nan
M3d2,baseline,2,0.001005,204,-1,edge,-0.020000296,4.3128824e-14,0.010000013,0.020000296,0.6666765333333334,0.10000012999999999,0.010000013,0.089999987,0.009999703999999998,0.01414193551419978,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.415033,25.804062143303796,-5.844591001540373,119.9977,0.80005389,-1.7053248e-06,1.7668332e-06,0.0,0.0,-4.4150434,0.0,0.0,0.0,1.7668332e-06,-22691.59638106,-28763492.0,0.043204997,0.00042619696850578886,nan
M3d2,baseline,2,0.001005,205,-1,lateral_boundary,-0.02000029,-8.5403901e-15,0.020000003,0.02000029,0.6666763333333334,0.20000002999999997,0.020000003,0.079999997,0.009999709999999998,0.02236055276785681,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.849514133333333,25.598815453776602,-8.983572025253078,119.9985,0.80005276,-1.1101752e-06,1.1510039e-06,0.0,0.0,-2.849524,0.0,0.0,0.0,1.1510039e-06,-21866.87280724,-23219268.0,0.034879915,0.0003966796541178195,nan
