case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,excess_std,divvel_mean,divvel_std,porepressrate_mean,porepressrate_std,kplastic_max,kplastic_mean,fi_min,fi_mean,fi_median,fi_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,mean_pore_pressure_for_total_proxy,class_interior_count,class_lateral_count,class_top_count,class_bottom_count,class_edge_count,class_outside_count,label,porepressrate_maxabs
T4_raw_reference,3,0.000804,center_core_medium,15,0.049999371711711704,-8.235830899205876e-07,2.765861883133334e-06,2015.7439514602665,108.87878588560523,2015.7439514602665,108.87878588560523,-0.015371809799999999,0.0008193015065524372,10247324.6,545695.8199364429,0.0,0.0,0.998344142297654,0.9989401623747782,0.9983441986422368,1.0013240050962455,-7.530552226666668,-7.530551466666667,-0.05684758580000001,2.651773033333333e-08,-1.0231406091818933e-08,1.3213064419999773e-07,5.039317093044445,7.4737042608667,0.05684758580000001,7.530551846666667,2015.7439514602665,15,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,3,0.000804,center_core_large,45,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,1926.8318031948668,181.84813503141086,1926.8318031948668,181.84813503141086,-0.014715514111111109,0.001366506239552047,9809841.922222223,910514.5614380301,0.0,0.0,0.9767007701815174,0.989056027844183,0.9983439155047913,1.0013240050962455,-7.382360764444444,-7.382360120000001,0.3134202866888888,-2.9432979103343687e-09,2.2389045212851185e-08,7.079042306543413e-08,4.817100199251852,7.695780728911132,-0.3134202866888888,7.382360442222223,1926.8318031948668,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,3,0.000804,full_excluding_caps_edges,259,0.049999371711711704,-8.235830899205876e-07,2.5773263175521244e-06,2144.3469570709344,922.4841857479759,2144.3469570709344,922.4841857479759,-0.01754908337915058,0.010966716453595234,11698624.14980695,7309179.523213031,0.0,0.0,0.5748070542424327,0.7940941507619093,0.862229577518956,1.0013240050962455,-7.446921484555987,-7.446921169884166,-1.1894619047837847,-1.7083318082324204e-08,9.296131466495041e-10,-5.941514287001743e-09,5.361101519741312,6.257459422436298,1.1894619047837847,7.4469213272200765,2144.3469570709344,63,196,0,0,0,0,T4 raw gradient,
T4_raw_reference,3,0.000804,zhao_measurement_cylinder,45,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,1926.8318031948668,181.84813503141086,1926.8318031948668,181.84813503141086,-0.014715514111111109,0.001366506239552047,9809841.922222223,910514.5614380301,0.0,0.0,0.9767007701815174,0.989056027844183,0.9983439155047913,1.0013240050962455,-7.382360764444444,-7.382360120000001,0.3134202866888888,-2.9432979103343687e-09,2.2389045212851185e-08,7.079042306543413e-08,4.817100199251852,7.695780728911132,-0.3134202866888888,7.382360442222223,1926.8318031948668,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,4,0.000905,center_core_small,1,0.04999753126126119,-3.049865699988885e-06,3.3700262520000007e-06,1751.694242425,0.0,1751.694242425,0.0,0.003400604,0.0,-2267302.5,0.0,0.0,0.0,1.0013230209303106,1.0013230209303106,1.0013230209303106,1.0013230209303106,-11.063162,-11.063162,8.9896479,2.6819026e-07,-1.0179524e-06,-4.0509002e-07,4.378892033333334,20.052809900000096,-8.9896479,11.063162,1751.694242425,1,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,4,0.000905,center_core_medium,15,0.04999753126126119,-3.049865699988885e-06,3.7926277477933335e-06,2348.0632638248,325.1686522709785,2348.0632638248,325.1686522709785,-0.00496018752,0.0036147722944155016,3305344.6006666664,2408847.599510292,0.0,0.0,0.9983439365055462,0.998939822908034,0.9983439716008249,1.0013231743466533,-12.840958533333334,-12.8409574,8.070476726666667,2.8544237446666664e-07,-7.592024006772387e-07,-4.3992834066012656e-07,5.870479735555556,20.91143469333342,-8.070476726666667,12.840957966666668,2348.0632638248,15,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,4,0.000905,center_core_large,45,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,2408.0353362549777,416.72284087006454,2408.0353362549777,416.72284087006454,-0.007180678064444445,0.004164865064615626,4786190.38688889,2775510.545210193,0.0,0.0,0.9767003319282215,0.9890557401868315,0.9983436296804369,1.0013231743466533,-13.417549355555561,-13.417548422222222,8.774069997777776,2.576960365985315e-07,-5.19282133934176e-07,-4.187269686712409e-07,6.020342593333336,22.191618886666717,-8.774069997777776,13.417548888888891,2408.0353362549777,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,4,0.000905,full_excluding_caps_edges,259,0.04999753126126119,-3.049865699988885e-06,4.863819478663127e-06,4002.6313576869034,4204.532255268488,4002.6313576869034,4204.532255268488,-0.027728008920077218,0.04937812725173365,18483037.43007722,32910401.51144106,0.0,0.0,0.5748176669771203,0.7940954809867715,0.8622267871050917,1.0013231743466533,-16.23259239189188,-16.232591493436292,2.443007249652512,8.706407891502751e-08,-2.5207105306714723e-07,-2.9340582283456935e-07,10.007392211891887,18.675599192316625,-2.443007249652512,16.232591942664087,4002.6313576869034,63,196,0,0,0,0,T4 raw gradient,
T4_raw_reference,4,0.000905,zhao_measurement_cylinder,45,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,2408.0353362549777,416.72284087006454,2408.0353362549777,416.72284087006454,-0.007180678064444445,0.004164865064615626,4786190.38688889,2775510.545210193,0.0,0.0,0.9767003319282215,0.9890557401868315,0.9983436296804369,1.0013231743466533,-13.417549355555561,-13.417548422222222,8.774069997777776,2.576960365985315e-07,-5.19282133934176e-07,-4.187269686712409e-07,6.020342593333336,22.191618886666717,-8.774069997777776,13.417548888888891,2408.0353362549777,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,5,0.001005,center_core_small,1,0.04999337702702694,-7.335676499853339e-06,7.399774702000002e-06,7382.102129778,0.0,7382.102129778,0.0,-0.083995573,0.0,56007448.0,0.0,0.0,0.0,1.0013230586773636,1.0013230586773636,1.0013230586773636,1.0013230586773636,-35.090546,-35.090553,14.82416,2.2447914e-06,-1.3541407e-06,-1.5529046e-06,18.452313,49.91470950000064,-14.82416,35.0905495,7382.102129778,1,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,5,0.001005,center_core_medium,15,0.04999337702702694,-7.335676499853339e-06,8.567104423793337e-06,8415.558074671599,440.0525669239222,8415.558074671599,440.0525669239222,-0.09052934600000001,0.0021801897602336975,60355289.86666667,1450876.9144643464,0.0,0.0,0.9983453215954777,0.9989412139105284,0.9983455986864918,1.001324425962031,-37.91979986666667,-37.91979933333334,12.723752753333333,2.119885846666667e-06,-1.6528669319518688e-06,-1.588120487146701e-06,21.038615482222227,50.643552353333625,-12.723752753333333,37.919799600000005,8415.558074671599,15,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,5,0.001005,center_core_large,45,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,7997.569834023978,889.8218559433066,7997.569834023978,889.8218559433066,-0.08339803317777778,0.008963559483685185,55600867.46666667,5973362.478865478,0.0,0.0,0.9767001142587324,0.9890567693897998,0.9983448659720278,1.001324425962031,-38.857891622222226,-38.857890088888894,17.73488615777778,2.2580005267829822e-06,-1.2909464658002652e-06,-1.2801428157318797e-06,19.993631851111115,56.59277701333358,-17.73488615777778,38.85789085555556,7997.569834023978,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,5,0.001005,full_excluding_caps_edges,259,0.04999337702702694,-7.335676499853339e-06,1.1498707810767377e-05,11036.899244083852,18017.89448220708,11036.899244083852,18017.89448220708,-0.10496975772200773,0.20794158553820105,69972087.38996139,138592122.6739501,0.0,0.0,0.5748611196566032,0.7941001879914928,0.8622173785180476,1.001324425962031,-44.45777044401544,-44.45776770656371,6.130503389189188,9.008723531892025e-07,-8.600345045926586e-07,-8.638065327942435e-07,27.59501158712999,50.588272464478884,-6.130503389189188,44.457769075289576,11036.899244083852,63,196,0,0,0,0,T4 raw gradient,
T4_raw_reference,5,0.001005,zhao_measurement_cylinder,45,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,7997.569834023978,889.8218559433066,7997.569834023978,889.8218559433066,-0.08339803317777778,0.008963559483685185,55600867.46666667,5973362.478865478,0.0,0.0,0.9767001142587324,0.9890567693897998,0.9983448659720278,1.001324425962031,-38.857891622222226,-38.857890088888894,17.73488615777778,2.2580005267829822e-06,-1.2909464658002652e-06,-1.2801428157318797e-06,19.993631851111115,56.59277701333358,-17.73488615777778,38.85789085555556,7997.569834023978,45,0,0,0,0,0,T4 raw gradient,
