case,xi,interval,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,13,0.013000000000000001,0.0021333941000000003,0.0013258934287200153,-5.73634619999976e-05,49.76633968114,28646.20272843,15222.508067936034,49.76622810000043,9761.056264863,4905.56273527777,0.0,18892.62916945,10316.945108863543,18892.62916945,28597.181895931495,9712.0354334265,18885.14604569,0.015356754003732931,0.0,17963810.66666667,135929677.11994565,118895630.0,11.769384000000002
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,14,0.014,0.0021968926000000065,0.0015833203019400097,-5.874193899999945e-05,49.76938232982,26555.91522578,13936.368451878061,49.76917109999997,9761.05850841,4905.576258137076,0.0,16801.34637745,9030.791997883403,16801.34637745,26506.8949520275,9712.038237615,16794.856298630002,0.0019804595067398623,0.0,12440150.0,106031857.71865445,93591720.0,9.68298150000001
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,15,0.015,0.0027772833000000003,0.0024358510027300095,-6.072929200000035e-05,49.78623717094,25788.78736197,13485.573993269458,49.7861424000003,9761.060993283,4905.595754070063,0.0,16034.0480955,8579.978012268923,16034.0480955,25739.767651504,9712.0412850915,16027.725952929997,-0.022846804500659346,0.0,12012628.000000002,102709597.1851852,104138340.0,8.947160700000001
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,16,0.016,0.004006307600000006,0.0031771040763899985,-6.357085700000535e-05,49.81969360443,26357.65459814,13877.428950158734,49.819398299999676,9761.063921568,4905.623629822668,0.0,16603.40584957,8971.805100145632,16603.40584957,26308.635587382003,9712.044912339003,16596.590259750003,-0.0738774299970828,0.0,12905581.333333334,113771521.91845058,117801590.0,9.2964554
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,17,0.017,0.004463276800000004,0.003382854294780002,-6.689915800000065e-05,49.86199135211,27497.2806381,14615.125298406738,49.86216990000003,9761.067100989,4905.656280455491,0.0,17742.86106901,9709.468788138078,17742.86106901,27448.26244577,9712.0489104045,17736.21312186,-0.045363118497334654,0.0,13229298.000000002,130671833.5603126,136165040.0,10.373795000000015
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,18,0.018000000000000002,0.004035344300000007,0.003080566048500009,-7.016332400000078e-05,49.90430946369,28309.89271919,15147.139334729494,49.90425480000021,9761.070206835,4905.688301923944,0.0,18555.51412969,10241.4508080729,18555.51412969,28260.875365920998,9712.052856967497,18548.822096,-0.033627031505602645,0.0,12669913.333333336,141821724.66055048,146801600.0,11.217614000000067
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,19,0.019,0.0031502054000000167,0.0025969144270299987,-7.300191699999489e-05,49.93964544804,28383.15034774,15213.19445383692,49.939865100000524,9761.073025248,4905.716148521247,0.0,18628.62093594,10307.478092934885,18628.62093594,28334.133761865,9712.056439089001,18622.076905,-0.01847448150147102,0.0,11658766.666666668,143521433.73564392,144892700.0,11.284319000000277
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,20,0.02,0.0025846087000000032,0.002266412558890009,-7.541466800000026e-05,49.96666564769,27876.71272108,14912.981709806152,49.96684259999994,9761.075537589,4905.7398176085835,0.0,18122.16501056,10007.241707574065,18122.16501056,27827.696800065005,9712.059618019499,18115.636763249997,-0.04442167300294386,0.0,10789262.666666668,132182101.701665,129148930.0,10.945838000000006
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,21,0.021,0.0025202038000000024,0.0022292226767600077,-7.763484300000386e-05,49.98902275584,27252.78753005,14536.728278663277,49.98901320000025,9761.077877274,4905.761597525359,0.0,17497.42517254,9630.966464420466,17497.42517254,27203.77219823349,9712.062548756998,17491.709237180003,-0.012549849998322316,0.0,10347710.666666668,123054871.06897725,118774920.0,10.300393000000021
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,22,0.022,0.002770430900000001,0.0024064617834099987,-7.994233400000153e-05,50.01313158268,26890.24148553,14327.766346840881,50.01294959999964,9761.080193415,4905.784234012094,0.0,17134.69278923,9421.981893670472,17134.69278923,26841.2267201835,9712.0654284825,17129.160877079998,-0.018276041002536658,0.0,10302308.0,119351151.770982,118779650.0,9.880120300000009
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,23,0.023,0.003113226700000006,0.0026163159315500165,-8.245722000000348e-05,50.04181641295,26902.34892914,14357.250198909036,50.04159479999981,9761.082573321,4905.808905043701,0.0,17146.82079454,9451.441068158856,17146.82079454,26853.334746749002,9712.068389140504,17141.26593853,-0.023123010498238727,0.0,10411730.666666668,123631411.53652738,124640450.0,9.855124500000176
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,24,0.024,0.003305994000000004,0.0027139471298100047,-8.51392859999988e-05,50.07350182348,27145.26969993,14530.006973687836,50.07318299999952,9761.085012087,4905.835216111155,0.0,17390.00985365,9624.17156736688,17390.00985365,27096.256125729495,9712.071442993498,17384.184268679997,-0.053741273000923684,0.0,10423328.666666668,125158429.02548422,126490790.0,10.212592000000006
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,25,0.025,0.0032602677000000144,0.002665909920159994,-8.783793650000108e-05,50.10588865581,27382.50138112,14694.552634569724,50.1059483999997,9761.0874381,4905.861689872588,0.0,17626.8433439,9788.690743339259,17626.8433439,27333.488422198006,9712.07447943375,17621.413527760007,-0.023864242495619692,0.0,10234470.000000002,128942757.3408087,130397260.0,10.467928000000033
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,26,0.026000000000000002,0.003045694900000009,0.002537883149520014,-9.044352300000236e-05,50.13690426109,27442.74342844,14749.584726527177,50.13694799999971,9761.089776804,4905.887250676129,0.0,17686.99818616,9843.69727898561,17686.99818616,27393.731066693006,9712.077420717002,17681.65323301999,-0.01961902400944382,0.0,9891335.333333334,130235228.62113489,130972570.0,10.554134000000019
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,27,0.027,0.002843881,0.0024239576011399993,-9.291808500000212e-05,50.16562993356,27325.094158,14691.983048947797,50.16559319999988,9761.092015446,4905.91152612937,0.0,17569.28104755,9786.071312375658,17569.28104755,27276.082360949997,9712.080217547998,17564.00172508999,-0.01574615401113988,0.0,9540544.000000002,130486197.94563372,130122490.0,10.394815000000174
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,28,0.028,0.0027788230000000014,0.0023806072761900126,-9.53126830000022e-05,50.19264996325,27133.58441512,14587.567014889368,50.192472599999896,9761.094171683999,4905.935017135753,0.0,17377.8957835,9681.631770860788,17377.8957835,27084.573153125,9712.082909411998,17372.489827150006,-0.042648720991564915,0.0,9283824.666666668,124912628.22222224,123750450.0,10.32148100000001
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,29,0.029,0.002814279400000005,0.0024047284210300048,-9.77016839999972e-05,50.21948788684,26988.40811626,14510.115236962069,50.21935199999991,9761.096281815,4905.958453235549,0.0,17232.22613883,9604.156566955024,17232.22613883,26939.397371507,9712.0855438875,17227.311415650005,-0.017264500995224807,0.0,9146687.333333334,123524678.24804622,123029670.0,10.173782000000019
Case1DConsolidation_PR_SW3B_Xi0p08_S10,0.08,10,30,0.03,0.0028990970000000007,0.002453859156000015,-0.00010013090200000028,50.24738391332,26934.94473178,14492.961143496437,50.24750669999979,9761.098379193,4905.98228386414,0.0,17178.71461231,9586.978647614096,17178.71461231,26885.934499712,9712.088147461502,17173.845933390003,-0.018219836496427888,0.0,9066927.333333334,124497400.5191981,124724850.0,10.115889000000024
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,1,0.001,0.0091686565,0.008717485062599981,-4.581729999999394e-06,59.5166017259,12372.73613682,5540.713629198405,49.09610699999973,9760.978273401,4905.044946486804,10.42058563425,2641.470555151,635.6684772794696,2641.470555151,12323.689701234996,9711.9318388455,2611.7574459449993,-0.13709220760119933,10.55125407874,56745196.66666667,44109599.61664968,64140240.0,4.36656190000001
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,2,0.002,0.017075205,0.013280114440300033,-1.6015594999999647e-05,49.22580736184,22779.279972,10519.22013228422,49.225991399999984,9761.010867126,4905.15711270248,0.0,13061.86572487,5614.0628195534755,13061.86572487,22730.242707152,9711.973602467999,13018.268689560004,-0.28413832649857795,0.0,82722733.33333334,66985623.32517839,86883824.0,10.594404000000003
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,3,0.003,0.019081634,0.011400244207300026,-2.8867816999998243e-05,49.41036283433,35803.55819749,18561.21260754018,49.41012510000054,9761.021552178,4905.28319300025,0.0,26067.54683047,13655.929217350795,26067.54683047,35754.52720245649,9711.990560033999,26042.53622751001,-0.2508185419937945,0.0,57405452.0,226095075.03703707,283500510.0,15.422091000000007
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,4,0.004,0.011235441000000002,0.00516222995833399,-3.7326156999998405e-05,49.56655478013,42107.16272423,23452.620253348497,49.56630030000002,9761.022209448,4905.366169315699,0.0,32356.66079675,18547.253885858783,32356.66079675,42058.13348888401,9711.992973294002,32346.14009772999,-0.051354210008867085,0.0,61363086.00000001,352343316.9656813,413706400.0,24.674990000000008
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,5,0.005,0.002603411,0.0014178055280890873,-3.930622300000126e-05,49.61508255821,38406.49334625,21398.36123034435,49.61476169999956,9761.024393153999,4905.385593763151,0.0,28654.95628476,16492.975443708216,28654.95628476,38357.4643720975,9711.995418926997,28645.46853513001,0.12085580351413228,0.0,22748500.000000004,293935643.89398575,295464990.0,22.90831600000006
