case,source,dp,time_mid,shell_index,r_over_R_min,r_over_R_max,shell_volume,pressure_mean_mid,storage_derivative,flux_in,flux_out,residual,abs_residual
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,1,0.2,0.4,3.7888e-05,710.9486998288689,0.3776067064766214,0.01747818804415341,0.12149713307435152,0.4816256515068195,0.4816256515068195
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,2,0.4,0.6,8.704000000000001e-05,675.3809458596722,1.7949802674190503,0.12149713307435152,0.4506386465516027,2.124121780896301,2.124121780896301
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,3,0.6,0.8,0.00012288000000000002,616.7487273995578,-0.001243955706716412,0.4506386465516027,0.23814058590954168,-0.2137420163487774,0.2137420163487774
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,4,0.8,0.9,0.000126976,603.6772372200412,-2.789288775000483,0.23814058590954168,0.2879034221781526,-2.7395259387318722,2.7395259387318722
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,5,0.9,0.95,7.987200000000001e-05,597.4340915297573,-2.8070813778011074,0.2879034221781526,-0.9206565193598677,-4.015641319339128,4.015641319339128
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,6,0.95,1.0,6.451200000000001e-05,609.3794950419122,-1.9820097380555164,-0.9206565193598677,32.52501095603006,31.463657737334408,31.463657737334408
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,0,0.0,0.2,3.5840000000000003e-06,628.5052325235143,-0.7547627767731573,0.0,-0.008819670966245061,-0.7635824477394023,0.7635824477394023
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,1,0.2,0.4,3.7888e-05,638.8329128260513,-5.578386559217152,-0.008819670966245061,0.07403726719123438,-5.4955296210596725,5.4955296210596725
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,2,0.4,0.6,8.704000000000001e-05,617.1588268836447,-11.35814106188868,0.07403726719123438,0.5894663443261873,-10.842711984753729,10.842711984753729
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,3,0.6,0.8,0.00012288000000000002,540.4638524514853,-17.939300675622597,0.5894663443261873,0.44620693607644885,-18.082560083872334,18.082560083872334
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,4,0.8,0.9,0.000126976,515.971641009749,-18.73546278674229,0.44620693607644885,-0.32751569835486166,-19.5091854211736,19.5091854211736
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,5,0.9,0.95,7.987200000000001e-05,523.0737734026707,-8.772223969318144,-0.32751569835486166,-0.817162827873632,-9.261871098836915,9.261871098836915
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0045445,6,0.95,1.0,6.451200000000001e-05,533.6763591757787,-7.514736837349644,-0.817162827873632,28.48443305098835,21.786859041512336,21.786859041512336
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,0,0.0,0.2,3.5840000000000003e-06,482.0042212177,-0.2708726915151589,0.0,-0.018802859082100505,-0.2896755505972594,0.2896755505972594
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,1,0.2,0.4,3.7888e-05,504.02204003620204,-4.545092997038025,-0.018802859082100505,0.07712553254090557,-4.449164605415019,4.449164605415019
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,2,0.4,0.6,8.704000000000001e-05,481.443877928628,-12.182384356907397,0.07712553254090557,0.49791495562910065,-11.761594933819202,11.761594933819202
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,3,0.6,0.8,0.00012288000000000002,416.6605783239399,-12.102925848248644,0.49791495562910065,0.4642782661568726,-12.136562537720872,12.136562537720872
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,4,0.8,0.9,0.000126976,391.1764351088989,-12.552780846411384,0.4642782661568726,-0.6038656906100949,-13.620924803178351,13.620924803178351
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,5,0.9,0.95,7.987200000000001e-05,404.2711786701958,-10.166868025914003,-0.6038656906100949,0.4692276857553762,-9.093774649548532,9.093774649548532
mode5_mls_dp008,C5j mode5 MLS,0.008,0.005549500000000001,6,0.95,1.0,6.451200000000001e-05,398.1830079707478,-9.978232280671016,0.4692276857553762,21.25261319444763,10.805153228021238,10.805153228021238
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,0,0.0,0.2,7.000000000000001e-06,967.6082524277,-0.45122832439024946,0.0,0.0015126987832144415,-0.44971562560703504,0.44971562560703504
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,1,0.2,0.4,2.6000000000000005e-05,965.8369086341654,-1.7676425383317413,0.0015126987832144415,-0.027175843009533587,-1.7963310801244894,1.7963310801244894
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,2,0.4,0.6,9.000000000000002e-05,973.7925177387613,-4.693877419923356,-0.027175843009533587,0.1094247250773285,-4.557276851836494,4.557276851836494
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,3,0.6,0.8,0.00013400000000000003,959.5553580216192,-10.785237860901566,0.1094247250773285,0.13604280003108254,-10.758619785947811,10.758619785947811
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,4,0.8,0.9,0.000132,952.0879953383187,-12.585840030531223,0.13604280003108254,-0.12210737330619964,-12.843990203868506,12.843990203868506
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,5,0.9,0.95,7.200000000000002e-05,954.7358767550834,-6.485605718674616,-0.12210737330619964,-0.08915553504006578,-6.452653880408482,6.452653880408482
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0005025,6,0.95,1.0,4.800000000000001e-05,955.8926587025312,-4.2132385716985095,-0.08915553504006578,40.815838996945814,36.69175596028737,36.69175596028737
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,0,0.0,0.2,7.000000000000001e-06,932.2336673202428,-0.041510661523061515,0.0,0.015326505005008897,-0.026184156518052618,0.026184156518052618
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,1,0.2,0.4,2.6000000000000005e-05,914.2865982682605,-0.8987429304211304,0.015326505005008897,0.024265126102348926,-0.8898043093237904,0.8898043093237904
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,2,0.4,0.6,9.000000000000002e-05,907.1830887993439,-7.228976542815271,0.024265126102348926,0.2620299882201764,-6.991211680697444,6.991211680697444
