label,dp,field,r_over_R,lap,exact,error,valid
dp=0.010,0.01,constant,0.5999999999999995,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999995,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999996,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999996,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999996,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.5999999999999996,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000014,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000014,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000014,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000014,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000014,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000014,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000033,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000033,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000033,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000033,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000033,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000033,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000052,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000052,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6000000000000052,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336729,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336729,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336729,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336729,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336729,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336729,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336746,0.0,0.0,0.0,True
