case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,0,0.0,0.0
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,1,0.2,0.0048185514384283135
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,2,0.4,0.07171169898341899
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,3,0.6,0.485712284188351
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,4,0.8,0.7262628713694466
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,5,0.9,0.6364132385610771
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,6,0.95,-0.24747913941480207
mode4_normalized_dp008,C5i/C5h mode4 normalized,0.008,0.005549500000000001,7,1.0,19.80654386440644
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,0,0.0,0.0
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,1,0.2,-0.009914007736343391
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,2,0.4,-0.009226373056573882
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,3,0.6,0.03922816706776816
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,4,0.8,0.08677462509697699
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,5,0.9,0.0822276563335866
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,6,0.95,0.09103421833240252
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.000523,7,1.0,57.84366832956659
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,0,0.0,0.0
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,1,0.2,-0.0024004039905105197
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,2,0.4,0.016772043189140523
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,3,0.6,0.20319585238144186
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,4,0.8,0.5664961490600866
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,5,0.9,0.49691791205712665
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,6,0.95,0.6091908688966172
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.001536,7,1.0,41.22167113724376
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,0,0.0,0.0
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,1,0.2,0.031913345793680326
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,2,0.4,0.0940888847657105
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,3,0.6,0.4515951435228776
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,4,0.8,1.0113540279588953
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,5,0.9,0.9270240673960901
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,6,0.95,0.8024870394781293
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.002516,7,1.0,29.33804048754412
