label,dp,field,r_over_R_min,r_over_R_max,count,lap_mean,exact_mean,bias,rmse,p95_abs_error,max_abs_error
dp=0.008,0.008,smooth_quartic,0.6,0.8,243,-357.58149445177764,-726.7555555555496,369.174061103772,372.0360301645696,425.369847513364,425.36984751338446
dp=0.008,0.008,smooth_quartic,0.8,0.9,245,1075.457974250587,875.0497959183789,200.40817833220797,242.90198320051223,371.9973838351874,371.9973838352082
dp=0.008,0.008,smooth_quartic,0.9,0.95,156,1393.7816412189438,2131.6923076923204,-737.9106664733763,769.1884911168543,1010.9066362342996,1010.9066362343178
dp=0.008,0.008,smooth_quartic,0.95,1.0,126,1156.3345871230197,2845.86666666668,-1689.532079543661,1707.8741901251149,1899.4865732661087,1899.4865732661297
dp=0.008,0.008,smooth_quartic,1.0,1.12,192,660.9513744494164,3673.6000000000145,-3012.648625550599,3027.036719344493,3578.0370093325632,3578.0370093326837
dp=0.0065,0.0065,constant,0.0,0.2,19,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,0.2,0.4,104,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,0.4,0.6,314,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,0.6,0.8,512,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,0.8,0.9,408,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,0.9,0.95,290,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,0.95,1.0,288,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,1.0,1.12,666,0.0,0.0,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,quadratic_r2,0.0,0.2,19,5.987094229878922,6.0,-0.012905770121077357,0.012905770121077357,0.012905770121078053,0.012905770121078852
dp=0.0065,0.0065,quadratic_r2,0.2,0.4,104,5.987094229878922,6.0,-0.012905770121078092,0.012905770121078094,0.012905770121081517,0.012905770121082405
dp=0.0065,0.0065,quadratic_r2,0.4,0.6,314,5.987094229878923,6.0,-0.01290577012107668,0.01290577012107668,0.012905770121083293,0.01290577012108507
dp=0.0065,0.0065,quadratic_r2,0.6,0.8,512,5.89847909432901,6.0,-0.10152090567098951,0.15202839122359108,0.3145046985053018,0.3171262758633251
dp=0.0065,0.0065,quadratic_r2,0.8,0.9,408,4.114253859976352,6.0,-1.8857461400236475,2.1271700154169966,3.552561017426477,3.5541044336642376
dp=0.0065,0.0065,quadratic_r2,0.9,0.95,290,0.05649495417363574,6.0,-5.943505045826364,6.050576287430721,7.864920036261482,7.867648152203354
dp=0.0065,0.0065,quadratic_r2,0.95,1.0,288,-3.742591406157071,6.0,-9.74259140615707,9.859286760239268,11.631440786886571,11.634777890265898
dp=0.0065,0.0065,quadratic_r2,1.0,1.12,666,-9.389661053094612,6.0,-15.389661053094612,15.454196815709805,17.12243792596757,17.141228700814366
dp=0.0065,0.0065,linear_gap,0.0,0.2,18,-225.03347909416254,-247.61164740022343,22.578168306060856,27.365877852561983,44.846193474131724,44.846193474131724
dp=0.0065,0.0065,linear_gap,0.2,0.4,104,-124.5060455140004,-125.42168078050493,0.9156352665045258,1.3895545912562346,4.182932687448584,4.251970978512702
dp=0.0065,0.0065,linear_gap,0.4,0.6,314,-77.82694280056374,-77.99517154700794,0.16822874644420213,0.16972851065713812,0.21728680913290077,0.21779020349551104
dp=0.0065,0.0065,linear_gap,0.6,0.8,512,-55.55430068154017,-56.608307094491366,1.054006412951196,1.580922590064632,3.284443774736345,3.2846145764100143
dp=0.0065,0.0065,linear_gap,0.8,0.9,408,-28.71034878041494,-47.48292568887873,18.772576908463797,21.071722578584996,34.87276233927881,34.87338762378067
dp=0.0065,0.0065,linear_gap,0.9,0.95,290,13.365718630766015,-43.17017120593127,56.53588983669728,57.497040838647905,74.18379821545939,74.1855547539419
dp=0.0065,0.0065,linear_gap,0.95,1.0,288,48.88118595055552,-40.98389571998569,89.8650816705412,90.81639963660535,105.9829775502129,105.98511177757985
dp=0.0065,0.0065,linear_gap,1.0,1.12,666,96.31083646207502,-37.78815515858742,134.09899162066242,134.4515941183033,144.87519925906798,144.88763933298333
dp=0.0065,0.0065,smooth_quartic,0.0,0.2,19,-4401.896182418333,-4586.522940789472,184.6267583711396,184.626838321924,184.82571304407537,185.0859320870277
dp=0.0065,0.0065,smooth_quartic,0.2,0.4,104,-3735.4065505437566,-3918.596624999998,183.19007445624058,183.1909844101591,184.21182427672738,184.2185352771885
