dp_label,dp,field,operator,zone,count,bias,rmse,p95_abs_error,max_abs_error
dp=0.010,0.01,linear_gap,material_only,all_valid,738,53.262232754387526,65.2576581959981,100.2818510428774,100.28185104287752
dp=0.010,0.01,linear_gap,mode8_exact_boundary,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_exact_boundary,middle,233,2.4799063683363562,3.296635882552057,5.564963204418795,10.118318397004636
dp=0.010,0.01,linear_gap,mode8_exact_boundary,near_boundary,398,-4.359189637380744,4.944836495883458,7.845236982841849,7.84754074770742
dp=0.010,0.01,linear_gap,mode8_exact_boundary,all_valid,738,-1.058436404103664,4.963555894126719,7.844909440846554,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_positivity,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_positivity,middle,233,2.4799063683363562,3.296635882552057,5.564963204418795,10.118318397004636
dp=0.010,0.01,linear_gap,mode8_positivity,near_boundary,398,23.653763120168556,30.493027147631576,39.99999999999981,39.999999999999986
dp=0.010,0.01,linear_gap,mode8_positivity,all_valid,738,14.04881996107875,22.647307453729848,39.223227027636895,39.999999999999986
dp=0.010,0.01,linear_gap,mode8_blend025,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_blend025,middle,233,17.05550306791946,20.075645672913236,33.22763364343027,38.39488554472849
dp=0.010,0.01,linear_gap,mode8_blend025,near_boundary,398,62.651806212423296,63.67759488340098,73.4441738583113,73.44461938123503
dp=0.010,0.01,linear_gap,mode8_blend025,all_valid,738,39.682065464764726,48.18732189769706,73.44374933546194,73.44461938123503
dp=0.010,0.01,linear_gap,mode8_blend050,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_blend050,middle,233,12.196970834725091,13.86232686433068,22.172374219040943,25.651782373835065
dp=0.010,0.01,linear_gap,mode8_blend050,near_boundary,398,40.314807595821954,40.900488393830294,46.60649667374509,46.60738771959255
dp=0.010,0.01,linear_gap,mode8_blend050,all_valid,738,26.101898175141926,31.158452466960867,46.60564762804648,46.60738771959255
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,interior,107,3.514142295576276,7.4370649299517355,22.52878690936432,28.929480885812865
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,middle,233,2.479906368336356,3.2966358825520565,5.564963204418795,10.118318397004636
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,near_boundary,398,-4.359189637380747,4.94483649588346,7.845236982841817,7.847540747707427
dp=0.010,0.01,linear_gap,mode8_drained_zero_boundary,all_valid,738,-1.058436404103665,4.963555894126719,7.844909440846575,28.929480885812865
dp=0.010,0.01,smooth_quartic,material_only,interior,108,425.42174165759053,425.493219989974,441.45501831930335,441.4550183193053
dp=0.010,0.01,smooth_quartic,material_only,middle,233,306.38707489257155,354.1227836571051,465.912243264303,465.9122432643119
dp=0.010,0.01,smooth_quartic,material_only,near_boundary,398,-2569.3812476105445,2985.0794738039785,4745.620681564688,4745.620681564772
dp=0.010,0.01,smooth_quartic,material_only,all_valid,739,-1225.006765899875,2205.672989975301,4745.620681564579,4745.620681564772
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,interior,108,425.42174165759053,425.493219989974,441.45501831930335,441.4550183193053
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,middle,233,249.46570416964485,372.0252752198525,563.5919219120321,563.7384007972414
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,near_boundary,398,-1701.1976496629868,1875.6686059343363,2772.0739653226433,2772.283988281871
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,all_valid,739,-775.3797123076071,1401.727853052465,2771.7942104267813,2772.283988281871
dp=0.010,0.01,smooth_quartic,mode8_positivity,interior,108,425.42174165759053,425.493219989974,441.45501831930335,441.4550183193053
dp=0.010,0.01,smooth_quartic,mode8_positivity,middle,233,249.46570416964485,372.0252752198525,563.5919219120321,563.7384007972414
dp=0.010,0.01,smooth_quartic,mode8_positivity,near_boundary,398,-1701.1976496629868,1875.6686059343363,2772.0739653226433,2772.283988281871
dp=0.010,0.01,smooth_quartic,mode8_positivity,all_valid,739,-775.3797123076071,1401.727853052465,2771.7942104267813,2772.283988281871
dp=0.010,0.01,smooth_quartic,mode8_blend025,interior,108,425.42174165759053,425.493219989974,441.45501831930335,441.4550183193053
dp=0.010,0.01,smooth_quartic,mode8_blend025,middle,233,292.1567322118399,354.92899631296984,490.3321629262353,490.3687826475323
