case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,count,sph_mean_pressure,sph_p95_abs_pressure
mode8_blend050_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0
mode8_blend050_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0
mode8_blend050_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0
mode8_blend050_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0
mode8_blend050_dp008,0.001046,1,0.0,0.2,0.1,7,997.1586394097714,997.2624199823299
mode8_blend050_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,996.6450399183053,997.4363623828649
mode8_blend050_dp008,0.001046,1,0.4,0.6,0.5,170,996.3874424782193,997.846990535115
mode8_blend050_dp008,0.001046,1,0.6,0.8,0.7,258,1003.1841294925229,1009.93975816645
mode8_blend050_dp008,0.001046,1,0.8,0.9,0.8500000000000001,230,998.9192571631304,1011.61829657995
mode8_blend050_dp008,0.001046,1,0.9,0.95,0.925,156,978.9590295174065,997.8987478567001
mode8_blend050_dp008,0.001046,1,0.95,1.0,0.975,126,966.8206845840994,982.4180098929751
mode8_blend050_dp008,0.002011,2,0.0,0.2,0.1,7,1090.6434801667144,1091.9233237237
mode8_blend050_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,1085.7240833160138,1088.5127180645
mode8_blend050_dp008,0.002011,2,0.4,0.6,0.5,170,1082.7233046184415,1085.0216163058
mode8_blend050_dp008,0.002011,2,0.6,0.8,0.7,258,1077.5831308049649,1082.62023824355
mode8_blend050_dp008,0.002011,2,0.8,0.9,0.8500000000000001,230,1073.8596764825697,1082.1298130609998
mode8_blend050_dp008,0.002011,2,0.9,0.95,0.925,156,1079.4281413467434,1100.88294410225
mode8_blend050_dp008,0.002011,2,0.95,1.0,0.975,126,1058.2949704153052,1078.2265053552499
mode8_blend050_dp008,0.003056,3,0.0,0.2,0.1,7,1084.1510745765713,1085.6577519809
mode8_blend050_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,1086.0504400464054,1091.2107778512
mode8_blend050_dp008,0.003056,3,0.4,0.6,0.5,170,1077.4889287822998,1079.38383933525
mode8_blend050_dp008,0.003056,3,0.6,0.8,0.7,258,1077.028791949826,1083.39281830875
mode8_blend050_dp008,0.003056,3,0.8,0.9,0.8500000000000001,230,1067.1927679992523,1088.7565458766
mode8_blend050_dp008,0.003056,3,0.9,0.95,0.925,156,1071.1674362532185,1087.44121088125
mode8_blend050_dp008,0.003056,3,0.95,1.0,0.975,126,1065.8398252493491,1105.12613926875
mode8_blend050_dp008,0.004022,4,0.0,0.2,0.1,7,861.2326059107572,865.34512144896
mode8_blend050_dp008,0.004022,4,0.2,0.4,0.30000000000000004,74,888.4615431848458,895.9463210616251
mode8_blend050_dp008,0.004022,4,0.4,0.6,0.5,170,866.3631405281601,871.75951865158
mode8_blend050_dp008,0.004022,4,0.6,0.8,0.7,258,874.5419043268848,886.8981093217551
mode8_blend050_dp008,0.004022,4,0.8,0.9,0.8500000000000001,230,843.411724620074,880.3575850928
mode8_blend050_dp008,0.004022,4,0.9,0.95,0.925,156,950.6951629687592,1072.991653597
mode8_blend050_dp008,0.004022,4,0.95,1.0,0.975,126,1050.9829919302629,1120.41145096325
mode8_blend050_dp008,0.005067,5,0.0,0.2,0.1,7,468.87365183342854,469.26666235166
mode8_blend050_dp008,0.005067,5,0.2,0.4,0.30000000000000004,74,513.0366207264702,528.1311479432101
mode8_blend050_dp008,0.005067,5,0.4,0.6,0.5,170,503.8958403725249,514.59485595905
mode8_blend050_dp008,0.005067,5,0.6,0.8,0.7,234,526.2381711874415,569.51854547942
mode8_blend050_dp008,0.005067,5,0.8,0.9,0.8500000000000001,254,492.27500630551987,552.65614783898
mode8_blend050_dp008,0.005067,5,0.9,0.95,0.925,156,784.6087756726338,1081.1605871522502
mode8_blend050_dp008,0.005067,5,0.95,1.0,0.975,126,933.0262652624098,1222.5007214935
mode8_blend050_dp008,0.006032,6,0.0,0.2,0.1,7,736.5411848128143,749.28892975822
mode8_blend050_dp008,0.006032,6,0.2,0.4,0.30000000000000004,74,731.9119737829799,740.101194115525
mode8_blend050_dp008,0.006032,6,0.4,0.6,0.5,170,768.7254293234829,774.99343996426
mode8_blend050_dp008,0.006032,6,0.6,0.8,0.7,240,783.0756810759798,803.615089683615
mode8_blend050_dp008,0.006032,6,0.8,0.9,0.8500000000000001,248,839.9232665506975,915.5525825513951
mode8_blend050_dp008,0.006032,6,0.9,0.95,0.925,156,816.5658587547736,930.570891122625
mode8_blend050_dp008,0.006032,6,0.95,1.0,0.975,126,674.9606310370876,987.8280613593749
mode8_blend050_positivity_dp008,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0
mode8_blend050_positivity_dp008,0.0,0,0.2,0.4,0.30000000000000004,74,1000.0,1000.0
mode8_blend050_positivity_dp008,0.0,0,0.4,0.6,0.5,170,1000.0,1000.0
mode8_blend050_positivity_dp008,0.0,0,0.6,0.8,0.7,240,1000.0,1000.0
mode8_blend050_positivity_dp008,0.0,0,0.8,0.9,0.8500000000000001,248,1000.0,1000.0
mode8_blend050_positivity_dp008,0.0,0,0.9,0.95,0.925,156,1000.0,1000.0
mode8_blend050_positivity_dp008,0.0,0,0.95,1.0,0.975,126,1000.0,1000.0
mode8_blend050_positivity_dp008,0.001046,1,0.0,0.2,0.1,7,997.1586394097714,997.2624199823299
mode8_blend050_positivity_dp008,0.001046,1,0.2,0.4,0.30000000000000004,74,996.6450399183053,997.4363623828649
mode8_blend050_positivity_dp008,0.001046,1,0.4,0.6,0.5,170,996.3874424782193,997.846990535115
mode8_blend050_positivity_dp008,0.001046,1,0.6,0.8,0.7,258,1003.1841294925229,1009.93975816645
mode8_blend050_positivity_dp008,0.001046,1,0.8,0.9,0.8500000000000001,230,998.9192571631304,1011.61829657995
mode8_blend050_positivity_dp008,0.001046,1,0.9,0.95,0.925,156,978.9590295174065,997.8987478567001
mode8_blend050_positivity_dp008,0.001046,1,0.95,1.0,0.975,126,966.8206845840994,982.4180098929751
mode8_blend050_positivity_dp008,0.002011,2,0.0,0.2,0.1,7,1090.6434801667144,1091.9233237237
mode8_blend050_positivity_dp008,0.002011,2,0.2,0.4,0.30000000000000004,74,1085.7240833160138,1088.5127180645
mode8_blend050_positivity_dp008,0.002011,2,0.4,0.6,0.5,170,1082.7233046184415,1085.0216163058
mode8_blend050_positivity_dp008,0.002011,2,0.6,0.8,0.7,258,1077.5831308049649,1082.62023824355
mode8_blend050_positivity_dp008,0.002011,2,0.8,0.9,0.8500000000000001,230,1073.8596764825697,1082.1298130609998
mode8_blend050_positivity_dp008,0.002011,2,0.9,0.95,0.925,156,1079.4281413467434,1100.88294410225
mode8_blend050_positivity_dp008,0.002011,2,0.95,1.0,0.975,126,1058.2949704153052,1078.2265053552499
mode8_blend050_positivity_dp008,0.003056,3,0.0,0.2,0.1,7,1084.1510745765713,1085.6577519809
mode8_blend050_positivity_dp008,0.003056,3,0.2,0.4,0.30000000000000004,74,1086.0504400464054,1091.2107778512
mode8_blend050_positivity_dp008,0.003056,3,0.4,0.6,0.5,170,1077.4889287822998,1079.38383933525
mode8_blend050_positivity_dp008,0.003056,3,0.6,0.8,0.7,258,1077.028791949826,1083.39281830875
mode8_blend050_positivity_dp008,0.003056,3,0.8,0.9,0.8500000000000001,230,1067.1927679992523,1088.7565458766
mode8_blend050_positivity_dp008,0.003056,3,0.9,0.95,0.925,156,1071.1674362532185,1087.44121088125
mode8_blend050_positivity_dp008,0.003056,3,0.95,1.0,0.975,126,1065.8398252493491,1105.12613926875
