case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced,limiter,prevent_negative,limiter_dt,limiter_cfl,blend,limiter_targets,blend_limited,positivity_limited,theta_mean,theta_min,theta_max,mean_abs_limiter_delta,max_abs_limiter_delta,max_abs_diffusion_rate
mode8_blend050_dp008,0.00152823,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1410.25,2285.11,233229.0,12921100.0,5207380.0,15286500.0,3,0,8.04318e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5207380.0,15286500.0,87809.1
mode8_blend050_dp008,0.00152823,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.31,1410.25,2285.12,233106.0,12920800.0,5207330.0,15286200.0,3,0,8.04318e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5207330.0,15286200.0,87806.9
mode8_blend050_dp008,0.00160866,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.309,1410.26,2285.13,448159.0,13288500.0,5321520.0,16102100.0,3,0,8.04317e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5321520.0,16102100.0,90305.7
mode8_blend050_dp008,0.00160866,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.309,1410.26,2285.13,448026.0,13288100.0,5321470.0,16101800.0,3,0,8.04317e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5321470.0,16101800.0,90303.3
mode8_blend050_dp008,0.00168909,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.308,1410.26,2285.14,676249.0,13683900.0,5444020.0,16985800.0,3,0,8.04316e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5444020.0,16985800.0,92992.9
mode8_blend050_dp008,0.00168909,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.308,1410.27,2285.15,676103.0,13683500.0,5443960.0,16985400.0,3,0,8.04316e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5443960.0,16985400.0,92990.3
mode8_blend050_dp008,0.00176953,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.307,1410.27,2285.16,921386.0,14116700.0,5577600.0,17961600.0,3,0,8.04314e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5577600.0,17961600.0,95933.9
mode8_blend050_dp008,0.00176953,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.306,1410.27,2285.17,921223.0,14116200.0,5577540.0,17961200.0,3,0,8.04314e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5577540.0,17961200.0,95930.9
mode8_blend050_dp008,0.00184996,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.306,1410.28,2285.18,1187830.0,14596600.0,5725120.0,19055000.0,3,0,8.04312e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5725120.0,19055000.0,99195.3
mode8_blend050_dp008,0.00184996,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.305,1410.28,2285.18,1187640.0,14596100.0,5725050.0,19054500.0,3,0,8.04312e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5725050.0,19054500.0,99191.9
