case,case_name,resolution,configured_dp,mode,time,frame_index,particle_count,center_pressure,center_nearest_radius,volume_mean_pressure,surface_shell_mean,surface_shell_p95_abs,porepressrate_maxAbs,negative_pressure_count,kplastic_maxAbs,fv_center_pressure,fv_volume_mean_pressure,fv_surface_shell_mean,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio,min_pressure
mode8_positivity_dp008,C5o_Pos,finer,0.008,8,0.003056,3,1213,1212.05620835,1.982735353362469e-14,1217.353756012817,1239.8470712707763,1466.6693299353499,582620.81,0,0.0,999.9999999988919,716.3947810655859,129.9872895860561,126.98663150839019,22.16214126966638,5.729889994077354,1091.826893263
mode8_positivity_dp008,C5o_Pos,finer,0.008,8,0.004021,4,1213,744.3227949148,1.2187800652226792e-13,748.5308262648314,533.6036025638776,1318.6342651461498,4418387.0,72,0.0,999.9999987165205,678.8866693318421,110.46009157761499,336.667427932125,18.773003760823045,17.93359401731483,-525.0658366023
mode8_positivity_dp008,C5o_Pos,finer,0.008,8,0.005066,5,1213,-169.4575483065,4.858706309765123e-13,-101.2389631729855,-512.3670021313898,4915.36146627845,8294320.5,863,0.0,999.999873364537,644.0727773209189,95.87044742489998,43.315886700727134,16.259193005412975,2.6640858919816317,-4915.364294186
mode8_positivity_dp008,C5o_Pos,finer,0.008,8,0.006031,6,1213,280.7902910017,8.653728310703423e-13,469.85068784559627,702.5938253512434,1656.4683728393002,9740162.0,54,0.0,999.9978890663624,615.7550972966473,85.8762832241564,-309.86719381366765,14.545187286015539,-21.303761011835803,-317.6575169253
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.0,0,1213,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0,0.0,1000.0,1000.0,1000.0000000000001,-2.0198202391391042,4099.121912940717,-0.0004927446126358515,1000.0
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.001046,1,1213,998.2123593892,4.469805075287131e-17,1004.0350208377117,1021.6468935523791,1081.297071073,182397.23,0,0.0,1000.000000000005,828.037624637884,234.15858062975508,-10.895071726378148,40.911894663194644,-0.26630572394828794,955.2020232865
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.002011,2,1213,1043.708513531,2.030687313362522e-15,1039.2053403779216,1046.6911460972638,1080.0634501907002,328791.91,0,0.0,1000.0000000000043,766.125419923174,164.95110391894238,-7.763433657579128,28.31435651466818,-0.27418718322478214,997.2588495059
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.003056,3,1213,1030.664782591,2.0732380866734052e-14,1030.2350269913366,1029.5070090004654,1060.2955589632502,168103.14,0,0.0,999.9999999988919,716.3947810655859,129.9872895860561,34.546325377493304,22.16214126966638,1.5587990779924015,1004.67414939
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.004022,4,1213,911.669262422,5.78017006610919e-14,915.247903119,863.7571244705754,1052.92057185715,1017124.1,0,0.0,999.9999987093851,678.8508182714902,110.44351320770033,68.13695707994236,18.770138847466768,3.6300720859685156,589.9289718974
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.005067,5,1213,752.9783884117,9.383750611778491e-14,766.7144331635865,696.3923006815285,1105.93816931665,1499213.0,24,0.0,999.9998729457853,644.0416604930647,95.85859699621113,-21.157638693690558,16.257156810968123,-1.301435357959779,-225.5022591317
