step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
58,0.00535024,1.0,63,344,321125.0,203147.0,321125.0,203147.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
59,0.00535993,1.0,63,344,484261.0,321968.0,484261.0,321968.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
60,0.00537021,1.0,63,344,318963.0,226080.0,318963.0,226080.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
61,0.00538168,1.0,63,344,458253.0,321133.0,458253.0,321133.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
62,0.00539534,1.0,63,344,575648.0,400041.0,575648.0,400041.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
63,0.00541087,1.0,63,344,624993.0,431500.0,624993.0,431500.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
64,0.00543058,1.0,63,344,538942.0,370047.0,538942.0,370047.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
65,0.00546093,1.0,63,344,112352.0,67114.7,112352.0,67114.7,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
66,0.00547481,1.0,63,344,185636.0,128436.0,185636.0,128436.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
67,0.00548512,1.0,63,344,390619.0,269227.0,390619.0,269227.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
68,0.00549526,1.0,63,344,568756.0,391821.0,568756.0,391821.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
69,0.00550606,1.0,55,352,718593.0,476241.0,718593.0,476241.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
70,0.00551842,1.0,55,352,464000.0,323060.0,464000.0,323060.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
71,0.00553102,1.0,55,352,534039.0,369688.0,534039.0,369688.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
72,0.00554372,1.0,55,352,558996.0,386222.0,558996.0,386222.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
73,0.00555655,1.0,55,352,533122.0,368995.0,533122.0,368995.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
74,0.00556952,1.0,55,352,454358.0,316939.0,454358.0,316939.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
75,0.00558254,1.0,55,352,325677.0,233168.0,325677.0,233168.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
76,0.00559559,1.0,55,352,200027.0,127363.0,200027.0,127363.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
77,0.00560708,1.0,55,352,167779.0,86634.7,167779.0,86634.7,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
78,0.00561791,1.0,55,352,339846.0,125636.0,339846.0,125636.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
79,0.00562866,1.0,55,352,500068.0,212858.0,500068.0,212858.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
80,0.00563957,1.0,55,352,252494.0,135649.0,252494.0,135649.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
81,0.00565136,1.0,55,352,373744.0,215155.0,373744.0,215155.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
82,0.00566508,1.0,55,352,482442.0,288110.0,482442.0,288110.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
83,0.00567911,1.0,55,352,544046.0,331478.0,544046.0,331478.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
84,0.00569347,1.0,55,352,544171.0,335712.0,544171.0,335712.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
