case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
platen_no_confinement,9,0.004524,core_small,15,0,36445.63590361,2189.028529682249,26266154.0,-0.03320890433333334,0.039471313,0.0,16.891515613333336,16.89151804666667,-335.58590799999996,335.58590799999996,0.948846800898954,100.60095811333332,352.47742482999996
platen_no_confinement,9,0.004524,core_medium,45,0,34481.29381100111,3374.21028708394,26266154.0,-0.03140654504444445,0.039471313,0.0,14.443411942222228,14.443413433333335,-329.11721111111115,329.11721111111115,0.930556991336965,100.07679524518518,343.5606237988889
platen_no_confinement,9,0.004524,specimen_minus_edges,63,0,32533.052535540806,4879.968609692919,26266154.0,-0.030537852999999997,0.039471313,0.0,8.96814283809524,8.968143846031747,-326.6807431746032,326.6807431746032,0.9236680405439286,102.91481883015875,335.6488865166667
platen_no_confinement,10,0.005027,core_small,15,0,47150.33295188467,2769.056547051252,21199254.0,-0.029403142666666666,0.031872667,0.0,5.583689573333333,5.583692500000001,-393.4301333333333,393.4301333333333,1.1123974949227673,127.42091708666665,399.01382437
platen_no_confinement,10,0.005027,core_medium,45,0,44532.084600152455,3818.5979039741997,22360248.0,-0.027576962555555563,0.033615172,0.0,3.699679713333334,3.699681457777776,-383.16264288888885,383.16264288888885,1.0833668496268043,125.25442723925926,386.86232347444445
platen_no_confinement,10,0.005027,specimen_minus_edges,63,0,41895.41227447732,5555.039335014676,22360248.0,-0.025015212120634928,0.033615172,0.0,-1.2504503349206346,-1.2504491190476192,-376.9443660317459,376.9443660317459,1.0657850860236553,126.48175516190473,375.6939163047618
platen_no_confinement,11,0.00553,core_small,15,0,50372.53917195201,1012.5497163541189,15487460.0,-0.016176003286666667,0.023309506,0.0,0.24957677866666644,0.24957947533333372,-437.5918426666667,437.5918426666667,1.2372617863731785,145.69756213755556,437.8414207936668
platen_no_confinement,11,0.00553,core_medium,45,0,47689.08294764424,2695.0505233032145,20843594.0,-0.015666763388444447,0.031347625,0.0,-0.9855214628888892,-0.9855200102222212,-425.8970475555555,425.8970475555555,1.2041955322075042,142.62269634288887,424.911526819
platen_no_confinement,11,0.00553,specimen_minus_edges,63,0,44443.90460198255,5669.594762916089,22592514.0,-0.01351212299174603,0.0339453,0.0,-3.9204606719047623,-3.9204597946031745,-417.9182247619048,417.9182247619048,1.1816359422419593,141.91971507613758,413.99776452865086
platen_no_confinement,12,0.006032,core_small,15,0,53116.849827576,2144.032412324786,8606720.0,-0.0037335648133333334,0.012992532,0.0,3.92146526,3.921467626666667,-465.6967013333333,465.6967013333333,1.3167264021388199,152.61792281555554,469.6181677766667
platen_no_confinement,12,0.006032,core_medium,45,0,50536.60578472356,4847.563914329456,16466070.0,-0.004519145102222223,0.024820637,0.0,2.9126644886666657,2.9126657108888883,-455.2132762222222,455.2132762222222,1.287085215956647,149.79598200755555,458.1259413220001
platen_no_confinement,12,0.006032,specimen_minus_edges,63,0,46899.005431270634,8589.72622837526,20563530.0,-0.004105522453968251,0.030985951,0.0,1.8992838479365046,1.899284652222221,-448.5923836507935,448.5923836507935,1.2683650832403002,148.2646050502116,450.4916679008729
platen_lateral_confinement,0,0.0,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,0,0.0,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,2,0.001005,core_small,15,0,3408.232076027334,768.2823869977892,16964116.0,-0.01962920486666667,0.025433157,0.0,-9.073473033333334,-9.073472933333333,-7.400529833333333,7.400529833333333,0.020924505141364885,8.515825266666667,1.6729431500000047
platen_lateral_confinement,2,0.001005,core_medium,45,0,4156.524398472555,1374.9530355652194,25141952.0,-0.023132744288888885,0.037711866,0.0,-10.654974322222223,-10.654974233333332,-9.855404771111113,9.855404771111113,0.02786550050436882,10.388451108888889,0.7995695066666708
platen_lateral_confinement,2,0.001005,specimen_minus_edges,87,0,4698.739183172621,2074.1779915309744,31238852.0,-0.025065579636781615,0.046881352,0.0,-11.721895286206898,-11.721895205747128,-12.36440006666667,12.36440006666667,0.034959517573936644,11.936063519540232,0.6425048206896644
platen_lateral_confinement,3,0.001508,core_small,15,0,15350.943356280664,2788.1279988143083,31359148.0,-0.0368050434,0.047035094,0.0,-34.36656533333334,-34.36656626666667,-35.84710606666667,35.84710606666667,0.10135530456434469,34.860079222222225,1.4805402666669218
platen_lateral_confinement,3,0.001508,core_medium,45,0,16075.063361596818,4609.5971083087525,40172852.0,-0.03912065880000001,0.060293276,0.0,-37.47659871111111,-37.4765988,-43.14701808888888,43.14701808888888,0.12199531954712328,39.366738533333326,5.670419333333338
platen_lateral_confinement,3,0.001508,specimen_minus_edges,87,0,15744.262372573643,5436.3067326122355,40172852.0,-0.0379835883908046,0.060293276,0.0,-37.89956856321838,-37.89956851724136,-48.01675243333333,48.01675243333333,0.13576416902441982,41.27196317126436,10.117183893103462
platen_lateral_confinement,4,0.002011,core_small,15,0,26987.597181857996,4956.547120285879,24693768.0,-0.03000487546666667,0.037042968,0.0,-56.51472466666667,-56.514725399999996,-78.79576460000001,78.79576460000001,0.22278977568121563,63.94173822222223,22.28103956666669
platen_lateral_confinement,4,0.002011,core_medium,45,0,27852.07349699912,8199.014715718611,27632220.0,-0.029273922466666668,0.041556198,0.0,-58.807483733333335,-58.80748331111112,-88.83765722222222,88.83765722222222,0.2511825581623154,68.81754142222222,30.030173699999995
platen_lateral_confinement,4,0.002011,specimen_minus_edges,83,0,26029.803438268675,9082.029079452515,27632220.0,-0.025614515590361445,0.041556198,0.0,-55.51077030120482,-55.51077012048192,-89.81914590361447,89.81914590361447,0.25395765203025444,66.94689544176707,34.3083756927711
platen_lateral_confinement,5,0.002513,core_small,15,0,32471.86458836666,4544.1197570822,10088349.0,-0.0077524867733333325,0.015127582,0.0,-56.344240400000004,-56.34424206666666,-121.8358541333333,121.8358541333333,0.34448276186020577,78.17477886666666,65.49161289999999
platen_lateral_confinement,5,0.002513,core_medium,45,0,31357.324969123114,6521.618902768262,10088349.0,-0.005466166244444446,0.015127582,0.0,-56.58986091111108,-56.58986086666664,-131.3942504888889,131.3942504888889,0.3715084908538474,81.5246574222222,74.80438960000005
platen_lateral_confinement,5,0.002513,specimen_minus_edges,79,0,27562.381332662026,7766.440688572616,10088349.0,-0.003955201137974681,0.015127582,0.0,-50.93001583544304,-50.93001612658227,-127.60783513924049,127.60783513924049,0.36080265367254183,76.48928903375527,76.67781915822786
platen_lateral_confinement,6,0.003016,core_small,15,0,31664.948857535994,3018.2281273634485,11874337.0,0.006584683546666667,0.017780937,0.0,-34.38077146666667,-34.38077226666666,-159.77016133333333,159.77016133333333,0.4517394885968904,76.17723502222222,125.38938946666671
platen_lateral_confinement,6,0.003016,core_medium,45,0,29775.744667300674,4456.596518565544,15557895.0,0.00876194307511111,0.023245666,0.0,-33.01179087111111,-33.01178967777777,-166.77237537777776,166.77237537777776,0.4715377823776913,77.59865197555554,133.76058510333337
platen_lateral_confinement,6,0.003016,specimen_minus_edges,71,0,25795.012852812113,6556.003001566149,15557895.0,0.007000642664507042,0.023245666,0.0,-27.329029559154925,-27.329029100000003,-163.9594976197183,163.9594976197183,0.4635845578875421,72.87251875962441,136.63046829014087
platen_lateral_confinement,7,0.003519,core_small,15,0,28749.00305814267,1270.5510712210057,9138205.0,-0.002524497266666667,0.013734359,0.0,-9.747326606666666,-9.74732648,-201.35783333333333,201.35783333333333,0.5693258609484821,73.61749547333334,191.61050679000007
platen_lateral_confinement,7,0.003519,core_medium,45,0,26596.580365712212,2667.9716935241076,9138205.0,-0.0007889781984444449,0.013734359,0.0,-7.809521591111105,-7.809519884444446,-204.77091088888895,204.77091088888895,0.5789761103856813,73.46331745481483,196.96139015111123
platen_lateral_confinement,7,0.003519,specimen_minus_edges,63,0,23604.17062580634,5291.915954603834,19002820.0,-0.003685923567142859,0.02854627,0.0,-3.7961224063492085,-3.7961215365079326,-213.14130498412695,213.14130498412695,0.6026428421232073,73.57784964232803,209.3451830126984
platen_lateral_confinement,8,0.004022,core_small,15,0,34484.822405268,2422.995740613256,25214638.0,-0.027658129200000003,0.037947875,0.0,-2.640446426666666,-2.6404450733333333,-258.7040246666667,258.7040246666667,0.7314683970122215,87.99497205555558,256.06357891666676
platen_lateral_confinement,8,0.004022,core_medium,45,0,31717.86241876045,3329.569164713188,26650342.0,-0.025639127355555555,0.04010969,0.0,-0.6584386177777771,-0.658436500222222,-257.5744660000001,257.5744660000001,0.7282746451241228,86.29711370600002,256.9160284410001
platen_lateral_confinement,8,0.004022,specimen_minus_edges,63,0,29450.26873162238,4858.185246741329,33779200.0,-0.026869392222222233,0.050816566,0.0,-0.8812732507936507,-0.8812721192063446,-263.20258285714294,263.20258285714294,0.7441877706388731,88.32170940904764,262.321310172143
platen_lateral_confinement,9,0.004524,core_small,15,0,43887.390151764004,2215.4794326831684,33745132.0,-0.04575445400000001,0.050707553,0.0,-16.558920218146667,-16.558918978793333,-331.44259,331.44259,0.9371318452476964,121.52014306564666,314.88367040153
