part,time,idp,return_status,failed,region,velocity,velocity_gradient_available,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm,DivVel,PorePressRate
0,0.0,252,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,253,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,262,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,263,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,264,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,317,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,318,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,319,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,328,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,329,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,330,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,339,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,340,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,341,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,394,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,395,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,396,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,405,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,406,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,407,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,416,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,417,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,418,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,471,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,472,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,473,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,482,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,483,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,484,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,526,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,527,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,528,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,163,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,164,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,165,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,174,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,175,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,176,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,207,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,208,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,209,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,218,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,219,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,220,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,229,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,230,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,231,0,0,lateral_surface,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,273,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,274,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,275,0,0,measurement_core,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,284,0,0,interior,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
