run,time,frame,particles,code,excluded,steps,runtime_s,body_gravity_stop_log,hydraulic_gravity_active_log,PorePress_min,PorePress_max,PorePress_mean,PorePress_maxAbs,ExcessPorePress_min,ExcessPorePress_max,ExcessPorePress_mean,ExcessPorePress_maxAbs,PorePressRate_min,PorePressRate_max,PorePressRate_mean,PorePressRate_maxAbs,DivVel_min,DivVel_max,DivVel_mean,DivVel_maxAbs,LapPorePress_min,LapPorePress_max,LapPorePress_mean,LapPorePress_maxAbs,LapZ_min,LapZ_max,LapZ_mean,LapZ_maxAbs,Vel_mag_max,Vel_mag_mean,PorePressureAccelDiff_mag_maxAbs,settlement_dz_mean,zmin,zmax,top_count,bottom_count,bottom_ref_count,top_excess_maxAbs,bottom_excess_mean,bottom_no_flux_proxy,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,case,TimeMax,TimeOut
T3p6,1.0,PartCsv_0010,1000,0,0,3775438,8841.972656,True,True,49.07676177714,9749.431550979,4897.714776769836,9749.431550979,-11.51831320679,9.736822903506e-09,-7.302367738227379,11.51831320679,-109106.17,1108.3923,-1392.26553254662,109106.17,-4.4938449e-09,6.3214275e-06,2.0888414399391726e-06,6.3214275e-06,-725631.44,725368.19,-0.7425901437206194,725631.44,-73.969719,73.968391,7.61233590685606e-05,73.969719,2.0826483000099828e-06,1.3463234646616017e-06,0.008921198500003088,-1.7273649000011347e-06,0.0050002006,0.99499726,20,20,20,9.736822903506e-09,-11.516898260983,3.5479495004153705e-06,4214.285000000001,109107.13353720626,S1_BGStop_T36,3.6,0.1
T3p6,1.1,PartCsv_0011,1000,0,0,3775438,8841.972656,True,True,49.07479387783,9750.275176303,4898.237512748872,9750.275176303,-10.67460784955,9.069175632703e-09,-6.778365426304877,10.67460784955,-100919.05,377.15927,-1293.7043587880003,100919.05,-3.4869521e-09,5.4677639e-06,1.9408684482668232e-06,5.4677639e-06,-725630.81,725389.19,-0.7426188415919897,725630.81,-73.969734,73.968338,7.603096014833e-05,73.969734,1.939761900003126e-06,1.2479001601180704e-06,0.008306985700005652,-1.5988693999996508e-06,0.0050001936,0.9949975,20,20,20,9.069175632703e-09,-10.673343234410499,5.970594987303457e-07,3645.175933333334,100918.37852531372,S1_BGStop_T36,3.6,0.1
T3p6,1.200001,PartCsv_0012,1000,0,0,3775438,8841.972656,True,True,49.07295959462,9751.047876071,4898.722483733803,9751.047876071,-9.901960658244,8.414609453666e-09,-6.292217406688547,9.901960658244,-100952.58,16122.339,-1201.8313701523603,100952.58,-2.3773181e-09,4.9831906e-06,1.8025997717758034e-06,4.9831906e-06,-725630.56,725383.44,-0.7424374575976981,725630.56,-73.969727,73.968307,7.554835614072886e-05,73.969727,1.7995968000673842e-06,1.153642187567258e-06,0.007599919100171297,-1.4798537999992264e-06,0.0050001871,0.99499768,20,20,20,8.414609453666e-09,-9.90070427773095,1.2909665802141035e-05,3322.127066666667,100949.61331974056,S1_BGStop_T36,3.6,0.1
T3p6,1.300001,PartCsv_0013,1000,0,0,3775438,8841.972656,True,True,49.07125444351,9751.758301608,4899.173745142217,9751.758301608,-9.191438481545,7.847170024888e-09,-5.83986316790847,9.191438481545,-87791.242,892.02911,-1117.62620088464,87791.242,1.2838641e-09,4.6354858e-06,1.6767603992956998e-06,4.6354858e-06,-725630.06,725421.94,-0.7430407442518044,725630.06,-73.969727,73.968285,7.602352364995113e-05,73.969727,1.677475200203767e-06,1.0772637883746446e-06,0.007177745900007538,-1.3675944999998173e-06,0.005000182,0.99499786,20,20,20,7.847170024888e-09,-9.19032965749635,1.5521679994634496e-06,3090.323866666667,87786.75093442056,S1_BGStop_T36,3.6,0.1
T3p6,1.4,PartCsv_0014,1000,0,0,3775438,8841.972656,True,True,49.06967068898,9752.424500833,4899.592351777718,9752.424500833,-8.525147544293,7.265583690241e-09,-5.4202424756320315,8.525147544293,-80942.797,302.0094,-1035.5221464645003,80942.797,-1.5214213e-10,4.1457374e-06,1.5535454942966251e-06,4.1457374e-06,-725629.69,725439.31,-0.7430995229326655,725629.69,-73.969727,73.968262,7.601934534793031e-05,73.969727,1.5537984004119165e-06,9.949867217097804e-07,0.006662138700007316,-1.2602525999982558e-06,0.0050001773,0.99499798,20,20,20,7.265583690241e-09,-8.52417839884035,3.4743772996392863e-06,2763.824933333334,80938.74006116082,S1_BGStop_T36,3.6,0.1
T3p6,1.5,PartCsv_0015,1000,0,0,3775438,8841.972656,True,True,49.06819966505,9753.030803249,4899.981061890075,9753.030803249,-7.918876923739,6.764594218112e-09,-5.030589988901585,7.918876923739,-74914.039,164.94025,-963.1116815286002,74914.039,-2.0491617e-09,4.0583045e-06,1.4446642663459703e-06,4.0583045e-06,-725629.44,725454.62,-0.7436668706497876,725629.44,-73.969734,73.968239,7.581000546991846e-05,73.969734,1.4460211000716612e-06,9.284766681438446e-07,0.006176878700046131,-1.1686287000012069e-06,0.0050001731,0.99499816,20,20,20,6.764594218112e-09,-7.917917887226899,1.4639807499605695e-06,2705.536333333334,74905.46653075166,S1_BGStop_T36,3.6,0.1
T3p6,1.600001,PartCsv_0016,1000,0,0,3775438,8841.972656,True,True,49.06683687467,9753.608105106,4900.343431507807,9753.608105106,-7.341531539678,6.26793905667e-09,-4.667348098449072,7.341531539678,-70192.797,712.9668,-892.3185417345803,70192.797,-2.3922899e-09,3.5766927e-06,1.3388830801621116e-06,3.5766927e-06,-725629.12,725466.25,-0.7434955122929532,725629.12,-73.969727,73.968208,7.619286510106349e-05,73.969727,1.3400295000606844e-06,8.58552423009605e-07,0.005738924700836616,-1.0798133999988818e-06,0.0050001685,0.99499828,20,20,20,6.26793905667e-09,-7.340660095089399,2.888664449862688e-06,2384.4618000000005,70193.29391777287,S1_BGStop_T36,3.6,0.1
T3p6,1.700001,PartCsv_0017,1000,0,0,3775438,8841.972656,True,True,49.0655713055,9754.139371309,4900.679612513926,9754.139371309,-6.810223634471,5.810505854242e-09,-4.330357408933355,6.810223634471,-64693.023,241.50359,-827.5906425607,64693.023,2.0671609e-09,3.267721e-06,1.2414671974446997e-06,3.267721e-06,-725628.88,725480.19,-0.7435507526537404,725628.88,-73.969727,73.968208,7.590329795979755e-05,73.969727,1.242605200030246e-06,7.958511605412335e-07,0.005324883400086816,-9.970357000007296e-07,0.0050001647,0.9949984,20,20,20,5.810505854242e-09,-6.809431287861651,4.009631397572377e-06,2178.480666666667,64688.02718314719,S1_BGStop_T36,3.6,0.1
T3p6,1.8,PartCsv_0018,1000,0,0,3775438,8841.972656,True,True,49.06439585762,9754.632690863,4900.991366071004,9754.632690863,-6.316860560906,5.387931878431e-09,-4.0178518023204655,6.316860560906,-59880.035,131.58691,-767.7920898036,59880.035,-3.9048955e-09,3.0333579e-06,1.1519951557057017e-06,3.0333579e-06,-725628.56,725492.56,-0.7440758769050008,725628.56,-73.969734,73.968185,7.613620414770139e-05,73.969734,1.1519696000114794e-06,7.370144711045998e-07,0.004937051300084992,-9.206524999991369e-07,0.005000161,0.99499851,20,20,20,5.387931878431e-09,-6.316146002772751,4.9844943479371295e-06,2022.2386000000001,59876.53278967156,S1_BGStop_T36,3.6,0.1
T3p6,1.9,PartCsv_0019,1000,0,0,3775438,8841.972656,True,True,49.06330507333,9755.088233094,4901.281093306526,9755.088233094,-5.861348154198,5.018705451221e-09,-3.727426712652869,5.861348154198,-56446.473,905.22302,-713.3229283054284,56446.473,4.4810222e-09,2.8069949e-06,1.0701953196295005e-06,2.8069949e-06,-725628.38,725500.69,-0.7439331221835455,725628.38,-73.969727,73.968163,7.608092600841588e-05,73.969727,1.0730035000052344e-06,6.876978209290693e-07,0.004581274900023194,-8.477520999993649e-07,0.0050001582,0.99499863,20,20,20,5.018705451221e-09,-5.8606330022791,3.099384950466799e-06,1871.3299333333337,56442.69928644503,S1_BGStop_T36,3.6,0.1
