case,part,time,region,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,porepressrate_mean,divvel_mean
CaseT4_StressPath_SelectedConfinement,2,0.000704,zhao_measurement_cylinder,0.0499999563963964,-6.039170899474477e-08,1.2269485259666666e-06,940.5295886612754,93.73295150175689,940.5295886612754,8139384.922222222,-0.012208443044444444
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_small,0.049999371711711704,-8.235830899205876e-07,2.772833300500001e-06,1979.648812932,0.0,1979.648812932,10150958.0,-0.015226207
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_medium,0.049999371711711704,-8.235830899205876e-07,2.765861883133334e-06,2015.7439514602665,108.87878588560523,2015.7439514602665,10247324.6,-0.015371809799999999
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_large,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,1926.8318031948668,181.84813503141086,1926.8318031948668,9809841.922222223,-0.014715514111111109
CaseT4_StressPath_SelectedConfinement,3,0.000804,full_excluding_caps_edges,0.049999371711711704,-8.235830899205876e-07,2.5773263175521244e-06,2144.3469570709344,922.4841857479759,2144.3469570709344,11698624.14980695,-0.01754908337915058
CaseT4_StressPath_SelectedConfinement,3,0.000804,zhao_measurement_cylinder,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,1926.8318031948668,181.84813503141086,1926.8318031948668,9809841.922222223,-0.014715514111111109
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_small,0.04999753126126119,-3.049865699988885e-06,3.3700262520000007e-06,1751.694242425,0.0,1751.694242425,-2267302.5,0.003400604
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_medium,0.04999753126126119,-3.049865699988885e-06,3.7926277477933335e-06,2348.0632638248,325.1686522709785,2348.0632638248,3305344.6006666664,-0.00496018752
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_large,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,2408.0353362549777,416.72284087006454,2408.0353362549777,4786190.38688889,-0.007180678064444445
CaseT4_StressPath_SelectedConfinement,4,0.000905,full_excluding_caps_edges,0.04999753126126119,-3.049865699988885e-06,4.863819478663127e-06,4002.6313576869034,4204.532255268488,4002.6313576869034,18483037.43007722,-0.027728008920077218
CaseT4_StressPath_SelectedConfinement,4,0.000905,zhao_measurement_cylinder,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,2408.0353362549777,416.72284087006454,2408.0353362549777,4786190.38688889,-0.007180678064444445
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_small,0.04999337702702694,-7.335676499853339e-06,7.399774702000002e-06,7382.102129778,0.0,7382.102129778,56007448.0,-0.083995573
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_medium,0.04999337702702694,-7.335676499853339e-06,8.567104423793337e-06,8415.558074671599,440.0525669239222,8415.558074671599,60355289.86666667,-0.09052934600000001
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_large,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,7997.569834023978,889.8218559433066,7997.569834023978,55600867.46666667,-0.08339803317777778
CaseT4_StressPath_SelectedConfinement,5,0.001005,full_excluding_caps_edges,0.04999337702702694,-7.335676499853339e-06,1.1498707810767377e-05,11036.899244083852,18017.89448220708,11036.899244083852,69972087.38996139,-0.10496975772200773
CaseT4_StressPath_SelectedConfinement,5,0.001005,zhao_measurement_cylinder,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,7997.569834023978,889.8218559433066,7997.569834023978,55600867.46666667,-0.08339803317777778
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_small,0.04997026171171162,-4.7754786999948395e-05,1.57642250629e-05,12593.58804008,0.0,12593.58804008,-449481.91,0.0007672112
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_medium,0.04997026171171162,-4.7754786999948395e-05,3.4918855923753335e-05,28999.87543869,5361.619128005797,28999.87543869,114431102.27266666,-0.17167713658666667
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_large,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,30966.173308747108,5249.624902161105,30966.173308747108,128519869.86866666,-0.1928048310844445
CaseT4_StressPath_SelectedConfinement,6,0.001206,full_excluding_caps_edges,0.04997026171171162,-4.7754786999948395e-05,0.00010682256974759519,87475.42647076151,369665.18937968434,87475.42647076151,562226353.3671428,-0.8435263809528959
