case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,mean_pore_pressure_for_total_proxy
CaseT4_StressPath_SelectedConfinement,2,0.000704,full_excluding_caps_edges,259,0.0499999563963964,-6.039170899474477e-08,1.1351305709884172e-06,2.4203978479794084,1.5850329778764494,1.3637091960617764,2.948742173938224,-2.9487422096525107,-2.948742138223937,-1.3637091960617764,-1.7116502031263398e-08,2.270614687391561e-08,9.535553134314655e-09,968.1425904469966
CaseT4_StressPath_SelectedConfinement,2,0.000704,zhao_measurement_cylinder,45,0.0499999563963964,-6.039170899474477e-08,1.2269485259666666e-06,2.3512179157777777,1.7345497760000077,1.1948513984444444,2.929401174444444,-2.9294012577777777,-2.92940109111111,-1.1948513984444444,-1.5199748407443735e-08,3.092572671651676e-08,3.442089593846336e-08,940.5295886612754
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_small,1,0.049999371711711704,-8.235830899205876e-07,2.772833300500001e-06,4.948718046666667,7.09685056000001,0.21748434,7.3143349,-7.3143349,-7.3143349,-0.21748434,5.8492372e-08,-2.3429429e-08,2.1385796e-07,1979.648812932
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_medium,15,0.049999371711711704,-8.235830899205876e-07,2.765861883133334e-06,5.039317093044445,7.4737042608667,0.05684758580000001,7.530551846666667,-7.530552226666668,-7.530551466666667,-0.05684758580000001,2.651773033333333e-08,-1.0231406091818933e-08,1.3213064419999773e-07,2015.7439514602665
CaseT4_StressPath_SelectedConfinement,3,0.000804,center_core_large,45,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,4.817100199251852,7.695780728911132,-0.3134202866888888,7.382360442222223,-7.382360764444444,-7.382360120000001,0.3134202866888888,-2.9432979103343687e-09,2.2389045212851185e-08,7.079042306543413e-08,1926.8318031948668
CaseT4_StressPath_SelectedConfinement,3,0.000804,full_excluding_caps_edges,259,0.049999371711711704,-8.235830899205876e-07,2.5773263175521244e-06,5.361101519741312,6.257459422436298,1.1894619047837847,7.4469213272200765,-7.446921484555987,-7.446921169884166,-1.1894619047837847,-1.7083318082324204e-08,9.296131466495041e-10,-5.941514287001743e-09,2144.3469570709344
CaseT4_StressPath_SelectedConfinement,3,0.000804,zhao_measurement_cylinder,45,0.049999371711711704,-8.235830899205876e-07,2.5731463837444448e-06,4.817100199251852,7.695780728911132,-0.3134202866888888,7.382360442222223,-7.382360764444444,-7.382360120000001,0.3134202866888888,-2.9432979103343687e-09,2.2389045212851185e-08,7.079042306543413e-08,1926.8318031948668
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_small,1,0.04999753126126119,-3.049865699988885e-06,3.3700262520000007e-06,4.378892033333334,20.052809900000096,-8.9896479,11.063162,-11.063162,-11.063162,8.9896479,2.6819026e-07,-1.0179524e-06,-4.0509002e-07,1751.694242425
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_medium,15,0.04999753126126119,-3.049865699988885e-06,3.7926277477933335e-06,5.870479735555556,20.91143469333342,-8.070476726666667,12.840957966666668,-12.840958533333334,-12.8409574,8.070476726666667,2.8544237446666664e-07,-7.592024006772387e-07,-4.3992834066012656e-07,2348.0632638248
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_large,45,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,6.020342593333336,22.191618886666717,-8.774069997777776,13.417548888888891,-13.417549355555561,-13.417548422222222,8.774069997777776,2.576960365985315e-07,-5.19282133934176e-07,-4.187269686712409e-07,2408.0353362549777
CaseT4_StressPath_SelectedConfinement,4,0.000905,full_excluding_caps_edges,259,0.04999753126126119,-3.049865699988885e-06,4.863819478663127e-06,10.007392211891887,18.675599192316625,-2.443007249652512,16.232591942664087,-16.23259239189188,-16.232591493436292,2.443007249652512,8.706407891502751e-08,-2.5207105306714723e-07,-2.9340582283456935e-07,4002.6313576869034
CaseT4_StressPath_SelectedConfinement,4,0.000905,zhao_measurement_cylinder,45,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,6.020342593333336,22.191618886666717,-8.774069997777776,13.417548888888891,-13.417549355555561,-13.417548422222222,8.774069997777776,2.576960365985315e-07,-5.19282133934176e-07,-4.187269686712409e-07,2408.0353362549777
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_small,1,0.04999337702702694,-7.335676499853339e-06,7.399774702000002e-06,18.452313,49.91470950000064,-14.82416,35.0905495,-35.090546,-35.090553,14.82416,2.2447914e-06,-1.3541407e-06,-1.5529046e-06,7382.102129778
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_medium,15,0.04999337702702694,-7.335676499853339e-06,8.567104423793337e-06,21.038615482222227,50.643552353333625,-12.723752753333333,37.919799600000005,-37.91979986666667,-37.91979933333334,12.723752753333333,2.119885846666667e-06,-1.6528669319518688e-06,-1.588120487146701e-06,8415.558074671599
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_large,45,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,19.993631851111115,56.59277701333358,-17.73488615777778,38.85789085555556,-38.857891622222226,-38.857890088888894,17.73488615777778,2.2580005267829822e-06,-1.2909464658002652e-06,-1.2801428157318797e-06,7997.569834023978
CaseT4_StressPath_SelectedConfinement,5,0.001005,full_excluding_caps_edges,259,0.04999337702702694,-7.335676499853339e-06,1.1498707810767377e-05,27.59501158712999,50.588272464478884,-6.130503389189188,44.457769075289576,-44.45777044401544,-44.45776770656371,6.130503389189188,9.008723531892025e-07,-8.600345045926586e-07,-8.638065327942435e-07,11036.899244083852
CaseT4_StressPath_SelectedConfinement,5,0.001005,zhao_measurement_cylinder,45,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,19.993631851111115,56.59277701333358,-17.73488615777778,38.85789085555556,-38.857891622222226,-38.857890088888894,17.73488615777778,2.2580005267829822e-06,-1.2909464658002652e-06,-1.2801428157318797e-06,7997.569834023978
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_small,1,0.04997026171171162,-4.7754786999948395e-05,1.57642250629e-05,31.463180666666663,173.59808350001,-84.268875,89.3292085,-89.329193,-89.329224,84.268875,1.8577477e-05,-2.3841607e-05,2.4142764e-06,12593.58804008
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_medium,15,0.04997026171171162,-4.7754786999948395e-05,3.4918855923753335e-05,72.50750788888888,163.55370383334136,-36.52829466666667,127.02540916666666,-127.02540413333332,-127.02541420000001,36.52829466666667,2.332990409333334e-05,-1.7397504466279445e-05,-1.1974256584797633e-06,28999.87543869
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_large,45,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,77.42150242222222,261.6875325666724,-97.03685262222223,164.65067994444445,-164.65067226666665,-164.65068762222222,97.03685262222223,3.0089149431786507e-05,-6.597718555351801e-06,-8.141212643093038e-07,30966.173308747108
CaseT4_StressPath_SelectedConfinement,6,0.001206,full_excluding_caps_edges,259,0.04997026171171162,-4.7754786999948395e-05,0.00010682256974759519,218.73033659868727,326.25230584494216,1.2287993687258418,327.481105213668,-327.4811071644787,-327.48110326285723,-1.2287993687258418,2.872848309067531e-07,-1.3690949179847684e-06,-3.2876046884930087e-07,87475.42647076151
CaseT4_StressPath_SelectedConfinement,6,0.001206,zhao_measurement_cylinder,45,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,77.42150242222222,261.6875325666724,-97.03685262222223,164.65067994444445,-164.65067226666665,-164.65068762222222,97.03685262222223,3.0089149431786507e-05,-6.597718555351801e-06,-8.141212643093038e-07,30966.173308747108
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_small,1,0.04997495486486481,-0.00015410128899995268,2.7685334258499992e-05,71.42506633333333,89.82070100048149,11.544599,101.36529999999999,-101.36514,-101.36546,-11.544599,-2.7223385e-05,1.2108801e-06,4.9892646e-05,28600.82582888
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_medium,24,0.04997495486486481,-0.00015410128899995268,8.520748067979329e-05,219.65025956944444,329.95232691674266,-0.31795837499999874,329.6343685416667,-329.63425458333336,-329.6344825,0.31795837499999874,3.3916155375000046e-06,5.4251277335126794e-05,2.7815804794310377e-05,87850.4694582675
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_large,45,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,185.3241405925926,346.21347858897354,-45.48484513333333,300.7286334555556,-300.7285068222222,-300.728760088889,45.48484513333333,2.7911654069612268e-05,4.80418659113487e-05,2.0064700556253632e-05,74125.78097213423
CaseT4_StressPath_SelectedConfinement,7,0.001305,full_excluding_caps_edges,259,0.04997495486486481,-0.00015410128899995268,0.00028550821628814177,676.292636163449,762.5972651254957,167.89445941312738,930.4917245386098,-930.4917001930497,-930.4917488841697,-167.89445941312738,-7.140478089300484e-05,3.0924054737245577e-05,1.2306224691541972e-05,270448.71607165143
CaseT4_StressPath_SelectedConfinement,7,0.001305,zhao_measurement_cylinder,45,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,185.3241405925926,346.21347858897354,-45.48484513333333,300.7286334555556,-300.7285068222222,-300.728760088889,45.48484513333333,2.7911654069612268e-05,4.80418659113487e-05,2.0064700556253632e-05,74125.78097213423
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_small,1,0.05014149666666648,-0.0005894861800000151,-0.00012897551299150006,-488.54641999999996,989.3868600007845,171.04482,-818.34204,818.34259,818.34149,-171.04482,-0.00014867027,0.00027059464,0.00034592373,-76070.24180654
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_medium,25,0.05014149666666648,-0.0005894861800000151,0.00012407954753745995,215.73398853333333,440.0773948014007,509.11891840000004,69.0415236,-69.041006,-69.04204120000003,-509.11891840000004,-1.4737992839999989e-05,0.0002828118754571901,0.00025066082004741473,-80399.92161465045
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_large,46,0.05014149666666648,-0.0005894861800000151,6.912551738418917e-05,57.77731545652173,396.7762683281222,322.294827673913,-74.48144065217392,74.48204152173916,74.48083978260865,-322.294827673913,6.116604910620599e-05,0.000298830891658188,0.00029030889633620814,-55270.180674438496
CaseT4_StressPath_SelectedConfinement,8,0.0014,full_excluding_caps_edges,259,0.05014149666666648,-0.0005894861800000151,0.0007249109186274276,1702.0862055019313,1410.3422029925257,761.8580701737453,2172.200273166024,-2172.1999055984566,-2172.200640733591,-761.8580701737453,-0.00026304531582558357,0.00013158429984501274,0.0001037063660115146,-269782.16862219595
CaseT4_StressPath_SelectedConfinement,8,0.0014,zhao_measurement_cylinder,45,0.05014149666666648,-0.0005894861800000151,6.14707313348655e-05,27.737032740740727,450.691536223982,328.19805688888886,-122.49347933333334,122.49407800000004,122.49288066666664,-328.19805688888886,7.625667066248651e-05,0.00029179993081874676,0.0002817382333634871,-62729.81500366825
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_small,3,0.03326023840425518,-0.001101435479999996,-0.0051802758537915035,-6490.568144444445,14516.546066669222,3187.129233333333,-11329.416833333335,11329.421666666667,11329.412000000002,-3187.129233333333,-0.0005151103,0.0006753435066666666,0.0007962473266666667,-2623483.358207667
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_medium,25,0.03326023840425518,-0.001101435479999996,-0.004371150486712944,-5273.0712696,10579.016024402163,1779.60608,-8799.4099444,8799.413741999997,8799.406146800004,-1779.60608,-0.00013297590400000004,0.0006594178340671396,0.0006066629999986617,-2276160.6480003204
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_large,63,0.03326023840425518,-0.001101435479999996,-0.004647394787060943,-5298.658008042327,6991.8697311141605,-637.4115206349206,-7629.281251746032,7629.284907142855,7629.277596349209,637.4115206349206,0.0003224957088114313,0.0006491345737317932,0.0005693330857187873,-2197875.9316298575
CaseT4_StressPath_SelectedConfinement,9,0.001507,full_excluding_caps_edges,259,0.03326023840425518,-0.001101435479999996,-0.00427905838698555,-4044.6261805791532,4179.479098091455,-1258.3067818532804,-5437.78587994209,5437.788453783787,5437.783306100393,1258.3067818532804,-0.0008055634528223667,0.0002823343163939779,0.00012882307651669594,-2569065.8778291917
CaseT4_StressPath_SelectedConfinement,9,0.001507,zhao_measurement_cylinder,45,0.03326023840425518,-0.001101435479999996,-0.0048114115492042505,-6023.910771999999,10560.053144669095,1016.124657777778,-9543.928486888888,9543.932523333331,9543.924450444445,-1016.124657777778,0.0001483467199351354,0.0006882099076796698,0.0005563905555694266,-2483588.0515601556
