case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,excess_std,divvel_mean,divvel_std,porepressrate_mean,porepressrate_std,kplastic_max,kplastic_mean,fi_min,fi_mean,fi_median,fi_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,mean_pore_pressure_for_total_proxy,class_interior_count,class_lateral_count,class_top_count,class_bottom_count,class_edge_count,class_outside_count
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_medium,15,0.04999753126126119,-3.049865699988885e-06,3.7926277477933335e-06,2348.0632638248,325.1686522709785,2348.0632638248,325.1686522709785,-0.00496018752,0.0036147722944155016,3305344.6006666664,2408847.599510292,0.0,0.0,0.9983439365055462,0.998939822908034,0.9983439716008249,1.0013231743466533,-12.840958533333334,-12.8409574,8.070476726666667,2.8544237446666664e-07,-7.592024006772387e-07,-4.3992834066012656e-07,5.870479735555556,20.91143469333342,-8.070476726666667,12.840957966666668,2348.0632638248,15,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,4,0.000905,center_core_large,45,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,2408.0353362549777,416.72284087006454,2408.0353362549777,416.72284087006454,-0.007180678064444445,0.004164865064615626,4786190.38688889,2775510.545210193,0.0,0.0,0.9767003319282215,0.9890557401868315,0.9983436296804369,1.0013231743466533,-13.417549355555561,-13.417548422222222,8.774069997777776,2.576960365985315e-07,-5.19282133934176e-07,-4.187269686712409e-07,6.020342593333336,22.191618886666717,-8.774069997777776,13.417548888888891,2408.0353362549777,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,4,0.000905,full_excluding_caps_edges,259,0.04999753126126119,-3.049865699988885e-06,4.863819478663127e-06,4002.6313576869034,4204.532255268488,4002.6313576869034,4204.532255268488,-0.027728008920077218,0.04937812725173365,18483037.43007722,32910401.51144106,0.0,0.0,0.5748176669771203,0.7940954809867715,0.8622267871050917,1.0013231743466533,-16.23259239189188,-16.232591493436292,2.443007249652512,8.706407891502751e-08,-2.5207105306714723e-07,-2.9340582283456935e-07,10.007392211891887,18.675599192316625,-2.443007249652512,16.232591942664087,4002.6313576869034,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,4,0.000905,zhao_measurement_cylinder,45,0.04999753126126119,-3.049865699988885e-06,3.67890408861e-06,2408.0353362549777,416.72284087006454,2408.0353362549777,416.72284087006454,-0.007180678064444445,0.004164865064615626,4786190.38688889,2775510.545210193,0.0,0.0,0.9767003319282215,0.9890557401868315,0.9983436296804369,1.0013231743466533,-13.417549355555561,-13.417548422222222,8.774069997777776,2.576960365985315e-07,-5.19282133934176e-07,-4.187269686712409e-07,6.020342593333336,22.191618886666717,-8.774069997777776,13.417548888888891,2408.0353362549777,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_small,1,0.04999337702702694,-7.335676499853339e-06,7.399774702000002e-06,7382.102129778,0.0,7382.102129778,0.0,-0.083995573,0.0,56007448.0,0.0,0.0,0.0,1.0013230586773636,1.0013230586773636,1.0013230586773636,1.0013230586773636,-35.090546,-35.090553,14.82416,2.2447914e-06,-1.3541407e-06,-1.5529046e-06,18.452313,49.91470950000064,-14.82416,35.0905495,7382.102129778,1,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_medium,15,0.04999337702702694,-7.335676499853339e-06,8.567104423793337e-06,8415.558074671599,440.0525669239222,8415.558074671599,440.0525669239222,-0.09052934600000001,0.0021801897602336975,60355289.86666667,1450876.9144643464,0.0,0.0,0.9983453215954777,0.9989412139105284,0.9983455986864918,1.001324425962031,-37.91979986666667,-37.91979933333334,12.723752753333333,2.119885846666667e-06,-1.6528669319518688e-06,-1.588120487146701e-06,21.038615482222227,50.643552353333625,-12.723752753333333,37.919799600000005,8415.558074671599,15,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,5,0.001005,center_core_large,45,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,7997.569834023978,889.8218559433066,7997.569834023978,889.8218559433066,-0.08339803317777778,0.008963559483685185,55600867.46666667,5973362.478865478,0.0,0.0,0.9767001142587324,0.9890567693897998,0.9983448659720278,1.001324425962031,-38.857891622222226,-38.857890088888894,17.73488615777778,2.2580005267829822e-06,-1.2909464658002652e-06,-1.2801428157318797e-06,19.993631851111115,56.59277701333358,-17.73488615777778,38.85789085555556,7997.569834023978,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,5,0.001005,full_excluding_caps_edges,259,0.04999337702702694,-7.335676499853339e-06,1.1498707810767377e-05,11036.899244083852,18017.89448220708,11036.899244083852,18017.89448220708,-0.10496975772200773,0.20794158553820105,69972087.38996139,138592122.6739501,0.0,0.0,0.5748611196566032,0.7941001879914928,0.8622173785180476,1.001324425962031,-44.45777044401544,-44.45776770656371,6.130503389189188,9.008723531892025e-07,-8.600345045926586e-07,-8.638065327942435e-07,27.59501158712999,50.588272464478884,-6.130503389189188,44.457769075289576,11036.899244083852,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,5,0.001005,zhao_measurement_cylinder,45,0.04999337702702694,-7.335676499853339e-06,8.207839650721113e-06,7997.569834023978,889.8218559433066,7997.569834023978,889.8218559433066,-0.08339803317777778,0.008963559483685185,55600867.46666667,5973362.478865478,0.0,0.0,0.9767001142587324,0.9890567693897998,0.9983448659720278,1.001324425962031,-38.857891622222226,-38.857890088888894,17.73488615777778,2.2580005267829822e-06,-1.2909464658002652e-06,-1.2801428157318797e-06,19.993631851111115,56.59277701333358,-17.73488615777778,38.85789085555556,7997.569834023978,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_small,1,0.04997026171171162,-4.7754786999948395e-05,1.57642250629e-05,12593.58804008,0.0,12593.58804008,0.0,0.0007672112,0.0,-449481.91,0.0,0.0,0.0,1.0013133287539695,1.0013133287539695,1.0013133287539695,1.0013133287539695,-89.329193,-89.329224,84.268875,1.8577477e-05,-2.3841607e-05,2.4142764e-06,31.463180666666663,173.59808350001,-84.268875,89.3292085,12593.58804008,1,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_medium,15,0.04997026171171162,-4.7754786999948395e-05,3.4918855923753335e-05,28999.87543869,5361.619128005797,28999.87543869,5361.619128005797,-0.17167713658666667,0.058582778090992105,114431102.27266666,39033127.096889004,0.0,0.0,0.9983558975636767,0.9989526060196957,0.998360831349137,1.0013322922150873,-127.02540413333332,-127.02541420000001,36.52829466666667,2.332990409333334e-05,-1.7397504466279445e-05,-1.1974256584797633e-06,72.50750788888888,163.55370383334136,-36.52829466666667,127.02540916666666,28999.87543869,15,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,6,0.001206,center_core_large,45,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,30966.173308747108,5249.624902161105,30966.173308747108,5249.624902161105,-0.1928048310844445,0.059972575533355124,128519869.86866666,39964404.967249736,0.0,0.0,0.9766846619910576,0.9890618455956115,0.9983558975738407,1.0013383637185211,-164.65067226666665,-164.65068762222222,97.03685262222223,3.0089149431786507e-05,-6.597718555351801e-06,-8.141212643093038e-07,77.42150242222222,261.6875325666724,-97.03685262222223,164.65067994444445,30966.173308747108,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,6,0.001206,full_excluding_caps_edges,259,0.04997026171171162,-4.7754786999948395e-05,0.00010682256974759519,87475.42647076151,369665.18937968434,87475.42647076151,369665.18937968434,-0.8435263809528959,4.319546136027297,562226353.3671428,2879017661.4975295,0.0,0.0,0.5743199847285342,0.7941756090813521,0.8620512338638582,1.0013383637185211,-327.4811071644787,-327.48110326285723,-1.2287993687258418,2.872848309067531e-07,-1.3690949179847684e-06,-3.2876046884930087e-07,218.73033659868727,326.25230584494216,1.2287993687258418,327.481105213668,87475.42647076151,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,6,0.001206,zhao_measurement_cylinder,45,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,30966.173308747108,5249.624902161105,30966.173308747108,5249.624902161105,-0.1928048310844445,0.059972575533355124,128519869.86866666,39964404.967249736,0.0,0.0,0.9766846619910576,0.9890618455956115,0.9983558975738407,1.0013383637185211,-164.65067226666665,-164.65068762222222,97.03685262222223,3.0089149431786507e-05,-6.597718555351801e-06,-8.141212643093038e-07,77.42150242222222,261.6875325666724,-97.03685262222223,164.65067994444445,30966.173308747108,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_small,1,0.04997495486486481,-0.00015410128899995268,2.7685334258499992e-05,28600.82582888,0.0,28600.82582888,0.0,-0.2415977,0.0,161291630.0,0.0,0.0,0.0,1.0013314908548976,1.0013314908548976,1.0013314908548976,1.0013314908548976,-101.36514,-101.36546,-11.544599,-2.7223385e-05,1.2108801e-06,4.9892646e-05,71.42506633333333,89.82070100048149,11.544599,101.36529999999999,28600.82582888,1,0,0,0,0,0
