case,part,idp,class,fi,fi_selected
CaseT4_StressPath_SelectedConfinement,0,175,interior,0.9983439363538964,0
CaseT4_StressPath_SelectedConfinement,0,181,edge,0.8881834626846041,0
CaseT4_StressPath_SelectedConfinement,0,182,lateral,0.9317253376338372,0
CaseT4_StressPath_SelectedConfinement,0,183,lateral,0.9322990679708798,0
CaseT4_StressPath_SelectedConfinement,0,184,lateral,0.9322990200769569,0
CaseT4_StressPath_SelectedConfinement,0,226,bottom,0.9526440943860661,0
CaseT4_StressPath_SelectedConfinement,0,227,interior,0.9977702597714208,0
CaseT4_StressPath_SelectedConfinement,0,228,interior,0.9983439891211496,0
CaseT4_StressPath_SelectedConfinement,0,229,interior,0.9983439363538965,0
CaseT4_StressPath_SelectedConfinement,0,235,bottom,0.931479274548471,0
CaseT4_StressPath_SelectedConfinement,0,236,interior,0.9761270985235473,0
CaseT4_StressPath_SelectedConfinement,0,237,interior,0.9767008281707065,0
CaseT4_StressPath_SelectedConfinement,0,238,interior,0.9767007770268228,0
CaseT4_StressPath_SelectedConfinement,0,244,edge,0.8212955772079793,0
CaseT4_StressPath_SelectedConfinement,0,245,lateral,0.8616696653945233,0
CaseT4_StressPath_SelectedConfinement,0,246,lateral,0.8622305120047333,0
CaseT4_StressPath_SelectedConfinement,0,247,lateral,0.8622304675994917,0
CaseT4_StressPath_SelectedConfinement,0,280,edge,0.8881834626846042,0
CaseT4_StressPath_SelectedConfinement,0,281,lateral,0.9317253376338371,0
CaseT4_StressPath_SelectedConfinement,0,282,lateral,0.9322990679708799,0
CaseT4_StressPath_SelectedConfinement,0,283,lateral,0.932299020076957,0
CaseT4_StressPath_SelectedConfinement,0,289,edge,0.8212955772079795,0
CaseT4_StressPath_SelectedConfinement,0,290,lateral,0.8616696653945233,0
CaseT4_StressPath_SelectedConfinement,0,291,lateral,0.8622305120047333,0
CaseT4_StressPath_SelectedConfinement,0,292,lateral,0.8622304675994917,0
CaseT4_StressPath_SelectedConfinement,0,298,edge,0.6164901338065206,1
CaseT4_StressPath_SelectedConfinement,0,299,lateral,0.6463375745965779,1
CaseT4_StressPath_SelectedConfinement,0,300,lateral,0.6467570831226264,1
CaseT4_StressPath_SelectedConfinement,0,301,lateral,0.6467570494083397,1
