case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
ramp_current_adaptive,40,0.020006,0.000492507139999987,-242751.6607408424,129765.2110899006,72706384.0,0.10948719,0.006164154160455672
improved_adaptive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_adaptive,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
improved_adaptive,2,0.001005,3.5209336199382157e-06,-16020.058478676101,3490.241856321827,28763494.0,0.043205,0.002579783474192493
improved_adaptive,3,0.001508,1.2398299640004051e-05,-19528.998015548455,6092.170515802514,39100448.0,0.058673069,0.0038123380458998757
improved_adaptive,4,0.002011,2.3998789900059325e-05,-19175.63518079775,15094.779445647035,48412460.0,0.072715461,0.004554760578030807
improved_adaptive,5,0.002513,3.718537120001031e-05,-18982.749889627077,19243.498111692134,53209712.0,0.079905696,0.0049973645613251875
improved_adaptive,6,0.003016,5.129927960006997e-05,-21403.598712183466,28111.79888578296,56528908.0,0.084949814,0.005283593928532193
improved_adaptive,7,0.003519,6.598879130001456e-05,-26438.55342214202,29341.73165877975,59202048.0,0.088942364,0.005490353233113258
improved_adaptive,8,0.004021,8.104652400003909e-05,-33950.01355514073,37117.073354761225,61564248.0,0.092585549,0.005643382608023402
improved_adaptive,9,0.004524,9.618558910004515e-05,-41517.526566878376,39144.047868262416,64087092.0,0.096247308,0.00576173154885529
improved_adaptive,10,0.005027,0.00011130343600007642,-48792.52095908703,49196.7195904277,65488344.0,0.098500863,0.005851172646793688
improved_adaptive,11,0.005529,0.0001263094450000557,-55204.13784603928,52620.77306916607,66358568.0,0.099674731,0.005918317199336831
improved_adaptive,12,0.006032,0.0001412752890000979,-61747.320768167105,63444.82850527471,67096228.0,0.10088559,0.00596794397257411
improved_adaptive,13,0.006535,0.0001560961410000672,-68644.77491430448,65323.87306461618,67993352.0,0.10219483,0.006009114887278854
improved_adaptive,14,0.007037,0.00017081343700015017,-76402.28819551831,75048.48959346607,68709360.0,0.10333753,0.006037871633379242
improved_adaptive,15,0.00754,0.00018548769300005818,-84340.05817913212,75102.15014796243,69453344.0,0.10441005,0.0060600768260804265
improved_adaptive,16,0.008043,0.00020007336100011375,-92592.98374368345,84486.29474475254,70144488.0,0.1055218,0.006081942567251805
improved_adaptive,17,0.008545,0.00021457940799995967,-100239.99765701097,83959.4090537503,70930488.0,0.10664821,0.0061046511820077335
improved_adaptive,18,0.009048,0.00022911756299995312,-108017.42998139776,93656.53519194337,71582840.0,0.10770814,0.00612781433370499
improved_adaptive,19,0.00955,0.00024359033700002697,-115146.58061605981,92493.85405601248,72264504.0,0.10867031,0.006150680801472486
improved_adaptive,20,0.010053,0.0002580727650000614,-122859.06675122985,102003.75363559405,72793944.0,0.1095529,0.006172935019993011
improved_adaptive,21,0.010556,0.00027249737300005794,-130059.1611382922,99789.2475227846,73398208.0,0.11039079,0.006194755086439523
