case,part,time,idp,return_status,region,x,y,z,p_proxy,q_proxy,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,trigger_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
ramp_improved_adaptive,16,0.008043,431,-3,interior,0.010000878,3.9635784e-10,0.079991989,42.761359,68.52776604666238,119.02528,0.80131298,-0.00072470971,0.0025466026,8.3317565e-07,270.0,3074.5479,32.0,5.0,0.0025466026,-113135.173486,-23167604.0,0.034738079,0.0017366850465965992,0.289713
ramp_improved_adaptive,16,0.008043,432,-3,top_cap_zone,0.01000271,-1.2386945e-09,0.08998622,42.222644333333335,68.40769256009051,119.18918,0.80109304,-0.00060246349,0.003021433,1.5114138e-07,71.0,1532.3409,32.0,5.0,0.003021433,-175612.2998014,-51288536.0,0.077262372,0.0028727379066868625,0.289713
ramp_improved_adaptive,16,0.008043,433,-3,top_cap_zone,0.01000338,-5.7513139e-10,0.09997879,53.366242,71.77010518163603,120.39452,0.79947126,0.00029180598,0.0024207786,1.6246113e-07,71.0,1522.3285,32.0,5.0,0.0024207786,-201856.1099851,-50175412.0,0.075510167,0.00413313877701892,0.289713
ramp_improved_adaptive,16,0.008043,441,-3,interior,0.010000197,0.010000197,0.069994114,42.881072999999994,68.8377950342999,119.62177,0.80051279,-0.00028057318,0.00083196152,2.8966545e-07,157.0,1216.1437,32.0,5.0,0.00083196152,-62002.61910944,-11922552.0,0.017756045,0.0012614297110116754,0.289713
ramp_improved_adaptive,16,0.008043,442,-3,interior,0.010001446,0.010001446,0.079991773,42.311518,68.42868977426014,119.16355,0.80112785,-0.00062157318,0.0021021832,1.9366779e-07,93.0,1394.0148,32.0,5.0,0.0021021832,-112179.0649588,-23207962.0,0.034796946,0.0018456741965635912,0.289713
ramp_improved_adaptive,16,0.008043,444,-3,top_cap_zone,0.010004402,0.010004418,0.099978924,51.21029333333333,71.40834889528888,120.35806,0.79952174,0.00026488444,0.0028036437,3.7676324e-07,122.0,2357.4326,32.0,5.0,0.0028036437,-202357.6257214,-49913548.0,0.075115025,0.004214227136848186,0.289713
ramp_improved_adaptive,16,0.008043,497,-3,lateral_boundary,0.020004008,-1.462841e-09,0.079991795,43.12334766666667,68.80604802088747,119.36253,0.80085945,-0.00047333396,0.0016313045,8.0826504e-07,259.0,2879.0413,32.0,5.0,0.0016313045,-109187.7284827,-23173550.0,0.034732617,0.0019740795019234005,0.289713
ramp_improved_adaptive,16,0.008043,507,-3,lateral_boundary,0.020003434,0.010002392,0.069992691,42.62749733333333,68.78636044945466,119.70937,0.80039608,-0.00021552555,0.00060865941,4.061144e-07,189.0,1425.5923,32.0,5.0,0.00060865941,-57885.24322612,-12881872.0,0.019197278,0.0018269406330659256,0.289713
ramp_improved_adaptive,17,0.008546,181,-3,edge,-0.020003976,-0.020003976,-2.2904392e-06,29.761402333333336,61.92128188746388,119.22862,0.80105358,-0.00057305355,0.00073880266,1.3904238e-07,102.0,810.60071,32.0,5.0,0.00073880266,-61530.65928546,-18669456.0,0.028050985,0.0014431983344355267,0.289713
ramp_improved_adaptive,17,0.008546,259,-3,bottom_cap_zone,-0.010000727,-0.010000727,0.0099967727,42.90096666666667,68.9033437837152,119.75223,0.80033827,-0.00018368925,0.0004311552,3.4614661e-07,178.0,1299.1312,32.0,5.0,0.0004311552,-54112.9902414,-18577214.0,0.027935214,0.000867459445370002,0.289713
ramp_improved_adaptive,17,0.008546,324,-3,edge,-3.1475109e-12,-0.02000409,-1.1638166e-06,43.048262333333334,68.87397564897815,119.5713,0.80058032,-0.00031807451,0.00052877801,3.3035579e-07,170.0,1283.2253,32.0,5.0,0.00052877801,-61787.96222921,-18890660.0,0.028404206,0.0009932388666059003,0.289713
ramp_improved_adaptive,17,0.008546,335,-3,bottom_cap_zone,-1.3766502e-11,-0.010001449,-1.0718157e-06,44.18340233333333,69.30495007372383,119.67644,0.8004384,-0.00023997703,0.00054049573,1.9671738e-07,123.0,981.75323,32.0,5.0,0.00054049573,-62148.36115583,-18747770.0,0.028193871,0.00042080385308597955,0.289713
ramp_improved_adaptive,17,0.008546,336,-3,bottom_cap_zone,-8.0513769e-11,-0.010000573,0.0099966368,43.16157533333334,68.97710347750953,119.71243,0.80039138,-0.00021323979,0.0005082814,2.8269528e-07,157.0,1187.0583,32.0,5.0,0.0005082814,-54142.48849645,-18154330.0,0.027299855,0.000864172770522824,0.289713
ramp_improved_adaptive,17,0.008546,413,-3,bottom_cap_zone,0.010000727,-0.010000727,0.0099967727,42.893848,68.90081632429303,119.75222,0.80033839,-0.00018369709,0.00043117409,3.4625521e-07,177.0,1299.5651,32.0,5.0,0.00043117409,-54123.32433686,-18587144.0,0.027950168,0.0008677194356188425,0.289713
ramp_improved_adaptive,17,0.008546,467,-3,edge,0.020003976,-0.020003976,-2.2905085e-06,29.764191666666665,61.923216703399504,119.22862,0.80105358,-0.00057305366,0.00073880824,1.3904507e-07,100.0,810.61511,32.0,5.0,0.00073880824,-61534.07087708,-18663534.0,0.028042078,0.0014432204410079277,0.289713
ramp_improved_adaptive,17,0.008546,203,-3,edge,-0.02000409,-6.0888243e-12,-1.16349e-06,43.047648333333335,68.87376302040838,119.5713,0.80058032,-0.00031807498,0.00052877556,3.3026194e-07,171.0,1282.8439,32.0,5.0,0.00052877556,-61778.25133784,-18898504.0,0.028415969,0.000993233945945586,0.289713
ramp_improved_adaptive,17,0.008546,225,-3,edge,-0.020003976,0.020003976,-2.290386e-06,29.759020333333336,61.91962991384721,119.22862,0.80105358,-0.00057305372,0.00073879922,1.3904445e-07,100.0,810.61505,32.0,5.0,0.00073879922,-61527.24335381,-18676016.0,0.028060852,0.0014431983234174297,0.289713
ramp_improved_adaptive,17,0.008546,269,-3,bottom_cap_zone,-0.010001449,8.9158143e-12,-1.0716681e-06,44.183847333333325,69.30510832038883,119.67645,0.8004384,-0.00023996142,0.00054045068,1.9668425e-07,122.0,981.58051,32.0,5.0,0.00054045068,-62141.79966017,-18754726.0,0.02820429,0.00042083627363387826,0.289713
ramp_improved_adaptive,17,0.008546,270,-3,bottom_cap_zone,-0.010000573,6.8407224e-11,0.0099966368,43.18289433333334,68.98454192985251,119.71246,0.8003912,-0.00021320344,0.00050822791,2.5995422e-07,145.0,1136.6302,32.0,5.0,0.00050822791,-54128.67662424,-18137592.0,0.027274653,0.0008638447621580195,0.289713
ramp_improved_adaptive,17,0.008546,281,-3,bottom_cap_zone,-0.010000727,0.010000727,0.0099967727,42.908525,68.90602582178208,119.75224,0.80033827,-0.00018368188,0.00043114097,3.4605944e-07,176.0,1298.7822,32.0,5.0,0.00043114097,-54102.59959997,-18568224.0,0.027921671,0.0008671941422116865,0.289713
