case,time,status,count
ramp_current_adaptive,0.000503,2,0
ramp_current_adaptive,0.001005,-6,0
ramp_current_adaptive,0.001005,-5,0
ramp_current_adaptive,0.001005,-4,0
ramp_current_adaptive,0.001005,-3,0
ramp_current_adaptive,0.001005,-2,0
ramp_current_adaptive,0.001005,-1,128
ramp_current_adaptive,0.001005,0,171
ramp_current_adaptive,0.001005,1,108
ramp_current_adaptive,0.001005,2,0
ramp_current_adaptive,0.001508,-6,0
ramp_current_adaptive,0.001508,-5,0
ramp_current_adaptive,0.001508,-4,0
ramp_current_adaptive,0.001508,-3,0
ramp_current_adaptive,0.001508,-2,0
ramp_current_adaptive,0.001508,-1,74
ramp_current_adaptive,0.001508,0,128
ramp_current_adaptive,0.001508,1,205
ramp_current_adaptive,0.001508,2,0
ramp_current_adaptive,0.002011,-6,0
ramp_current_adaptive,0.002011,-5,0
ramp_current_adaptive,0.002011,-4,0
ramp_current_adaptive,0.002011,-3,0
ramp_current_adaptive,0.002011,-2,0
ramp_current_adaptive,0.002011,-1,33
ramp_current_adaptive,0.002011,0,230
ramp_current_adaptive,0.002011,1,144
ramp_current_adaptive,0.002011,2,0
ramp_current_adaptive,0.002513,-6,0
ramp_current_adaptive,0.002513,-5,0
ramp_current_adaptive,0.002513,-4,0
ramp_current_adaptive,0.002513,-3,4
ramp_current_adaptive,0.002513,-2,0
ramp_current_adaptive,0.002513,-1,12
ramp_current_adaptive,0.002513,0,235
ramp_current_adaptive,0.002513,1,156
ramp_current_adaptive,0.002513,2,0
ramp_current_adaptive,0.003016,-6,0
ramp_current_adaptive,0.003016,-5,0
ramp_current_adaptive,0.003016,-4,0
ramp_current_adaptive,0.003016,-3,8
ramp_current_adaptive,0.003016,-2,0
ramp_current_adaptive,0.003016,-1,4
ramp_current_adaptive,0.003016,0,232
ramp_current_adaptive,0.003016,1,163
ramp_current_adaptive,0.003016,2,0
ramp_current_adaptive,0.003519,-6,0
ramp_current_adaptive,0.003519,-5,0
ramp_current_adaptive,0.003519,-4,0
ramp_current_adaptive,0.003519,-3,0
ramp_current_adaptive,0.003519,-2,0
ramp_current_adaptive,0.003519,-1,0
ramp_current_adaptive,0.003519,0,206
ramp_current_adaptive,0.003519,1,201
ramp_current_adaptive,0.003519,2,0
ramp_current_adaptive,0.004022,-6,0
ramp_current_adaptive,0.004022,-5,0
ramp_current_adaptive,0.004022,-4,0
ramp_current_adaptive,0.004022,-3,16
ramp_current_adaptive,0.004022,-2,0
ramp_current_adaptive,0.004022,-1,0
ramp_current_adaptive,0.004022,0,185
ramp_current_adaptive,0.004022,1,206
ramp_current_adaptive,0.004022,2,0
ramp_current_adaptive,0.004524,-6,0
ramp_current_adaptive,0.004524,-5,0
ramp_current_adaptive,0.004524,-4,0
ramp_current_adaptive,0.004524,-3,0
ramp_current_adaptive,0.004524,-2,0
ramp_current_adaptive,0.004524,-1,0
ramp_current_adaptive,0.004524,0,145
ramp_current_adaptive,0.004524,1,262
ramp_current_adaptive,0.004524,2,0
ramp_current_adaptive,0.005027,-6,0
ramp_current_adaptive,0.005027,-5,0
ramp_current_adaptive,0.005027,-4,0
ramp_current_adaptive,0.005027,-3,8
ramp_current_adaptive,0.005027,-2,0
ramp_current_adaptive,0.005027,-1,0
ramp_current_adaptive,0.005027,0,92
ramp_current_adaptive,0.005027,1,307
ramp_current_adaptive,0.005027,2,0
ramp_current_adaptive,0.00553,-6,0
ramp_current_adaptive,0.00553,-5,0
ramp_current_adaptive,0.00553,-4,0
ramp_current_adaptive,0.00553,-3,0
ramp_current_adaptive,0.00553,-2,0
ramp_current_adaptive,0.00553,-1,0
ramp_current_adaptive,0.00553,0,63
ramp_current_adaptive,0.00553,1,344
ramp_current_adaptive,0.00553,2,0
ramp_current_adaptive,0.006032,-6,0
ramp_current_adaptive,0.006032,-5,0
