case,part,time,axial_strain,MccPc_mean,MccPc_min,MccPc_max,MccVoidRatio_mean,MccPlasticVolStrain_mean,MccEqPlasticStrain_mean,Kplastic_max
ramp_current_adaptive,38,0.019,0.0004639690799999874,119.64538562653576,117.89029,120.19632,0.8004781471498765,-0.0002637685262968059,0.000656227541505897,0.0023498593
ramp_current_adaptive,39,0.019503,0.0004782163599999223,119.63265439803446,117.8157,120.20185,0.8004952710073727,-0.00027327625034594604,0.0006778455943019662,0.0024262252
ramp_current_adaptive,40,0.020006,0.000492507139999987,119.61992002456975,117.74127,120.20738,0.8005123886732181,-0.0002827896554294839,0.0006994651535058971,0.0025024165
improved_adaptive,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.0,0.0,0.0
improved_adaptive,1,0.000503,-2.0285726015645267e-08,120.0,120.0,120.0,0.8000175002702695,0.0,0.0,0.0
improved_adaptive,2,0.001005,3.5209336199382157e-06,120.02063837837848,119.95001,120.69458,0.8000051274692888,1.5259550180240783e-05,4.2978992248083524e-05,0.0008098844
improved_adaptive,3,0.001508,1.2398299640004051e-05,120.02061108108097,119.87704,121.19646,0.7999983463390659,1.5135760244668308e-05,0.00014386513222823096,0.0016419262
improved_adaptive,4,0.002011,2.3998789900059325e-05,120.0019514496315,119.66389,121.53485,0.8000117068796078,1.2461814520884454e-06,0.00024148076298648652,0.0020343501
improved_adaptive,5,0.002513,3.718537120001031e-05,119.95369400491394,119.29169,121.69336,0.8000652993366101,-3.459689653759216e-05,0.0003491884137216216,0.0025539598
improved_adaptive,6,0.003016,5.129927960006997e-05,119.90846422604412,118.79403,121.74509,0.8001203881818171,-6.822747294963139e-05,0.00044753547375921365,0.0029279257
improved_adaptive,7,0.003519,6.598879130001456e-05,119.86532894348888,117.79793,121.74509,0.8001787308108094,-0.00010042855827027019,0.0005326127619945948,0.0041023376
improved_adaptive,8,0.004021,8.104652400003909e-05,119.78656049140055,116.69472,121.74509,0.8002886500737096,-0.000159356964681769,0.0006638665923792628,0.0053509609
