case,time,trigger_reason,count
ramp_current_adaptive,0.008546,4,0
ramp_current_adaptive,0.008546,5,16
ramp_current_adaptive,0.009048,0,391
ramp_current_adaptive,0.009048,1,0
ramp_current_adaptive,0.009048,2,0
ramp_current_adaptive,0.009048,3,0
ramp_current_adaptive,0.009048,4,0
ramp_current_adaptive,0.009048,5,16
ramp_current_adaptive,0.009551,0,403
ramp_current_adaptive,0.009551,1,0
ramp_current_adaptive,0.009551,2,0
ramp_current_adaptive,0.009551,3,0
ramp_current_adaptive,0.009551,4,0
ramp_current_adaptive,0.009551,5,4
ramp_current_adaptive,0.010053,0,394
ramp_current_adaptive,0.010053,1,0
ramp_current_adaptive,0.010053,2,0
ramp_current_adaptive,0.010053,3,0
ramp_current_adaptive,0.010053,4,0
ramp_current_adaptive,0.010053,5,13
ramp_current_adaptive,0.010556,0,395
ramp_current_adaptive,0.010556,1,0
ramp_current_adaptive,0.010556,2,0
ramp_current_adaptive,0.010556,3,0
ramp_current_adaptive,0.010556,4,0
ramp_current_adaptive,0.010556,5,12
ramp_current_adaptive,0.011059,0,402
ramp_current_adaptive,0.011059,1,0
ramp_current_adaptive,0.011059,2,0
ramp_current_adaptive,0.011059,3,0
ramp_current_adaptive,0.011059,4,0
ramp_current_adaptive,0.011059,5,5
ramp_current_adaptive,0.011561,0,402
ramp_current_adaptive,0.011561,1,0
ramp_current_adaptive,0.011561,2,0
ramp_current_adaptive,0.011561,3,0
ramp_current_adaptive,0.011561,4,0
ramp_current_adaptive,0.011561,5,5
ramp_current_adaptive,0.012064,0,390
ramp_current_adaptive,0.012064,1,0
ramp_current_adaptive,0.012064,2,0
ramp_current_adaptive,0.012064,3,0
ramp_current_adaptive,0.012064,4,0
ramp_current_adaptive,0.012064,5,17
ramp_current_adaptive,0.012567,0,398
ramp_current_adaptive,0.012567,1,0
ramp_current_adaptive,0.012567,2,0
ramp_current_adaptive,0.012567,3,0
ramp_current_adaptive,0.012567,4,0
ramp_current_adaptive,0.012567,5,9
ramp_current_adaptive,0.013069,0,394
ramp_current_adaptive,0.013069,1,0
ramp_current_adaptive,0.013069,2,0
ramp_current_adaptive,0.013069,3,0
ramp_current_adaptive,0.013069,4,0
ramp_current_adaptive,0.013069,5,13
ramp_current_adaptive,0.013572,0,398
ramp_current_adaptive,0.013572,1,0
ramp_current_adaptive,0.013572,2,0
ramp_current_adaptive,0.013572,3,0
ramp_current_adaptive,0.013572,4,0
ramp_current_adaptive,0.013572,5,9
ramp_current_adaptive,0.014075,0,398
ramp_current_adaptive,0.014075,1,0
ramp_current_adaptive,0.014075,2,0
ramp_current_adaptive,0.014075,3,0
ramp_current_adaptive,0.014075,4,0
ramp_current_adaptive,0.014075,5,9
ramp_current_adaptive,0.014577,0,398
ramp_current_adaptive,0.014577,1,0
ramp_current_adaptive,0.014577,2,0
ramp_current_adaptive,0.014577,3,0
ramp_current_adaptive,0.014577,4,0
ramp_current_adaptive,0.014577,5,9
ramp_current_adaptive,0.01508,0,398
ramp_current_adaptive,0.01508,1,0
ramp_current_adaptive,0.01508,2,0
ramp_current_adaptive,0.01508,3,0
ramp_current_adaptive,0.01508,4,0
ramp_current_adaptive,0.01508,5,9
ramp_current_adaptive,0.015583,0,394
ramp_current_adaptive,0.015583,1,0
ramp_current_adaptive,0.015583,2,0
ramp_current_adaptive,0.015583,3,0
ramp_current_adaptive,0.015583,4,0
ramp_current_adaptive,0.015583,5,13
ramp_current_adaptive,0.016085,0,394
ramp_current_adaptive,0.016085,1,0
ramp_current_adaptive,0.016085,2,0
ramp_current_adaptive,0.016085,3,0
ramp_current_adaptive,0.016085,4,0
ramp_current_adaptive,0.016085,5,13
ramp_current_adaptive,0.016588,0,398
ramp_current_adaptive,0.016588,1,0
ramp_current_adaptive,0.016588,2,0
ramp_current_adaptive,0.016588,3,0
ramp_current_adaptive,0.016588,4,0
ramp_current_adaptive,0.016588,5,9
ramp_current_adaptive,0.01709,0,394
ramp_current_adaptive,0.01709,1,0
ramp_current_adaptive,0.01709,2,0
ramp_current_adaptive,0.01709,3,0
ramp_current_adaptive,0.01709,4,0
ramp_current_adaptive,0.01709,5,13
ramp_current_adaptive,0.017593,0,397
ramp_current_adaptive,0.017593,1,0
ramp_current_adaptive,0.017593,2,0
ramp_current_adaptive,0.017593,3,0
ramp_current_adaptive,0.017593,4,0
ramp_current_adaptive,0.017593,5,10
ramp_current_adaptive,0.018096,0,394
ramp_current_adaptive,0.018096,1,0
ramp_current_adaptive,0.018096,2,0
ramp_current_adaptive,0.018096,3,0
ramp_current_adaptive,0.018096,4,0
ramp_current_adaptive,0.018096,5,13
ramp_current_adaptive,0.018598,0,396
ramp_current_adaptive,0.018598,1,0
ramp_current_adaptive,0.018598,2,0
ramp_current_adaptive,0.018598,3,0
ramp_current_adaptive,0.018598,4,0
ramp_current_adaptive,0.018598,5,11
ramp_current_adaptive,0.019,0,398
ramp_current_adaptive,0.019,1,0
ramp_current_adaptive,0.019,2,0
ramp_current_adaptive,0.019,3,0
ramp_current_adaptive,0.019,4,0
ramp_current_adaptive,0.019,5,9
ramp_current_adaptive,0.019503,0,398
ramp_current_adaptive,0.019503,1,0
ramp_current_adaptive,0.019503,2,0
ramp_current_adaptive,0.019503,3,0
ramp_current_adaptive,0.019503,4,0
ramp_current_adaptive,0.019503,5,9
ramp_current_adaptive,0.020006,0,398
ramp_current_adaptive,0.020006,1,0
ramp_current_adaptive,0.020006,2,0
ramp_current_adaptive,0.020006,3,0
ramp_current_adaptive,0.020006,4,0
ramp_current_adaptive,0.020006,5,9
improved_adaptive,0.0,0,407
improved_adaptive,0.0,1,0
improved_adaptive,0.0,2,0
improved_adaptive,0.0,3,0
improved_adaptive,0.0,4,0
improved_adaptive,0.0,5,0
improved_adaptive,0.000503,0,0
improved_adaptive,0.000503,1,0
improved_adaptive,0.000503,2,407
improved_adaptive,0.000503,3,0
improved_adaptive,0.000503,4,0
improved_adaptive,0.000503,5,0
improved_adaptive,0.001005,0,0
improved_adaptive,0.001005,1,0
improved_adaptive,0.001005,2,146
improved_adaptive,0.001005,3,156
improved_adaptive,0.001005,4,96
improved_adaptive,0.001005,5,9
improved_adaptive,0.001508,0,0
improved_adaptive,0.001508,1,0
improved_adaptive,0.001508,2,227
improved_adaptive,0.001508,3,118
improved_adaptive,0.001508,4,40
improved_adaptive,0.001508,5,22
improved_adaptive,0.002011,0,0
improved_adaptive,0.002011,1,0
improved_adaptive,0.002011,2,266
improved_adaptive,0.002011,3,74
improved_adaptive,0.002011,4,29
improved_adaptive,0.002011,5,38
improved_adaptive,0.002513,0,0
improved_adaptive,0.002513,1,0
improved_adaptive,0.002513,2,267
improved_adaptive,0.002513,3,64
improved_adaptive,0.002513,4,21
improved_adaptive,0.002513,5,55
improved_adaptive,0.003016,0,0
improved_adaptive,0.003016,1,0
improved_adaptive,0.003016,2,113
improved_adaptive,0.003016,3,40
improved_adaptive,0.003016,4,204
