case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,14,0.14,0.0026124553000000097,0.0019704421135956873,-0.00033990964769999666,53.19631299396,24786.08149813,13960.283943483746,53.196196499999736,9761.251909617,4908.3345133594485,0.0,15027.12831988,9051.949204955403,15027.12831988,24737.104612985997,9712.27503075735,15024.829169059993,-0.00845064950408414,0.0,4240946.533333334,122321820.4138634,122328700.0,10.010460000000144
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,15,0.15,0.0025947106000000397,0.0019387389863354965,-0.00035941967579999944,53.45126875362,24621.16499468,13893.758616567524,53.45115840000005,9761.262068852999,4908.525906735093,0.0,14862.28180882,8985.232521626709,14862.28180882,24572.189978002505,9712.287054923398,14859.902507080002,-0.019978048998382292,0.0,4173923.6000000006,121491343.1607204,121501780.0,9.998106000000009
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,16,0.16,0.0025849035000001285,0.0019159760795998228,-0.00037869584280000293,53.70531595797,24460.81662459,13827.278222971794,53.705531699999575,9761.27202306,4908.715005933395,0.0,14701.69590108,8918.563007782079,14701.69590108,24411.843402080496,9712.2988009269,14699.544184480003,-0.007980497999596992,0.0,3945702.066666667,122083537.72680938,122075730.0,9.961308500000076
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,17,0.17,0.002573876600000067,0.0018930654142701388,-0.00039772815440000057,53.95820823255,24306.72848577,13761.085245149055,53.958139200000026,9761.281867395,4908.901712910183,0.0,14547.66794706,8852.183326406239,14547.66794706,24257.7569046325,9712.3102862787,14545.446203210004,-0.01874465399669134,0.0,3922400.666666667,120938104.15154606,120939920.0,9.952839900000027
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,18,0.18,0.002566995100000034,0.0018746326191565433,-0.0004165652286000005,54.2103349312,24154.98617259,13694.727768540815,54.21015809999971,9761.291647965,4909.086504608087,0.0,14395.76777095,8785.641042100555,14395.76777095,24106.016198627003,9712.321676767799,14393.694107020003,-0.007737937503407011,0.0,3790344.133333334,121885382.15970099,121887560.0,9.899647700000003
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,19,0.19,0.0025477228000001023,0.0018450283901188657,-0.000435153891199999,54.46108914833,24008.69481129,13628.671928190903,54.4609998,9761.301076356,4909.268859388177,0.0,14249.30849805,8719.402855381833,14249.30849805,23959.726313976003,9712.3325803866,14247.39331846,-0.007176891500421334,0.0,3681054.333333334,120361604.21882434,120372580.0,9.89695170000002
Case1DConsolidation_PR_SW3D_Xi0p05_T0p20,0.05,0.2,20,0.2,0.0025397085000002408,0.0018275608353712656,-0.0004535182046999983,54.7106210985,23869.3484554,13565.055311874437,54.710664299999834,9761.310217314,4909.449013303602,0.0,14109.96797101,8655.606101505617,14109.96797101,23820.3813305425,9712.343095970848,14108.037819469993,-0.006872538506286219,0.0,3654166.133333334,121220722.89568469,121225350.0,9.845229100000047
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,1,0.01,0.007752642000000001,0.005075152107160008,-4.722658799999981e-05,49.63329779243,28682.52266904,15229.018291801209,49.63349880000005,9761.044410459,4905.463292543782,0.0,18930.31296015,10323.554777654852,18930.31296015,28633.498218868997,9712.0199659995,18921.477840950007,-0.09186393099298584,0.0,19329954.000000004,156760514.9663609,176090450.0,11.540732000000077
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,2,0.02,0.0026891064000000046,0.002340876294820001,-7.448338400000291e-05,49.95351580515,27583.43858529,14737.644311547738,49.95330480000053,9761.074866585,4905.730681712536,0.0,17828.83646026,9831.913405183996,17828.83646026,27534.422297693498,9712.058581102498,17822.363299459998,-0.046863632000167854,0.0,10857348.666666668,129439570.02038738,127302370.0,10.69382000000001
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,3,0.03,0.002874573000000003,0.002434871383430009,-9.914606599999912e-05,50.23470342371,26828.64761973,14432.546123359658,50.23455750000007,9761.097725847,4905.972622622956,0.0,17072.41674684,9526.573282775229,17072.41674684,26779.637034724,9712.087143898501,17067.549474900003,-0.01805890000105137,0.0,9052460.0,123993245.24838603,124139560.0,10.068921000000076
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,4,0.04,0.002800920300000001,0.0023446331189800086,-0.00012304154699999893,50.51315340897,26594.32329377,14419.344955028002,50.51296529999947,9761.117327208,4906.207037291563,0.0,16837.40459673,9513.137705915922,16837.40459673,26545.317449372502,9712.111487904,16833.205547860005,-0.01599242949669133,0.0,7849887.333333334,122803609.5766225,122862720.0,10.088213
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,5,0.05,0.002737227400000002,0.0022688908156900524,-0.0001460781380000008,50.7842531473,26307.54271576,14351.674208462035,50.78421179999992,9761.134672269,4906.433026249299,0.0,16550.18200947,9445.240983944846,16550.18200947,26258.5409428895,9712.1329036245,16546.407623659998,-0.013696659003471723,0.0,7013636.000000001,123106769.8545702,123109940.0,9.994401900000074
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,6,0.06,0.002698455500000064,0.0022116887078400785,-0.0001684726630000026,51.05082349674,26055.61136184,14288.393819562056,51.050847600000075,9761.150441844,4906.652716539537,0.0,16297.87693865,9381.740890689058,16297.87693865,26006.613185578502,9712.152266112,16294.460503660002,-0.012941235001562745,0.0,6393464.266666668,121502631.73700307,121509100.0,9.976001700000031
