reference,line,bottom_layer_mean_reference,scale,window_start,window_end,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_mode0_xi005_g9b,False,0.8675,0.002,0.5,5,1086.2434589894299,1078.4494861269045,1254.6020657875251,0.07526647966718847
eq4,gpu_mode0_xi005_g9b,False,0.87,0.002,0.5,5,1077.4488603019506,1069.860753261856,1243.1291877662788,0.07470003022287618
eq4,gpu_mode0_xi005_g9b,False,0.8725,0.002,0.5,5,1068.668299956542,1061.2843844610038,1231.6729248759093,0.0741338377867857
eq4,gpu_mode0_xi005_g9b,False,0.875,0.002,0.5,5,1059.9017523496593,1052.7203272852985,1220.2332085345297,0.07356790278227224
eq4,gpu_mode0_xi005_g9b,False,0.8775,0.002,0.5,5,1051.14919314165,1044.1685296792937,1208.809970685701,0.07300222570989275
eq4,gpu_mode0_xi005_g9b,False,0.88,0.002,0.5,5,1042.4105992858745,1035.6289399673738,1197.4031437933718,0.07243680714975097
eq4,gpu_mode0_xi005_g9b,False,0.8825000000000001,0.002,0.5,5,1033.685949059407,1027.1015068500426,1186.0126608368519,0.07187164776395762
eq4,gpu_mode0_xi005_g9b,False,0.885,0.002,0.5,5,1024.975222095363,1018.5861794002507,1174.6384553058688,0.07130674829921033
eq4,gpu_mode0_xi005_g9b,False,0.8875,0.002,0.5,5,1016.278399416972,1010.0829070597799,1163.2804611956763,0.07074210958950147
eq4,gpu_mode0_xi005_g9b,False,0.89,0.002,0.5,5,1007.5954634734438,1001.591639635653,1151.9386130022322,0.07017773255895819
eq4,gpu_mode0_xi005_g9b,False,0.8925000000000001,0.002,0.5,5,998.9263981777763,993.1123272966149,1140.61284571742,0.06961361822482502
eq4,gpu_mode0_xi005_g9b,False,0.895,0.002,0.5,5,990.2711889465486,984.6449205696281,1129.3030948243286,0.06904976770059294
eq4,gpu_mode0_xi005_g9b,False,0.8975,0.002,0.5,5,981.6298227418753,976.1893703364451,1118.0092962926174,0.06848618219928782
eq4,gpu_mode0_xi005_g9b,False,0.9,0.002,0.5,5,973.0022881155604,967.7456278301877,1106.7313865738815,0.06792286303692104
eq4,gpu_mode0_xi005_g9b,False,0.9025,0.002,0.5,5,964.3885752556471,959.3136446319968,1095.469302597132,0.06735981163611732
eq4,gpu_mode0_xi005_g9b,False,0.905,0.002,0.5,5,955.7886760354469,950.8933726677103,1084.2229817642929,0.06679702952992554
eq4,gpu_mode0_xi005_g9b,False,0.9075,0.002,0.5,5,947.2025840652038,942.4847642045831,1072.9923619457513,0.06623451836582475
eq4,gpu_mode0_xi005_g9b,False,0.91,0.002,0.5,5,938.63029474654,934.0877718480446,1061.777381475982,0.06567227990993588
eq4,gpu_mode0_xi005_g9b,False,0.9125,0.002,0.5,5,930.0718053298529,925.7023485385071,1050.5779791491987,0.06511031605145204
eq4,gpu_mode0_xi005_g9b,False,0.915,0.002,0.5,5,921.527114974811,917.3284475482003,1039.394094215084,0.06454862880729861
eq4,gpu_mode0_xi005_g9b,False,0.9175,0.002,0.5,5,912.9962248141445,908.9660224780476,1028.2256663745356,0.06398722032703755
eq4,gpu_mode0_xi005_g9b,False,0.92,0.002,0.5,5,904.4791380209249,900.6150272545863,1017.072635775492,0.06342609289803053
eq4,gpu_mode0_xi005_g9b,False,0.9225,0.002,0.5,5,895.9758598795265,892.2754161269135,1005.9349430087805,0.06286524895087545
eq4,gpu_mode0_xi005_g9b,False,0.925,0.002,0.5,5,887.4863978605102,883.9471436636853,994.8125291040469,0.06230469106513404
eq4,gpu_mode0_xi005_g9b,False,0.9275,0.002,0.5,5,879.0107616996311,875.6301647501252,983.705335525683,0.06174442197536618
eq4,gpu_mode0_xi005_g9b,False,0.9299999999999999,0.002,0.5,5,870.5489634812783,867.3244345851068,972.6133041688518,0.06118444457749316
eq4,gpu_mode0_xi005_g9b,False,0.9325,0.002,0.5,5,862.1010177265426,859.0299086782285,961.5363773555273,0.06062476193550545
eq4,gpu_mode0_xi005_g9b,False,0.935,0.002,0.5,5,853.6669414862761,850.7465428469623,950.474497830588,0.06006537728854148
eq4,gpu_mode0_xi005_g9b,False,0.9375,0.002,0.5,5,845.246754439385,842.4742932138022,939.4276087579547,0.05950629405835597
eq4,gpu_mode0_xi005_g9b,False,0.94,0.002,0.5,5,836.8404789967387,834.2131162034675,928.3956537167578,0.0589475158572062
eq4,gpu_mode0_xi005_g9b,False,0.9425,0.002,0.5,5,828.4481404110311,825.9629685401367,917.378576697587,0.058389046496181325
eq4,gpu_mode0_xi005_g9b,False,0.9450000000000001,0.002,0.5,5,820.0697668929653,817.7238072447068,906.3763220987348,0.05783088999400279
eq4,gpu_mode0_xi005_g9b,False,0.9475,0.002,0.5,5,811.7053897341915,809.4955896320913,895.3888347225111,0.057273050586327603
eq4,gpu_mode0_xi005_g9b,False,0.95,0.002,0.5,5,803.3550434374173,801.2782733085402,884.4160597715927,0.05671553273558619
eq4,gpu_mode0_xi005_g9b,False,0.9525,0.002,0.5,5,795.0187658541911,793.0718161690056,873.4579428454254,0.05615834114139199
eq4,gpu_mode0_xi005_g9b,False,0.9550000000000001,0.002,0.5,5,786.6965983308335,784.8761763945225,862.5144299366148,0.055601480751558546
eq4,gpu_mode0_xi005_g9b,False,0.9575,0.002,0.5,5,778.3885858631016,776.6913124496357,851.5854674274469,0.05504495677376758
eq4,gpu_mode0_xi005_g9b,False,0.96,0.002,0.5,5,770.0947772601392,768.5171830798412,840.6710020863502,0.05448877468792969
eq4,gpu_mode0_xi005_g9b,False,0.9625,0.002,0.5,5,761.8152253183725,760.3537473090615,829.7709810644719,0.05393294025928697
eq4,gpu_mode0_xi005_g9b,False,0.965,0.002,0.5,5,753.5499870060405,752.2009644371614,818.8853518922442,0.05337745955230868
eq4,gpu_mode0_xi005_g9b,False,0.9675,0.002,0.5,5,745.2991236590746,744.0587940374764,808.0140624760134,0.052822338945434144
eq4,gpu_mode0_xi005_g9b,False,0.97,0.002,0.5,5,737.0627011891489,735.9271959543781,797.1570610946983,0.05226758514672372
eq4,gpu_mode0_xi005_g9b,False,0.9725,0.002,0.5,5,728.8407903047437,727.8061303008569,786.314296396471,0.05171320521048115
eq4,gpu_mode0_xi005_g9b,False,0.975,0.002,0.5,5,720.6334667461905,719.6955574561565,775.4857173955079,0.051159206554919574
eq4,gpu_mode0_xi005_g9b,False,0.9775,0.002,0.5,5,712.4408115356458,711.5954380634015,764.6712734687317,0.05060559698094234
eq4,gpu_mode0_xi005_g9b,False,0.98,0.002,0.5,5,704.2629112431478,703.5057330272779,753.8709143526285,0.05005238469212459
eq4,gpu_mode0_xi005_g9b,False,0.9825,0.002,0.5,5,696.0998582698959,695.4264035117282,743.0845901400662,0.049499578315981264
eq4,gpu_mode0_xi005_g9b,False,0.985,0.002,0.5,5,687.9517511500577,687.3574109376808,732.3122512771824,0.048947186926618765
eq4,gpu_mode0_xi005_g9b,False,0.9875,0.002,0.5,5,679.8186948724602,679.2987169807864,721.5538485602556,0.04839522006887227
eq4,gpu_mode0_xi005_g9b,False,0.99,0.002,0.5,5,671.7008012237189,671.2502835692012,710.8093331326618,0.04784368778404449
eq4,gpu_mode0_xi005_g9b,False,0.9924999999999999,0.002,0.5,5,663.598189154403,663.2120728813854,700.0786564818391,0.0472926006373657
eq4,gpu_mode0_xi005_g9b,False,0.995,0.002,0.5,5,655.5109851700244,655.1840473439181,689.3617704362678,0.04674196974730896
eq4,gpu_mode0_xi005_g9b,False,0.9975,0.002,0.5,5,647.4393237488072,647.1661696293565,678.6586271625238,0.046191806816906565
eq4,gpu_mode0_xi005_g9b,False,1.0,0.002,0.5,5,639.3833477883037,639.1584026540961,667.9691791623118,0.04564212416722283
eq4,gpu_mode0_xi005_g9b,False,1.0025,0.002,0.5,5,631.3432090831906,631.1607095762705,657.2933792695858,0.04509293477315752
eq4,gpu_mode0_xi005_g9b,False,1.005,0.002,0.5,5,623.3190688367157,623.1730537936667,646.6311806476442,0.04454425230176512
eq4,gpu_mode0_xi005_g9b,False,1.0075,0.002,0.5,5,615.3110982085341,615.1953989416604,635.9825367862868,0.0439960911532948
eq4,gpu_mode0_xi005_g9b,False,1.01,0.002,0.5,5,607.3194789019249,607.2277088911931,625.3474014990225,0.043448466505175046
