reference,time,gpu_bottom_excess,fd_bottom_excess,series_bottom_excess,gpu_minus_fd,fd_minus_series
eq4,3.2,1525.53971351,1809.815508938574,1807.0442897942876,-284.27579542857416,2.7712191442865333
eq4,3.3,1420.93598087,1689.0752541262757,1686.4082178301271,-268.1392732562756,2.6670362961485807
eq4,3.4,1316.97460934,1576.3900802903247,1573.8256635027271,-259.4154709503248,2.5644167875975654
eq4,3.5,1213.35026038,1471.2225993741267,1468.7589834493454,-257.8723389941267,2.4636159247813794
eq4,3.6,1110.00075951,1373.0712748781218,1370.7064268879165,-263.07051536812173,2.3648479902053623
measured_t0p010,0.0,0.0,20446.888886159995,20446.88746222786,-20446.888886159995,0.0014239321353670675
measured_t0p010,0.1,15890.1892354,18073.0968995442,18065.34361577145,-2182.9076641442025,7.753283772752184
measured_t0p010,0.2,14293.6458328,16422.552635212734,16416.43382957333,-2128.9068024127337,6.118805639405764
measured_t0p010,0.3,13060.5546871,15120.76388826754,15115.504411356176,-2060.2092011675395,5.25947691136389
measured_t0p010,0.4,12012.9079858,14006.29749678155,14001.540044443629,-1993.3895109815494,4.757452337920768
measured_t0p010,0.5,11086.5147566,13015.874881323787,13011.406045251364,-1929.3601247237875,4.468836072423073
measured_t0p010,0.6,10256.4600692,12117.520349515607,12113.188242313669,-1861.060280315607,4.332107201938925
measured_t0p010,0.7,9501.61111085,11292.965493048783,11288.66505129477,-1791.3543821987823,4.300441754012354
measured_t0p010,0.8,8788.12760391,10530.868352410911,10526.535534671626,-1742.7407485009116,4.332817739285019
measured_t0p010,0.9,8164.46267338,9823.623892381249,9819.227124110275,-1659.1612190012493,4.396768270973553
measured_t0p010,1.0,7551.24479144,9165.723289342677,9161.253878309757,-1614.4784979026772,4.469411032920107
measured_t0p010,1.1,7020.82986092,8552.87845698288,8548.342271524256,-1532.0485960628803,4.536185458624459
measured_t0p010,1.2,6508.53081578,7981.546710248543,7976.957942811567,-1473.0158944685427,4.588767436976013
measured_t0p010,1.3,6023.70052068,7448.669195241719,7444.046103682183,-1424.9686745617182,4.623091559536078
measured_t0p010,1.4,5612.20486095,6951.524509369069,6946.8867005249895,-1339.3196484190694,4.6378088440797
measured_t0p010,1.5,5202.36762137,6487.644700138381,6483.01149978006,-1285.2770787683812,4.633200358321119
measured_t0p010,1.6,4800.05772557,6054.765215053763,6050.154756026126,-1254.7074894837633,4.610459027637262
measured_t0p010,1.7,4488.08506932,5650.79346816025,5646.222232075267,-1162.70839884025,4.5712360849829565
measured_t0p010,1.8,4180.12586793,5273.78773834831,5269.270372875252,-1093.6618704183102,4.517365473057907
measured_t0p010,1.9,3872.29253462,4921.941914144526,4917.491211367958,-1049.649379524526,4.450702776567596
measured_t0p010,2.0,3564.71527768,4593.573648838303,4589.200613303475,-1028.8583711583028,4.373035534827977
measured_t0p010,2.1,3332.04470475,4287.114595518146,4282.82855863276,-955.0698907681463,4.286036885386238
measured_t0p010,2.2,3126.15993914,4001.1019887544567,3996.9107438828582,-874.9420496144567,4.191244871598428
measured_t0p010,2.3,2920.45464401,3734.1711626322185,3730.081106083845,-813.7165186222187,4.090056548373468
measured_t0p010,2.4,2714.79079852,3485.0487699273635,3481.0650395992534,-770.2579714073636,3.9837303281101413
measured_t0p010,2.5,2508.81727422,3252.5465625406773,3248.6731698615763,-743.7292883206774,3.8733926791010163
measured_t0p010,2.6,2303.26714401,3035.555645554553,3031.7955986468937,-732.2885015445531,3.7600469076592162
measured_t0p010,2.7,2099.45920132,2833.0411462613324,2829.3965635341847,-733.5819449413325,3.6445827271477356
measured_t0p010,2.8,1948.5130208,2644.0372558956506,2640.5094700048917,-695.5242350956505,3.527785890758878
measured_t0p010,2.9,1839.89149302,2467.6426113453094,2464.2322638451637,-627.7511183253093,3.41034750014569
measured_t0p010,3.0,1735.14322913,2303.0159899221103,2299.7231171265457,-567.8727607921103,3.2928727955645627
measured_t0p010,3.1,1629.91840274,2149.3722940231305,2146.196404679867,-519.4538912831306,3.1758893432634068
measured_t0p010,3.2,1525.53971351,2005.9788051114006,2002.9189505143124,-480.4390916014006,3.0598545970881332
measured_t0p010,3.3,1420.93598087,1872.1516883850943,1869.2065255402322,-451.2157075150942,2.945162844862125
measured_t0p010,3.4,1316.97460934,1747.2527310528574,1744.4205794859029,-430.27812171285746,2.832151566954508
measured_t0p010,3.5,1213.35026038,1630.686298437781,1627.9651911949293,-417.336038057781,2.721107242851758
measured_t0p010,3.6,1110.00075951,1521.8964932737476,1519.2842226294197,-411.89573376374756,2.612270644327964
