frame,time,n,zmin,zmax,H,velocity_max,velocity_mean,PorePress_min,PorePress_max,PorePress_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_Excess_mean,bottom_Excess_maxAbs,top_Excess_maxAbs,bottom_ref_Excess_mean,bottom_grad_proxy,PorePressRate_maxAbs
10,0.01,1000,0.0049999999,0.995,0.9900000001,0.010460295000000019,0.006431451780900009,49.63762966229,30207.93286278,16162.192417865033,-4.892357899422e-05,20456.51887006,11256.727487087863,20456.51887006,20446.88888541499,20446.88888616,4.892357899422e-05,20447.1128881365,-0.22400272150844103,212175470.0
11,0.011,1000,0.0049999999,0.995,0.9900000001,0.006746058800000017,0.004280874792750004,49.72446906376,33501.34277872,18224.266304787277,-3.155181943981e-05,23750.95272512,13318.747646531314,23750.95272512,23740.293399785,23740.29340049,3.155181943981e-05,23740.368798948497,-0.07539916349560372,237007580.0
12,0.012,1000,0.0049999999,0.995,0.9900000001,0.0023957433000000084,0.0017456531847500202,49.76615003087,32653.52895628,17681.468600108197,-9.273624868911e-06,22902.11867368,12775.920893874707,22902.11867368,22892.47569257,22892.47569303,9.273624868911e-06,22892.415468544998,0.06022402500093449,192468270.0
13,0.013000000000000001,1000,0.0049999999,0.995,0.9900000001,0.0016829750000000275,0.0006829385251315568,49.76598618884,29300.80902191,15589.570113169284,1.916696845683e-06,19547.44193935,10684.013030800777,19547.44193935,19539.75347114,19539.75347137,6.421336969709e-06,19539.643583553006,0.1098875869938638,115016380.0
14,0.014,1000,0.0049999999,0.995,0.9900000001,0.0017552871,0.0008444110372500239,49.75246704635,26113.40100843,13614.418706266371,7.844461151763e-07,16358.64561976,8708.856571530245,16358.64561976,16352.343748975001,16352.34374914,3.336675789001e-06,16352.2786989075,0.06505006750194298,74212424.0
15,0.015,1000,0.0049999999,0.995,0.9900000001,0.0024600532000000003,0.0021835958651700107,49.76001655682,24923.89620689,12899.837748606344,-1.073429803711e-05,15168.90145326,7994.261208897487,15168.90145326,15162.836804099998,15162.83680435,1.073429803711e-05,15162.846709127998,-0.00990502800050308,88795896.0
16,0.016,1000,0.0049999999,0.995,0.9900000001,0.004513866300000035,0.003430115746329995,49.79440836422,25889.33488357,13545.793518354485,-2.111169073515e-05,16135.64321206,8640.188945738933,16135.64321206,16128.272567529999,16128.2725679,2.111169073515e-05,16128.409720982501,-0.13715345250238897,121447450.0
17,0.017,1000,0.0049999999,0.995,0.9900000001,0.005349704500000023,0.0038215059334800175,49.84406498381,27857.29485977,14804.135353158506,-2.502096729984e-05,18103.28784099,9898.494379908341,18103.28784099,18096.229164590004,18096.22916503,2.502096729984e-05,18096.3252244355,-0.09605984549489222,144495230.0
18,0.018000000000000002,1000,0.0049999999,0.995,0.9900000001,0.0046562841,0.0033272447805500096,49.89428372726,29322.51345627,15745.944112825075,-2.177778777224e-05,19568.67326738,10840.267504498328,19568.67326738,19561.444442530003,19561.44444295,2.177778777224e-05,19561.5000970805,-0.055654550498729805,163275260.0
19,0.019,1000,0.0049999999,0.995,0.9900000001,0.0030867136000000037,0.002470220686870012,49.93249020662,29496.51633071,15874.008717786275,-1.443679042268e-05,19742.35754627,10968.303667370741,19742.35754627,19735.444442855,19735.4444432,1.443679042268e-05,19735.4491307115,-0.004687856497184839,156959550.0
