reference,time,y,z,z_norm,excess
eq4_nominal_cv,0.1,0.8217000000829999,0.8266999999829999,0.83,3452.734299907027
eq4_nominal_cv,0.1,0.8316000000839999,0.8365999999839999,0.84,3249.6790675992625
eq4_nominal_cv,0.1,0.8415000000849999,0.8464999999849999,0.8499999999999999,3046.6126725382164
eq4_nominal_cv,0.1,0.8514000000859999,0.8563999999859999,0.8599999999999999,2843.5367195692015
eq4_nominal_cv,0.1,0.8613000000869999,0.8662999999869999,0.8699999999999999,2640.4526023867957
eq4_nominal_cv,0.1,0.8712000000879999,0.8761999999879999,0.8799999999999999,2437.361529917786
eq4_nominal_cv,0.1,0.8811000000889999,0.8860999999889999,0.8899999999999999,2234.2645499467444
eq4_nominal_cv,0.1,0.8910000000899999,0.8959999999899999,0.8999999999999999,2031.1625702526985
eq4_nominal_cv,0.1,0.9009000000909999,0.9058999999909999,0.9099999999999999,1828.05637751162
eq4_nominal_cv,0.1,0.9108000000919999,0.9157999999919999,0.9199999999999999,1624.9466542058176
eq4_nominal_cv,0.1,0.9207000000929999,0.9256999999929999,0.9299999999999999,1421.833993768161
eq4_nominal_cv,0.1,0.9306000000939999,0.9355999999939999,0.94,1218.7189141766469
eq4_nominal_cv,0.1,0.9405000000949999,0.9454999999949999,0.9499999999999998,1015.6018702029496
eq4_nominal_cv,0.1,0.950400000096,0.955399999996,0.96,812.4832645080384
eq4_nominal_cv,0.1,0.960300000097,0.965299999997,0.97,609.363457768183
eq4_nominal_cv,0.1,0.970200000098,0.975199999998,0.98,406.24277800617585
eq4_nominal_cv,0.1,0.980100000099,0.985099999999,0.99,203.12152929560276
eq4_nominal_cv,0.1,0.9900000001,0.995,1.0,7.91734053214142e-13
eq4_nominal_cv,0.5,0.0,0.0049999999,0.0,11754.483935762311
eq4_nominal_cv,0.5,0.009900000001,0.014899999901,0.01,11752.951861853013
eq4_nominal_cv,0.5,0.019800000002,0.024799999902,0.02,11748.356201510082
eq4_nominal_cv,0.5,0.029700000003,0.034699999903,0.03,11740.698638334043
eq4_nominal_cv,0.5,0.039600000004,0.044599999904,0.04,11729.981976479028
eq4_nominal_cv,0.5,0.049500000004999996,0.054499999905,0.049999999999999996,11716.21013788653
eq4_nominal_cv,0.5,0.059400000006,0.064399999906,0.06,11699.388158420468
eq4_nominal_cv,0.5,0.069300000007,0.074299999907,0.06999999999999999,11679.522182911292
eq4_nominal_cv,0.5,0.079200000008,0.08419999990799999,0.08,11656.619459119062
eq4_nominal_cv,0.5,0.089100000009,0.09409999990899999,0.09,11630.688330627647
eq4_nominal_cv,0.5,0.09900000000999999,0.10399999990999999,0.09999999999999999,11601.738228684218
eq4_nominal_cv,0.5,0.10890000001099999,0.11389999991099999,0.10999999999999999,11569.779663000396
eq4_nominal_cv,0.5,0.118800000012,0.123799999912,0.12,11534.824211533416
eq4_nominal_cv,0.5,0.128700000013,0.133699999913,0.13,11496.884509267691
eq4_nominal_cv,0.5,0.138600000014,0.143599999914,0.13999999999999999,11455.974236019118
eq4_nominal_cv,0.5,0.148500000015,0.153499999915,0.15,11412.108103286371
eq4_nominal_cv,0.5,0.158400000016,0.163399999916,0.16,11365.301840175258
eq4_nominal_cv,0.5,0.168300000017,0.17329999991699999,0.16999999999999998,11315.572178423992
eq4_nominal_cv,0.5,0.178200000018,0.18319999991799998,0.18,11262.936836559
eq4_nominal_cv,0.5,0.18810000001899999,0.19309999991899998,0.18999999999999997,11207.41450321238
eq4_nominal_cv,0.5,0.19800000001999998,0.20299999991999998,0.19999999999999998,11149.024819633887
eq4_nominal_cv,0.5,0.20790000002099998,0.21289999992099998,0.21,11087.788361431614
eq4_nominal_cv,0.5,0.21780000002199998,0.22279999992199997,0.21999999999999997,11023.726619577037
eq4_nominal_cv,0.5,0.22770000002299998,0.23269999992299997,0.22999999999999998,10956.861980711412
eq4_nominal_cv,0.5,0.237600000024,0.242599999924,0.24,10887.21770679164
eq4_nominal_cv,0.5,0.247500000025,0.252499999925,0.25,10814.817914115005
eq4_nominal_cv,0.5,0.257400000026,0.262399999926,0.26,10739.687551763007
eq4_nominal_cv,0.5,0.267300000027,0.272299999927,0.27,10661.852379505699
eq4_nominal_cv,0.5,0.277200000028,0.282199999928,0.27999999999999997,10581.338945208567
eq4_nominal_cv,0.5,0.287100000029,0.292099999929,0.29,10498.17456178486
eq4_nominal_cv,0.5,0.29700000003,0.30199999993,0.3,10412.38728373688
eq4_nominal_cv,0.5,0.306900000031,0.311899999931,0.31,10324.005883330254
eq4_nominal_cv,0.5,0.316800000032,0.321799999932,0.32,10233.059826445708
eq4_nominal_cv,0.5,0.326700000033,0.331699999933,0.32999999999999996,10139.57924815313
eq4_nominal_cv,0.5,0.336600000034,0.341599999934,0.33999999999999997,10043.594928052973
eq4_nominal_cv,0.5,0.346500000035,0.351499999935,0.35,9945.138265430183
