frame,time,y,z,z_norm,actual_excess,eq4_excess,error
0,0.0,0.20000000010000002,0.20500000000000002,0.20202020210080607,0.0,16209.32924727064,-16209.32924727064
0,0.0,0.21000000010000003,0.21500000000000002,0.21212121220079586,0.0,16004.147864393795,-16004.147864393795
0,0.0,0.2199999901,0.22499999,0.22222221219977553,0.0,15798.966686698333,-15798.966686698333
0,0.0,0.2300000001,0.23499999999999993,0.23232323240077543,0.0,15593.785098640108,-15593.785098640108
0,0.0,0.24000000010000005,0.24500000000000005,0.24242424250076527,0.0,15388.603715763264,-15388.603715763264
0,0.0,0.2500000001,0.25499999999999995,0.25252525260075503,0.0,15183.422332886421,-15183.422332886421
0,0.0,0.25999999009999997,0.2649999900000001,0.2626262525997347,0.0,14978.24115519096,-14978.24115519096
0,0.0,0.2700000101,0.27500000999999996,0.27272728290174475,0.0,14773.059361951351,-14773.059361951351
0,0.0,0.2800000000999999,0.28500000000000003,0.2828282829007243,0.0,14567.878184255893,-14567.878184255893
0,0.0,0.28999999010000005,0.29499999,0.29292928289970416,0.0,14362.697006560427,-14362.697006560427
0,0.0,0.30000001009999994,0.30500001000000004,0.30303031320171403,0.0,14157.515213320821,-14157.515213320821
0,0.0,0.3100000001,0.315,0.3131313132006938,0.0,13952.33403562536,-13952.33403562536
0,0.0,0.31999999009999996,0.32499999000000007,0.3232323131996735,0.0,13747.152857929901,-13747.152857929901
0,0.0,0.3300000101,0.33500000999999996,0.33333334350168353,0.0,13541.97106469029,-13541.97106469029
0,0.0,0.3400000000999999,0.3449999999999999,0.3434343435006631,0.0,13336.789886994831,-13336.789886994831
0,0.0,0.34999999010000005,0.35499999,0.35353534349964294,0.0,13131.608709299368,-13131.608709299368
0,0.0,0.36000001009999993,0.36500001000000004,0.3636363738016528,0.0,12926.426916059761,-12926.426916059761
0,0.0,0.37000000010000006,0.375,0.37373737380063266,0.0,12721.245738364296,-12721.245738364296
0,0.0,0.3799999901,0.38499998999999996,0.38383837379961233,0.0,12516.06456066884,-12516.06456066884
0,0.0,0.3900000101,0.39500001,0.3939394041016223,0.0,12310.882767429228,-12310.882767429228
0,0.0,0.40000000010000003,0.40500000000000014,0.404040404100602,0.0,12105.701589733768,-12105.701589733768
0,0.0,0.4099999901000001,0.41499999,0.4141414040995818,0.0,11900.520412038306,-11900.520412038306
0,0.0,0.4200000101,0.4250000099999999,0.42424243440159165,0.0,11695.338618798698,-11695.338618798698
0,0.0,0.43000000010000006,0.43499999999999994,0.43434343440057144,0.0,11490.157441103236,-11490.157441103236
0,0.0,0.4399999901,0.44499999,0.44444443439955106,0.0,11284.976263407776,-11284.976263407776
0,0.0,0.4500000101,0.45500001,0.4545454647015611,0.0,11079.794470168168,-11079.794470168168
0,0.0,0.4600000001000001,0.46499999999999997,0.46464646470054083,0.0,10874.613292472704,-10874.613292472704
0,0.0,0.46999999009999993,0.47499999,0.4747474646995204,0.0,10669.432114777248,-10669.432114777248
0,0.0,0.48000001010000004,0.48500001,0.4848484950015305,0.0,10464.250321537636,-10464.250321537636
0,0.0,0.4900000001000001,0.495,0.4949494950005103,0.0,10259.069143842175,-10259.069143842175
0,0.0,0.5000000001,0.505,0.5050505051005,0.0,10053.887760965332,-10053.887760965332
0,0.0,0.5099999901,0.5149999899999999,0.5151515050994796,0.0,9848.706583269874,-9848.706583269874
0,0.0,0.5199999800999999,0.5249999800000001,0.5252525050984592,0.0,9643.525405574414,-9643.525405574414
0,0.0,0.5300000301,0.53500003,0.5353535657034996,0.0,9438.342996790654,-9438.342996790654
0,0.0,0.5400000201,0.5450000199999999,0.5454545657024794,0.0,9233.161819095192,-9233.161819095192
0,0.0,0.5500000100999999,0.5550000099999999,0.5555555657014589,0.0,9027.980641399734,-9027.980641399734
0,0.0,0.5600000000999998,0.5649999999999998,0.5656565657004385,0.0,8822.799463704276,-8822.799463704276
0,0.0,0.5699999901000001,0.5749999900000001,0.5757575656994186,0.0,8617.618286008808,-8617.618286008808
0,0.0,0.5799999801000001,0.58499998,0.5858585656983982,0.0,8412.437108313348,-8412.437108313348
0,0.0,0.5900000300999999,0.5950000299999999,0.5959596263034384,0.0,8207.254699529594,-8207.254699529594
0,0.0,0.6000000200999999,0.6050000200000001,0.606060626302418,0.0,8002.073521834134,-8002.073521834134
