analytical_excess_fit,analytical_excess_q0,analytical_total_fit,analytical_total_q0,depth_from_top_m,eta_depth,run,sim_excess,sim_porepress,time_s,z_m
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482367.63542459765,9993.207718267997,491394.05517056765,19019.627464237998,0.9201243370000001,0.929288782337969,cpu,0.0,9074.250388145,0.0,0.075000003
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
482197.45928638545,9989.682180124562,491125.77905197546,18918.00194571456,0.910124339,0.9191891842824486,cpu,0.0,8976.150383949,0.0,0.085000001
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483102.72393195075,10008.436542935773,491932.9437171607,18838.65632814577,0.900124341,0.9090895862269283,cpu,0.0,8878.050379753,0.0,0.094999999
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
