case,step,time,factor,applied,class_skipped,raw_max,raw_mean,used_max,used_mean,pre_accel_max,used_to_reference_ratio_max,confining_ref,limited,relaxed,cap_min
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,20,0.00804288,1.0,63,344,309.792,194.159,309.792,194.159,101.597,22.6903,1.92646,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,21,0.00814325,1.0,63,344,4192.06,2781.69,4192.06,2781.69,70.6038,204.541,1.9266,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,22,0.0082434,1.0,63,344,5807.3,3710.07,5807.3,3710.07,568.832,47.408,1.92635,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,23,0.00834332,1.0,63,344,8518.08,5428.08,8518.08,5428.08,185.348,212.373,1.92625,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,24,0.00844252,1.0,63,344,29547.1,19859.7,29547.1,19859.7,1005.89,72.7306,1.92736,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,25,0.00854019,1.0,63,344,3315.95,2436.4,3315.95,2436.4,3196.16,11.421,1.92647,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,26,0.00863621,1.0,63,344,102050.0,67797.0,102050.0,67797.0,2945.99,143.128,1.9245,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,27,0.00872924,1.0,63,344,96756.4,67575.1,96756.4,67575.1,6897.55,53.027,1.92963,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,28,0.00881244,1.0,63,344,267720.0,180546.0,267720.0,180546.0,1912.97,553.602,1.93471,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,29,0.00885315,1.0,63,344,126162.0,77531.0,126162.0,77531.0,20281.4,23.9253,1.92876,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,30,0.008898,1.0,63,344,121686.0,91253.6,121686.0,91253.6,29304.7,36.4285,1.92177,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,31,0.00892083,1.0,63,344,327240.0,228237.0,327240.0,228237.0,25360.3,81.9757,1.92053,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,32,0.0089411,1.0,63,344,446311.0,303646.0,446311.0,303646.0,14993.4,148.007,1.92003,0,0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,33,0.00896658,1.0,63,344,442179.0,293403.0,442179.0,293403.0,3316.75,2144.28,1.92052,0,0,0.0
