case,part,time,n,p_eff_mean,q_mean,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,porepress_mean,porepress_min,porepress_max,negative_pressure_count,excess_porepress_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max,center_particle_count,center_porepress_mean,center_porepressrate_maxabs
stageA_all_surface,10,0.002815,407,62.029670775958245,20.365470866207716,-66.15337092137594,-66.15337133660937,-53.78227006988949,4032.3337074596857,1469.725515884,6218.851453141,0,4032.3337074596857,11587687.03071253,25891166.0,-0.017381531696068805,0.038848333,0.0005171342056330372,0.0,15,5745.708105956334,25891166.0
stageA_all_surface,11,0.003016,407,65.1941485841115,22.020628183812285,-69.96413717690422,-69.96413767076167,-55.65417090466823,5298.124685182783,2192.424300745,9802.162917805,0,5298.124685182783,4518139.317316434,14981213.0,-0.006777209464840298,0.022505561,0.0003779474757236415,0.0,15,8790.523794428267,14981213.0
stageA_all_surface,12,0.003318,407,63.444361007698596,23.44491024010113,-68.60896441031942,-68.60896463882065,-53.11515397395578,4598.20952105352,1080.544802754,10817.70920264,0,4598.20952105352,-5588574.86201474,14630883.0,0.008382862734889439,0.021945195,0.0005565452488293405,0.0,15,9209.113904748201,4619648.5
stageA_all_surface,13,0.003519,407,58.487522668304685,23.838029770763676,-63.5416968280098,-63.54169694103199,-48.379174235872256,2494.4107817687664,-104.8323706148,5998.236503365,10,2494.4107817687664,-11172424.401031941,21704298.0,0.016758637576879593,0.032565687,0.0006538864053247536,0.0,15,4878.984416332067,14307027.0
stageA_all_surface,14,0.003821,407,47.23624560655198,23.826024829840957,-51.64824992383288,-51.64824983292379,-38.41223706289932,-2006.0995485246915,-7175.52830131,4287.900823573,307,-2006.0995485246915,-16283425.83835381,26385636.0,0.02442514012390662,0.039569575,0.0007707802477660204,0.0,15,-1696.34846033894,26385636.0
stageA_all_surface,15,0.004022,407,38.73472513426701,23.632111734740878,-42.496156752334144,-42.496156308108105,-31.211862342358728,-5406.707490736345,-11975.69913727,3976.674151229,375,-5406.707490736345,-16926249.913513515,30323622.0,0.025389376267813273,0.045493659,0.0007919701591042447,0.0,15,-7278.115739377401,30323622.0
stageA_all_surface,16,0.004323,407,27.3413295412449,23.186334963648708,-30.008345325282583,-30.008344770196572,-22.007298528255518,-9964.065290535365,-17061.98742172,3008.364986345,383,-9964.065290535365,-13672880.85700246,28223804.0,0.020509322045700263,0.042375632,0.0006471261100000001,0.0,15,-15505.885849608667,28223804.0
stageA_all_surface,17,0.004524,407,22.102237959081084,22.586222463474723,-24.095457576535605,-24.095456934172002,-18.115799366535626,-12750.473034314171,-19167.23544807,-6019.184161112,407,-12750.473034314171,-9217151.928992627,21456690.0,0.01382572858255527,0.032215334,0.0005166034108891721,0.0,15,-18359.001133283335,21456690.0
stageA_all_surface,18,0.004826,407,19.31807726456184,20.55754796919427,-20.584735971081077,-20.584735442260417,-16.784760380343968,-13864.137214310698,-21984.99327179,-7482.660365367,407,-13864.137214310698,-839476.8444226042,9781860.0,0.0012592151087469276,0.014678917,0.0006061879805038181,0.0,15,-21130.853121008666,5177636.5
stageA_all_surface,19,0.005027,407,20.915895938384118,18.61148760417335,-21.954502262211307,-21.954501770859945,-18.838683782081084,-13225.009809741145,-21198.67213246,-7429.319483877,407,-13225.009809741145,4441852.80250614,14248622.0,-0.006662779846732186,0.021400886,0.0006574915593533819,0.0,15,-20225.173925015333,7915826.0
stageA_all_surface,20,0.005329,407,27.224462903619994,15.94610201708725,-28.271038739164617,-28.271038284594603,-25.13131168710076,-10701.583364156315,-16333.25737084,-4541.200666786,407,-10701.583364156315,9940346.594348893,20757270.0,-0.014910520935626514,0.031112947,0.0006291784676998829,0.0,15,-15449.755350311998,20757270.0
stageA_all_surface,21,0.00553,407,32.88566840856673,14.98903567585618,-34.09367303257982,-34.09367272068794,-30.469659472432436,-8356.35336535858,-12122.45283154,-4856.472830502,407,-8356.35336535858,11561880.550859949,24965778.0,-0.017342821946683053,0.037431512,0.0006574560976772108,0.0,15,-10138.715442153334,24965778.0
stageA_all_surface,22,0.005831,407,41.52255520458641,15.053023795309919,-43.04473609631452,-43.04473595626539,-38.47819356117933,-4901.599104327547,-9293.982893517,-1219.179882945,407,-4901.599104327547,11035514.25552826,24571392.0,-0.01655327233710073,0.036870461,0.0005711623841625292,0.0,15,-3094.3821030158,24571392.0
stageA_all_surface,23,0.006032,407,46.376116354217885,15.649259885861449,-48.067396378869745,-48.06739631916464,-42.993556364619145,-2960.1748324506607,-9328.680944399,1372.902806793,354,-2960.1748324506607,9110450.286756763,20295862.0,-0.01366567610341525,0.03047579,0.00043270917005006526,0.0,15,824.3604610149,20295862.0
