case,case_name,resolution,configured_dp,diag_index,time,bins,shell_width,targets,sink_volume,fallback,outer_population,outer_pressure_mean,outer_radius_mean,boundary_value,du_dr_R,flux_density,flux,storage_rate,lap_corr_max,flux_storage_residual,pop0,pop1,pop2,pop3,pmean0,pmean1,pmean2,pmean3,rmean0,rmean1,rmean2,rmean3,vol0,vol1,vol2,vol3,fv_boundary_flux_integral,shell_flux_ratio_to_fv
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,10,0.000723905,4.0,0.008,594.0,0.000304128,0.0,594.0,869.568,0.0475144,0.0,217392.0,1477.35,46.4123,-46.4123,22456200.0,0.0,594.0,278.0,194.0,90.0,869.568,970.463,962.669,969.889,0.0475144,0.0387183,0.0308491,0.0229888,0.000304128,0.000142337,9.93286e-05,4.60802e-05,1176.6363682650517,0.03944489670027356
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,11,0.000723905,4.0,0.008,594.0,0.000304129,0.0,594.0,869.568,0.0475144,0.0,217392.0,1477.35,46.4123,-46.4123,22456200.0,0.0,594.0,278.0,194.0,90.0,869.568,970.463,962.669,969.889,0.0475144,0.0387184,0.0308491,0.0229888,0.000304129,0.000142337,9.93287e-05,4.60803e-05,1176.6363682650517,0.03944489670027356
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,12,0.000804338,4.0,0.008,594.0,0.000304129,0.0,594.0,852.118,0.0475144,0.0,213030.0,1447.7,45.4809,-45.4809,22005600.0,0.0,594.0,278.0,194.0,90.0,852.118,954.283,941.568,951.854,0.0475144,0.0387184,0.0308491,0.0229888,0.000304129,0.000142337,9.93289e-05,4.60803e-05,851.9193407339558,0.05338639214460931
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,13,0.000804338,4.0,0.008,594.0,0.000304129,0.0,594.0,852.118,0.0475145,0.0,213030.0,1447.7,45.4809,-45.4809,22005500.0,0.0,594.0,278.0,194.0,90.0,852.118,954.283,941.568,951.854,0.0475145,0.0387184,0.0308491,0.0229888,0.000304129,0.000142337,9.9329e-05,4.60804e-05,851.9193407339558,0.05338639214460931
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,14,0.000884771,4.0,0.008,594.0,0.000304129,0.0,594.0,833.978,0.0475145,0.0,208495.0,1416.88,44.5127,-44.5127,21537100.0,0.0,594.0,278.0,194.0,90.0,833.978,935.345,916.647,929.704,0.0475145,0.0387184,0.0308491,0.0229888,0.000304129,0.000142337,9.93292e-05,4.60805e-05,527.2023132028598,0.08443191330018342
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,15,0.000884771,4.0,0.008,594.0,0.000304129,0.0,594.0,833.978,0.0475145,0.0,208495.0,1416.88,44.5127,-44.5127,21537100.0,0.0,594.0,278.0,194.0,90.0,833.978,935.345,916.647,929.704,0.0475145,0.0387184,0.0308491,0.0229888,0.000304129,0.000142338,9.93294e-05,4.60806e-05,527.2023132028598,0.08443191330018342
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,16,0.000965204,4.0,0.008,594.0,0.000304129,0.0,594.0,815.456,0.0475145,0.0,203864.0,1385.42,43.5241,-43.5241,21058700.0,0.0,594.0,278.0,194.0,90.0,815.456,914.426,888.866,903.914,0.0475145,0.0387185,0.0308492,0.0229888,0.000304129,0.000142338,9.93297e-05,4.60807e-05,202.48528567176436,0.21494944610718067
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,17,0.000965204,4.0,0.008,594.0,0.00030413,0.0,594.0,815.456,0.0475145,0.0,203864.0,1385.42,43.5241,-43.5241,21058700.0,0.0,594.0,278.0,194.0,90.0,815.456,914.426,888.866,903.914,0.0475145,0.0387185,0.0308492,0.0229888,0.00030413,0.000142338,9.93299e-05,4.60808e-05,202.48528567176436,0.21494944610718067
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,18,0.00104564,4.0,0.008,594.0,0.00030413,0.0,594.0,796.918,0.0475146,0.0,199230.0,1353.92,42.5347,-42.5347,20580000.0,0.0,594.0,278.0,194.0,90.0,796.918,892.432,859.369,875.218,0.0475146,0.0387185,0.0308492,0.0229888,0.00030413,0.000142338,9.93301e-05,4.60809e-05,40.91990670754464,1.0394622916419707
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,19,0.00104564,4.0,0.008,594.0,0.00030413,0.0,594.0,796.918,0.0475146,0.0,199230.0,1353.92,42.5347,-42.5347,20580000.0,0.0,594.0,278.0,194.0,90.0,796.918,892.432,859.369,875.218,0.0475146,0.0387186,0.0308492,0.0229889,0.00030413,0.000142338,9.93303e-05,4.6081e-05,40.91990670754464,1.0394622916419707
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,20,0.00112607,4.0,0.008,594.0,0.00030413,0.0,594.0,802.043,0.0475146,0.0,200511.0,1362.63,42.8082,-42.8082,20712300.0,0.0,594.0,278.0,194.0,90.0,802.043,819.554,834.466,844.735,0.0475146,0.0387186,0.0308493,0.0229889,0.00030413,0.000142339,9.93305e-05,4.60811e-05,39.86662535795888,1.073785393562384
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,21,0.00112607,4.0,0.008,594.0,0.00030413,0.0,594.0,802.043,0.0475146,0.0,200511.0,1362.63,42.8082,-42.8082,20712300.0,0.0,594.0,278.0,194.0,90.0,802.043,819.554,834.466,844.735,0.0475146,0.0387186,0.0308493,0.0229889,0.00030413,0.000142339,9.93308e-05,4.60812e-05,39.86662535795888,1.073785393562384
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,22,0.0012065,4.0,0.008,594.0,0.00030413,0.0,594.0,783.825,0.0475146,0.0,195956.0,1331.68,41.8359,-41.8359,20241800.0,0.0,594.0,278.0,194.0,90.0,783.825,799.656,805.67,813.386,0.0475146,0.0387186,0.0308493,0.0229889,0.00030413,0.000142339,9.9331e-05,4.60813e-05,38.81665645299931,1.0777821642277847
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,23,0.0012065,4.0,0.008,594.0,0.00030413,0.0,594.0,783.825,0.0475147,0.0,195956.0,1331.68,41.8359,-41.8359,20241800.0,0.0,594.0,278.0,194.0,90.0,783.825,799.656,805.67,813.386,0.0475147,0.0387187,0.0308493,0.0229889,0.00030413,0.000142339,9.93312e-05,4.60814e-05,38.81665645299931,1.0777821642277847
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,24,0.00128693,4.0,0.008,594.0,0.000304131,0.0,594.0,766.411,0.0475147,0.0,191603.0,1302.09,40.9064,-40.9064,19792100.0,0.0,594.0,278.0,194.0,90.0,766.411,782.479,779.927,782.793,0.0475147,0.0387187,0.0308494,0.022989,0.000304131,0.000142339,9.93313e-05,4.60815e-05,37.76668754803974,1.0831344408472812
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,25,0.00128693,4.0,0.008,594.0,0.000304131,0.0,594.0,766.411,0.0475147,0.0,191603.0,1302.09,40.9064,-40.9064,19792100.0,0.0,594.0,278.0,194.0,90.0,766.411,782.479,779.927,782.793,0.0475147,0.0387187,0.0308494,0.022989,0.000304131,0.00014234,9.93315e-05,4.60816e-05,37.76668754803974,1.0831344408472812
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,26,0.00136737,4.0,0.008,594.0,0.000304131,0.0,594.0,750.093,0.0475147,0.0,187523.0,1274.37,40.0355,-40.0355,19370700.0,0.0,594.0,278.0,194.0,90.0,750.093,768.56,758.065,754.424,0.0475147,0.0387187,0.0308494,0.022989,0.000304131,0.00014234,9.93317e-05,4.60817e-05,36.716588098643406,1.0903927100317694
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,27,0.00136737,4.0,0.008,594.0,0.000304131,0.0,594.0,750.093,0.0475147,0.0,187523.0,1274.37,40.0355,-40.0355,19370700.0,0.0,594.0,278.0,194.0,90.0,750.093,768.56,758.065,754.424,0.0475147,0.0387187,0.0308494,0.022989,0.000304131,0.00014234,9.93318e-05,4.60818e-05,36.716588098643406,1.0903927100317694
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,28,0.0014478,4.0,0.008,594.0,0.000304131,0.0,594.0,735.032,0.0475148,0.0,183758.0,1248.78,39.2316,-39.2316,18981700.0,0.0,594.0,278.0,194.0,90.0,735.032,758.145,740.622,729.755,0.0475148,0.0387187,0.0308495,0.022989,0.000304131,0.00014234,9.93319e-05,4.60819e-05,35.666619193683836,1.0999528659264537
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,29,0.0014478,4.0,0.008,594.0,0.000304131,0.0,594.0,735.032,0.0475148,0.0,183758.0,1248.78,39.2316,-39.2316,18981700.0,0.0,594.0,278.0,194.0,90.0,735.032,758.145,740.622,729.755,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.9332e-05,4.60819e-05,35.666619193683836,1.0999528659264537
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,30,0.00152823,4.0,0.008,594.0,0.000304131,0.0,594.0,721.276,0.0475148,0.0,180319.0,1225.41,38.4973,-38.4973,18626500.0,0.0,594.0,278.0,194.0,90.0,721.276,751.226,727.849,710.141,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.93321e-05,4.6082e-05,34.616650288724266,1.1121035593828033
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,31,0.00152823,4.0,0.008,594.0,0.000304131,0.0,594.0,721.276,0.0475148,0.0,180319.0,1225.41,38.4973,-38.4973,18626400.0,0.0,594.0,278.0,194.0,90.0,721.276,751.226,727.849,710.141,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.93322e-05,4.60821e-05,34.616650288724266,1.1121035593828033
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,32,0.00160866,4.0,0.008,594.0,0.000304131,0.0,594.0,708.794,0.0475148,0.0,177198.0,1204.2,37.8311,-37.8311,18304100.0,0.0,594.0,278.0,194.0,90.0,708.794,747.594,719.739,696.677,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.93322e-05,4.60821e-05,33.566681383764696,1.1270431999958712
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,33,0.00160866,4.0,0.008,594.0,0.000304131,0.0,594.0,708.794,0.0475148,0.0,177198.0,1204.2,37.8311,-37.8311,18304100.0,0.0,594.0,278.0,194.0,90.0,708.794,747.594,719.739,696.677,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.93323e-05,4.60821e-05,33.566681383764696,1.1270431999958712
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,34,0.0016891,4.0,0.008,594.0,0.000304131,0.0,594.0,697.513,0.0475148,0.0,174378.0,1185.04,37.229,-37.229,18012800.0,0.0,594.0,278.0,194.0,90.0,697.513,746.914,716.066,690.068,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.93323e-05,4.60821e-05,32.51658193436836,1.1449235370169966
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,35,0.0016891,4.0,0.008,594.0,0.000304131,0.0,594.0,697.513,0.0475148,0.0,174378.0,1185.04,37.229,-37.229,18012800.0,0.0,594.0,278.0,194.0,90.0,697.513,746.914,716.066,690.068,0.0475148,0.0387188,0.0308495,0.0229891,0.000304131,0.00014234,9.93323e-05,4.60821e-05,32.51658193436836,1.1449235370169966
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,36,0.00176953,4.0,0.008,594.0,0.000304131,0.0,594.0,687.351,0.0475148,0.0,171838.0,1167.77,36.6867,-36.6867,17750400.0,0.0,594.0,278.0,194.0,90.0,687.351,748.798,716.442,690.529,0.0475148,0.0387187,0.0308495,0.0229891,0.000304131,0.00014234,9.93323e-05,4.60821e-05,31.46661302940879,1.165892877181046
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,37,0.00176953,4.0,0.008,594.0,0.000304131,0.0,594.0,687.351,0.0475148,0.0,171838.0,1167.77,36.6867,-36.6867,17750400.0,0.0,594.0,278.0,194.0,90.0,687.351,748.798,716.442,690.529,0.0475148,0.0387187,0.0308495,0.0229891,0.000304131,0.00014234,9.93323e-05,4.60821e-05,31.46661302940879,1.165892877181046
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,38,0.00184996,4.0,0.008,594.0,0.000304131,0.0,594.0,678.248,0.0475148,0.0,169562.0,1152.31,36.2008,-36.2008,17515300.0,0.0,594.0,278.0,194.0,90.0,678.248,752.869,720.376,697.718,0.0475148,0.0387187,0.0308495,0.0229891,0.000304131,0.00014234,9.93322e-05,4.60821e-05,30.41664412444922,1.1901641697185592
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,39,0.00184996,4.0,0.008,594.0,0.000304131,0.0,594.0,678.248,0.0475148,0.0,169562.0,1152.31,36.2008,-36.2008,17515300.0,0.0,594.0,278.0,194.0,90.0,678.248,752.869,720.376,697.718,0.0475148,0.0387187,0.0308495,0.0229891,0.000304131,0.00014234,9.93322e-05,4.60821e-05,30.41664412444922,1.1901641697185592
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,40,0.00193039,4.0,0.008,594.0,0.000304131,0.0,594.0,692.867,0.0475148,0.0,173217.0,1177.14,36.9811,-36.9811,17892800.0,0.0,594.0,278.0,194.0,90.0,692.867,709.294,720.76,714.949,0.0475148,0.0387187,0.0308495,0.022989,0.000304131,0.00014234,9.93321e-05,4.6082e-05,29.366675219489654,1.2592879419818321
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,41,0.00193039,4.0,0.008,594.0,0.000304131,0.0,594.0,692.867,0.0475148,0.0,173217.0,1177.14,36.9811,-36.9811,17892800.0,0.0,594.0,278.0,194.0,90.0,692.867,709.294,720.76,714.949,0.0475148,0.0387187,0.0308495,0.022989,0.000304131,0.00014234,9.93321e-05,4.60819e-05,29.366675219489654,1.2592879419818321
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,42,0.00201082,4.0,0.008,594.0,0.000304131,0.0,594.0,684.794,0.0475148,0.0,171198.0,1163.43,36.5502,-36.5502,17684300.0,0.0,594.0,278.0,194.0,90.0,684.794,718.284,731.015,732.309,0.0475148,0.0387186,0.0308495,0.022989,0.000304131,0.00014234,9.9332e-05,4.60819e-05,28.316706314530087,1.2907645258603073
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,43,0.00201082,4.0,0.008,594.0,0.000304131,0.0,594.0,684.794,0.0475148,0.0,171198.0,1163.43,36.5502,-36.5502,17684300.0,0.0,594.0,278.0,194.0,90.0,684.794,718.284,731.015,732.309,0.0475148,0.0387186,0.0308495,0.022989,0.000304131,0.00014234,9.93319e-05,4.60818e-05,28.316706314530087,1.2907645258603073
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,44,0.00209125,4.0,0.008,594.0,0.000304131,0.0,594.0,677.038,0.0475148,0.0,169259.0,1150.25,36.1362,-36.1362,17484000.0,0.0,594.0,278.0,194.0,90.0,677.038,729.88,744.799,752.376,0.0475148,0.0387186,0.0308495,0.022989,0.000304131,0.000142339,9.93318e-05,4.60817e-05,27.806498921359612,1.2995595059341294
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,45,0.00209125,4.0,0.008,594.0,0.000304131,0.0,594.0,677.038,0.0475148,0.0,169259.0,1150.25,36.1362,-36.1362,17484000.0,0.0,594.0,278.0,194.0,90.0,677.038,729.88,744.799,752.376,0.0475148,0.0387185,0.0308494,0.0229889,0.000304131,0.000142339,9.93316e-05,4.60817e-05,27.806498921359612,1.2995595059341294
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,46,0.00217168,4.0,0.008,594.0,0.000304131,0.0,594.0,669.567,0.0475148,0.0,167392.0,1137.56,35.7374,-35.7374,17291100.0,0.0,594.0,278.0,194.0,90.0,669.567,743.52,761.016,773.161,0.0475148,0.0387185,0.0308494,0.0229889,0.000304131,0.000142339,9.93315e-05,4.60816e-05,27.32946494075857,1.3076509209919445
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,47,0.00217168,4.0,0.008,594.0,0.000304131,0.0,594.0,669.567,0.0475148,0.0,167392.0,1137.56,35.7374,-35.7374,17291100.0,0.0,594.0,278.0,194.0,90.0,669.567,743.52,761.016,773.161,0.0475148,0.0387185,0.0308494,0.0229889,0.000304131,0.000142339,9.93314e-05,4.60815e-05,27.32946494075857,1.3076509209919445
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,48,0.00225211,4.0,0.008,594.0,0.000304131,0.0,594.0,662.204,0.0475148,0.0,165551.0,1125.05,35.3444,-35.3444,17101000.0,0.0,594.0,278.0,194.0,90.0,662.204,758.368,778.294,792.658,0.0475148,0.0387185,0.0308494,0.0229889,0.000304131,0.000142339,9.93313e-05,4.60815e-05,26.852430960157527,1.316245819696641
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,49,0.00225211,4.0,0.008,594.0,0.000304131,0.0,594.0,662.204,0.0475148,0.0,165551.0,1125.05,35.3444,-35.3444,17101000.0,0.0,594.0,278.0,194.0,90.0,662.204,758.368,778.294,792.658,0.0475148,0.0387184,0.0308494,0.0229889,0.000304131,0.000142339,9.93311e-05,4.60814e-05,26.852430960157527,1.316245819696641
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,50,0.00233254,4.0,0.008,594.0,0.000304131,0.0,594.0,654.633,0.0475147,0.0,163658.0,1112.19,34.9404,-34.9404,16905500.0,0.0,594.0,278.0,194.0,90.0,654.633,773.327,795.039,809.014,0.0475147,0.0387184,0.0308494,0.0229889,0.000304131,0.000142338,9.9331e-05,4.60813e-05,26.37539697955648,1.3247345633160417
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,51,0.00233254,4.0,0.008,594.0,0.000304131,0.0,594.0,654.633,0.0475147,0.0,163658.0,1112.19,34.9404,-34.9404,16905500.0,0.0,594.0,278.0,194.0,90.0,654.633,773.327,795.039,809.014,0.0475147,0.0387184,0.0308494,0.0229888,0.000304131,0.000142338,9.93309e-05,4.60813e-05,26.37539697955648,1.3247345633160417
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,52,0.00241297,4.0,0.008,594.0,0.000304131,0.0,594.0,646.412,0.0475147,0.0,161603.0,1098.22,34.5016,-34.5016,16693200.0,0.0,594.0,278.0,194.0,90.0,646.412,787.098,809.526,820.663,0.0475147,0.0387184,0.0308494,0.0229888,0.000304131,0.000142338,9.93308e-05,4.60813e-05,25.89836299895544,1.3321923088880774
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,53,0.00241297,4.0,0.008,594.0,0.000304131,0.0,594.0,646.412,0.0475147,0.0,161603.0,1098.22,34.5016,-34.5016,16693200.0,0.0,594.0,278.0,194.0,90.0,646.412,787.098,809.526,820.663,0.0475147,0.0387183,0.0308494,0.0229888,0.000304131,0.000142338,9.93307e-05,4.60812e-05,25.89836299895544,1.3321923088880774
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,54,0.00249341,4.0,0.008,594.0,0.000304131,0.0,594.0,637.009,0.0475147,0.0,159252.0,1082.24,33.9997,-33.9997,16450300.0,0.0,594.0,278.0,194.0,90.0,637.009,798.257,820.004,826.43,0.0475147,0.0387183,0.0308494,0.0229888,0.000304131,0.000142338,9.93306e-05,4.60812e-05,25.42126970790051,1.3374508980341548
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,55,0.00249341,4.0,0.008,594.0,0.000304131,0.0,594.0,637.009,0.0475147,0.0,159252.0,1082.24,33.9997,-33.9997,16450300.0,0.0,594.0,278.0,194.0,90.0,637.009,798.257,820.004,826.43,0.0475147,0.0387183,0.0308494,0.0229888,0.000304131,0.000142338,9.93306e-05,4.60812e-05,25.42126970790051,1.3374508980341548
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,56,0.00257384,4.0,0.008,594.0,0.000304131,0.0,594.0,625.842,0.0475147,0.0,156460.0,1063.27,33.4037,-33.4037,16161900.0,0.0,594.0,278.0,194.0,90.0,625.842,805.369,824.84,825.576,0.0475147,0.0387183,0.0308494,0.0229888,0.000304131,0.000142338,9.93305e-05,4.60812e-05,24.94423572729947,1.3391350356524383
mode6_shell_dp008,CaseCryer_PR_StrictSphere_C5k_FinerDiffusionShellFlux,finer,0.008,57,0.00257384,4.0,0.008,594.0,0.000304131,0.0,594.0,625.842,0.0475147,0.0,156460.0,1063.27,33.4037,-33.4037,16161900.0,0.0,594.0,278.0,194.0,90.0,625.842,805.369,824.84,825.576,0.0475147,0.0387183,0.0308494,0.0229888,0.000304131,0.000142338,9.93305e-05,4.60812e-05,24.94423572729947,1.3391350356524383
