case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,excess_count,excess_mean,excess_median,excess_p95_abs,excess_p99_abs,excess_max,excess_maxAbs
mode6_shell_dp008,0.004022,4,0.2,0.4,0.30000000000000004,74,438.42839526146093,450.66695966565,455.84152461973997,455.841528150359,455.8415302394,455.8415302394
mode6_shell_dp008,0.004022,4,0.4,0.6,0.5,170,434.0021457637741,437.14776092295,446.592546060765,446.59256826989997,446.5925770793,446.5925770793
mode6_shell_dp008,0.004022,4,0.6,0.8,0.7,234,414.4211913013599,417.6606847365,425.83037937375,425.830392253225,425.8303993352,425.8303993352
mode6_shell_dp008,0.004022,4,0.8,0.9,0.8500000000000001,254,387.01041458028385,391.2733674785,401.550906192615,401.55092176253606,401.5509270095,401.5509270095
mode6_shell_dp008,0.004022,4,0.9,0.95,0.925,156,403.06865055103265,402.76944092965005,434.73480497430006,434.73483418191995,434.7348503342,434.7348503342
mode6_shell_dp008,0.004022,4,0.95,1.0,0.975,126,369.49714062811915,356.21117353060004,506.51638399905,717.926207533125,717.9262321138,717.9262321138
mode6_shell_dp008,0.005067,5,0.0,0.2,0.1,7,543.1500374690571,530.2327661531,593.52748527873,615.228525100626,620.6537850561,620.6537850561
mode6_shell_dp008,0.005067,5,0.2,0.4,0.30000000000000004,74,497.8612560350879,496.38816163194997,507.726288310315,507.726296599795,507.7262991756,507.7262991756
mode6_shell_dp008,0.005067,5,0.4,0.6,0.5,170,490.14569479767755,497.3175287378,507.42533198553997,507.425355811969,507.4253630734,507.4253630734
mode6_shell_dp008,0.005067,5,0.6,0.8,0.7,234,461.8575877163737,464.04796737050003,479.16269943753,479.162724364242,479.162740326,479.162740326
mode6_shell_dp008,0.005067,5,0.8,0.9,0.8500000000000001,254,443.87114165050946,446.9783931033,501.047211702945,501.047276770052,501.0472917299,501.0472917299
mode6_shell_dp008,0.005067,5,0.9,0.95,0.925,156,434.53154021842437,450.4725661167,510.02777182647503,510.027831782615,510.0279221426,510.0279221426
mode6_shell_dp008,0.005067,5,0.95,1.0,0.975,126,341.29484445793895,348.70058980429997,430.091952111125,654.149162792875,654.1492296795,654.1492296795
mode6_shell_dp008,0.006032,6,0.0,0.2,0.1,7,900.9215911163857,894.0097398361,927.8777990276301,939.489692234006,942.3926655356,942.3926655356
mode6_shell_dp008,0.006032,6,0.2,0.4,0.30000000000000004,74,837.2917331857824,830.78633234005,863.7934312523751,863.7934460463689,863.7934481449,863.7934481449
mode6_shell_dp008,0.006032,6,0.4,0.6,0.5,170,816.8165974060001,821.0826334837,828.1883926805,832.0386959731261,832.0387308492,832.0387308492
mode6_shell_dp008,0.006032,6,0.6,0.8,0.7,234,780.7592049347959,777.9990790166501,796.951268677595,796.951283130076,796.9512853933,796.9512853933
mode6_shell_dp008,0.006032,6,0.8,0.9,0.8500000000000001,254,781.307577413817,764.4035794066,823.730948027655,823.730979812668,823.7310471681,823.7310471681
mode6_shell_dp008,0.006032,6,0.9,0.95,0.925,156,720.2104678569199,745.45848147325,798.918514143075,798.918587491215,798.9185956356,798.9185956356
mode6_shell_dp008,0.006032,6,0.95,1.0,0.975,126,708.3994459372898,784.17443477645,811.0630150592251,811.0630943783999,811.0631560931,811.0631560931
mode6_shell_dp010,0.0,0,0.0,0.2,0.1,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.0,0,0.2,0.4,0.30000000000000004,26,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.0,0,0.4,0.6,0.5,90,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.0,0,0.6,0.8,0.7,134,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.0,0,0.8,0.9,0.8500000000000001,132,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.0,0,0.9,0.95,0.925,72,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.0,0,0.95,1.0,0.975,48,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mode6_shell_dp010,0.001005,1,0.0,0.2,0.1,1,971.5002974477,971.5002974477,971.5002974477,971.5002974477,971.5002974477,971.5002974477
mode6_shell_dp010,0.001005,1,0.2,0.4,0.30000000000000004,26,956.5756898993963,956.43122046655,962.83936773655,962.83937166395,962.8393729649,962.8393729649
mode6_shell_dp010,0.001005,1,0.4,0.6,0.5,66,950.4178812218939,949.8640080787,952.0768950311,952.076897181405,952.0768993513,952.0768993513
mode6_shell_dp010,0.001005,1,0.6,0.8,0.7,158,965.549610705942,965.2778652284001,971.00014260616,971.0001440495,971.000144835,971.000144835
mode6_shell_dp010,0.001005,1,0.8,0.9,0.8500000000000001,138,900.3863544357898,903.8415582009,904.9265462712,906.017334918967,906.0173378567,906.0173378567
mode6_shell_dp010,0.001005,1,0.9,0.95,0.925,72,905.6916075221861,905.3190646626,906.4366964161,906.4366972015,906.4366972015,906.4366972015
mode6_shell_dp010,0.001005,1,0.95,1.0,0.975,24,911.0514999478625,911.0515000788,911.0515008642,911.0515008642,911.0515008642,911.0515008642
mode6_shell_dp010,0.002011,2,0.0,0.2,0.1,1,851.4285697955,851.4285697955,851.4285697955,851.4285697955,851.4285697955,851.4285697955
mode6_shell_dp010,0.002011,2,0.2,0.4,0.30000000000000004,26,854.1349310135461,854.1962805775499,854.92291840665,854.92291897885,854.9229189974,854.9229189974
mode6_shell_dp010,0.002011,2,0.4,0.6,0.5,66,850.7628385371277,850.57909918255,851.62813690585,851.6281388006249,851.6281389173,851.6281389173
mode6_shell_dp010,0.002011,2,0.6,0.8,0.7,158,854.2109600159804,853.5419224632,860.24349524623,860.243496372377,860.2434968844,860.2434968844
mode6_shell_dp010,0.002011,2,0.8,0.9,0.8500000000000001,138,810.4406922992636,812.6919270138501,813.532290451965,813.7330264841261,813.7330270343,813.7330270343
mode6_shell_dp010,0.002011,2,0.9,0.95,0.925,72,820.6385390288498,816.1850454037,829.545536070025,829.545538314436,829.5455402161,829.5455402161
mode6_shell_dp010,0.002011,2,0.95,1.0,0.975,24,829.9368322232582,829.9368315838,829.9368373068301,829.936837561801,829.9368376196,829.9368376196
mode6_shell_dp010,0.003016,3,0.0,0.2,0.1,1,837.6833628302,837.6833628302,837.6833628302,837.6833628302,837.6833628302,837.6833628302
mode6_shell_dp010,0.003016,3,0.2,0.4,0.30000000000000004,26,858.2448524595268,858.1003181788999,866.100288529675,866.1002898120751,866.1002902039,866.1002902039
mode6_shell_dp010,0.003016,3,0.4,0.6,0.5,66,877.4625745150954,878.59728280285,879.76293153685,879.762934386845,879.7629344952,879.7629344952
mode6_shell_dp010,0.003016,3,0.6,0.8,0.7,158,864.8003960170137,862.0351093898,874.35726005583,874.58184660096,874.5818474953,874.5818474953
mode6_shell_dp010,0.003016,3,0.8,0.9,0.8500000000000001,138,787.9557492601981,785.6998172229501,795.45732048248,800.375085786205,800.3750877777,800.3750877777
mode6_shell_dp010,0.003016,3,0.9,0.95,0.925,72,779.3490963268111,779.9972552319,779.99727065413,779.99727407968,779.9972765022,779.9972765022
mode6_shell_dp010,0.003016,3,0.95,1.0,0.975,24,768.8081473028124,768.8081473194,768.8081569455201,768.8081594074621,768.8081599987,768.8081599987
mode6_shell_dp010,0.004022,4,0.0,0.2,0.1,1,760.3950420188,760.3950420188,760.3950420188,760.3950420188,760.3950420188,760.3950420188
mode6_shell_dp010,0.004022,4,0.2,0.4,0.30000000000000004,26,694.9777202607269,693.722372115,720.106858327,720.1068601124,720.106860361,720.106860361
mode6_shell_dp010,0.004022,4,0.4,0.6,0.5,66,661.3664224094197,662.8265334202999,663.3420165407499,663.34202953066,663.3420296708,663.3420296708
mode6_shell_dp010,0.004022,4,0.6,0.8,0.7,158,672.7532787478386,672.27410791635,681.194181867585,682.558960448495,682.5589679689,682.5589679689
mode6_shell_dp010,0.004022,4,0.8,0.9,0.8500000000000001,138,640.1707645745471,639.7131379247,644.664685619515,644.6646972529959,644.6646996027,644.6646996027
mode6_shell_dp010,0.004022,4,0.9,0.95,0.925,72,649.7492169325317,648.1122968006,653.0230820681049,653.0230991111921,653.02310745,653.02310745
mode6_shell_dp010,0.004022,4,0.95,1.0,0.975,24,646.5532561380458,646.5532545615499,646.5532709031501,646.55327499316,646.553276145,646.553276145
mode6_shell_dp010,0.005027,5,0.0,0.2,0.1,1,662.951960254,662.951960254,662.951960254,662.951960254,662.951960254,662.951960254
mode6_shell_dp010,0.005027,5,0.2,0.4,0.30000000000000004,32,702.1373541897499,701.66621113495,710.063168587565,710.063174694671,710.0631772695,710.0631772695
mode6_shell_dp010,0.005027,5,0.4,0.6,0.5,60,707.9428717537434,708.4727956713,710.45266195971,710.452666142627,710.4526698329,710.4526698329
mode6_shell_dp010,0.005027,5,0.6,0.8,0.7,158,679.7525141249836,677.4203996966,696.734512554305,696.734520422236,696.7345278967,696.7345278967
mode6_shell_dp010,0.005027,5,0.8,0.9,0.8500000000000001,138,611.830852399513,610.8539950236,622.999708916485,622.999719115681,622.9997300655,622.9997300655
mode6_shell_dp010,0.005027,5,0.9,0.95,0.925,72,601.5799533200402,606.7245828811999,606.7246144839551,606.724625495432,606.7246323191,606.7246323191
mode6_shell_dp010,0.005027,5,0.95,1.0,0.975,24,590.5375185682208,590.53752427525,590.53753967602,590.537545841849,590.5375472871,590.5375472871
mode6_shell_dp010,0.006032,6,0.0,0.2,0.1,1,638.1061865645,638.1061865645,638.1061865645,638.1061865645,638.1061865645,638.1061865645
mode6_shell_dp010,0.006032,6,0.2,0.4,0.30000000000000004,32,631.2036001286594,636.40451860105,642.5004593691,642.500464956084,642.5004652734,642.5004652734
mode6_shell_dp010,0.006032,6,0.4,0.6,0.5,60,606.5539931658018,607.1948845206,610.706836622945,610.706840292874,610.7068419103,610.7068419103
mode6_shell_dp010,0.006032,6,0.6,0.8,0.7,158,608.7042931277977,603.4655332382999,617.7968834321051,617.796893042354,617.7968979943,617.7968979943
mode6_shell_dp010,0.006032,6,0.8,0.9,0.8500000000000001,138,586.4070853121347,583.1963888035,620.02624797027,620.026268963514,620.0262853558,620.0262853558
mode6_shell_dp010,0.006032,6,0.9,0.95,0.925,72,583.689154343415,591.1910977267501,591.191133732215,591.191138854938,591.1911425556,591.1911425556
mode6_shell_dp010,0.006032,6,0.95,1.0,0.975,24,586.2490342066918,586.2490302468,586.249067824,586.2490718889829,586.2490729419,586.2490729419
