case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3C_Xi0p05_T0p05,0.05,0.05,10,0.05,0.002788051300000008,0.002307864341570073,-0.00014959330600000003,50.82996883572,26665.67263431,14568.526213592368,50.829828300000415,9761.136759837,4906.467510047366,0.0,16908.3495961,9662.058494837354,16908.3495961,26616.671837342503,9712.1359682685,16904.535457700003,-0.013627158496092306,0.0,7067584.666666668,125983264.27998644,125916690.0,10.233056000000035
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,1,0.005,0.0028644784,0.0015413921210373795,-4.169524299999844e-05,49.65204172185,39735.63198835,22254.247327214147,49.652235900000534,9761.026521924001,4905.409030049317,0.0,29983.41450887,17348.838094960705,29983.41450887,39686.60401380299,9711.998548316998,29974.60505114,0.11423775799266878,0.0,24985452.66666667,311778542.198437,313187680.0,24.31769600000008
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,2,0.01,0.010299189000000002,0.0063958215440500284,-4.8826447999995516e-05,49.6532825291,29912.181518,15993.857134192342,49.653413099999916,9761.045479749,4905.478987170372,0.0,20160.31616504,11088.377941827914,20160.31616504,29863.157724428504,9712.021692559501,20151.135620619993,-0.12553793450570083,0.0,29201684.000000004,177392275.32925585,206593940.0,12.59007500000008
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,3,0.015,0.0026084560000000055,0.0023135607067700068,-6.126766700000346e-05,49.79016572197,25133.46627885,13054.977680684678,49.79016449999982,9761.061518118,4905.601035528785,0.0,15378.41932941,8149.37641744881,15378.41932941,25084.446990097997,9712.042229303997,15372.404342999997,-0.02128226550303225,0.0,11605540.000000002,90594038.42881413,92359256.0,8.585087800000013
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,4,0.02,0.0024431047000000126,0.002082498411150013,-7.693242799999811e-05,49.98885455682,28435.83414883,15250.574028820896,49.98901320000025,9761.076611784,4905.754706834173,0.0,18681.39804547,10344.819112411516,18681.39804547,28386.818817449494,9712.061278362002,18674.757119509995,-0.03873643500264734,0.0,10606598.0,137703734.01155284,132712570.0,11.45729500000001
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,5,0.025,0.0035894348000000244,0.002842352118780004,-8.928512900000008e-05,50.12488281245,27760.68195391,14922.534845858285,50.124685500000176,9761.08842891,4905.875886831005,0.0,18005.12458829,10016.658716830225,18005.12458829,27711.669523424993,9712.076001210004,17999.59310828,-0.027613512495008763,0.0,10534164.666666668,133364186.20387359,136105760.0,10.748880000000021
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,6,0.03,0.0029266742000000085,0.0024780845646600134,-0.00010160585499999959,50.26610459895,27028.4041497,14541.653098544335,50.26614569999978,9761.099402376,4905.996753153069,0.0,17272.15447173,9635.656146694155,17272.15447173,26979.394450103002,9712.089703818001,17267.30433188,-0.01861852899673977,0.0,9085032.666666668,124249571.67108394,124667420.0,10.115550000000113
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,7,0.035,0.0028052800000000107,0.002372176932000014,-0.00011409859899999609,50.41308835685,27161.47599038,14699.328027826987,50.41290329999986,9761.10972642,4906.119306971708,0.0,17404.99313762,9793.208513408677,17404.99313762,27112.4688175845,9712.102556879998,17400.36584461999,-0.014077471507334849,0.0,8390979.333333334,129361026.7454978,128721330.0,10.330879000000198
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,8,0.04,0.002902836100000004,0.002411209428310031,-0.00012611077799999995,50.55312150722,26996.37061621,14660.585628636069,50.55328439999949,9761.119241139,4906.237146447699,0.0,17239.5062338,9754.348262815078,17239.5062338,26947.365716723503,9712.114343104504,17235.250955139993,-0.016599430004134774,0.0,7964666.666666667,126236522.751614,126489230.0,10.359047000000015
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,9,0.045,0.0028281780000000006,0.002351572401610034,-0.0001379176039999974,50.69175013555,26783.4782017,14587.272495584342,50.69189970000004,9761.128213365,4906.352971410755,0.0,17026.34607716,9680.919316157439,17026.34607716,26734.475420671504,9712.125436252501,17022.349571069997,-0.015029295002022991,0.0,7457371.333333334,125346126.12300375,125403960.0,10.25616200000004
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,10,0.05,0.002788051300000008,0.002307864341570073,-0.00014959330600000003,50.82996883572,26665.67263431,14568.526213592368,50.829828300000415,9761.136759837,4906.467510047366,0.0,16908.3495961,9662.058494837354,16908.3495961,26616.671837342503,9712.1359682685,16904.535457700003,-0.013627158496092306,0.0,7067584.666666668,125983264.27998644,125916690.0,10.233056000000035
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,11,0.055,0.0027798086,0.00228491954891052,-0.00016108549299999957,50.9666076412,26531.91362905,14535.639739335595,50.96667779999972,9761.144901156,4906.5802484018395,0.0,16774.5027137,9629.059293425073,16774.5027137,26482.914690191497,9712.145963187,16770.768312959997,-0.012187394499051152,0.0,6752152.000000001,128843579.81107713,128875210.0,10.082939
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,12,0.06,0.0027579400000000034,0.0022552424687003105,-0.0001724231829999976,51.1022093392,26397.85026388,14497.890532663563,51.10235009999965,9761.152698144,4906.691471140751,0.0,16640.15352426,9591.198847995094,16640.15352426,26348.853079569497,9712.155518126998,16636.697149050007,-0.013060631990811089,0.0,6463132.800000001,124287234.86918114,124298160.0,10.207097000000015
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,13,0.065,0.002738931200000007,0.002227663311070522,-0.00018363100400000193,51.23704530028,26274.04467063,14464.545300787386,51.2368452000002,9761.160203775,4906.801419864768,0.0,16516.21182589,9557.743657587658,16516.21182589,26225.0491493925,9712.164681157501,16512.884050889996,-0.012344137503532693,0.0,6204901.866666667,124438206.19367996,124435420.0,10.183041000000019
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,14,0.07,0.0027244492,0.002203468610190396,-0.0001947116150000004,51.37107655896,26154.00245685,14430.80668000085,51.37134029999965,9761.167444536,4906.9101206586765,0.0,16396.06099681,9523.896339248493,16396.06099681,26105.0085151055,9712.173505743001,16392.83459483,-0.011383524502889486,0.0,5967096.733333334,125525630.24668707,125526630.0,10.124099000000198
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,15,0.075,0.0027117934000000054,0.0021799462115617316,-0.0002056773369999945,51.50444979262,26040.11166178,14398.790789350162,51.504658199999724,9761.174470458,4907.017694391479,0.0,16282.23760239,9491.772883332902,16282.23760239,25991.119222994497,9712.182036519003,16278.93677322,-0.02763184349896619,0.0,5755064.400000001,123501047.2198437,123527650.0,10.161900000000012
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,16,0.08,0.002703390100000009,0.0021610341711142916,-0.00021652966100000048,51.63713775232,25930.02782562,14364.314684105386,51.63738750000011,9761.181262902,4907.12415568992,0.0,16171.82363899,9457.190318569134,16171.82363899,25881.036840254503,9712.190278881002,16168.84614685999,-0.011363164006979787,0.0,5600977.066666667,123507765.0485899,123527990.0,10.143219000000006
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,17,0.085,0.002689861000000008,0.0021398791670215076,-0.0002272749060000017,51.76920587405,25814.0923528,14326.945081520907,51.76952819999972,9761.187850317001,4907.229566543398,0.0,16055.80435265,9419.715337847927,16055.80435265,25765.102750564998,9712.198247053497,16052.904085910002,-0.010630355496687116,0.0,5398656.533333333,123935454.00815494,123947480.0,10.111855000000045
