variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045_extended,0.000905,407,0,0,0,120.00982800982801,98.0,0.8048222755558322,0.04200446862721686,0.05900294533448846,29.572387978918904,29.961492052523493,1.5281174806637878,4258.1787,120.00260213759218,0.8000186047174438,1.9272559353304666e-06,2.9862669697395576e-06,0.49951899999999905,0.667950999999996,-47.2802781695331,0.13368183710137835,-11272.311349615333,24271976.0,0.0026743794035267656,112.0,0.0
overhang045_extended,0.001005,407,0,0,0,120.00982800982801,98.0,0.8048245736442615,0.042802748735782846,0.06004454509353045,28.62512232405406,32.975208926093764,2.250675209884647,4019.8486,120.00370267813263,0.8000181579115472,2.7422108416093356e-06,5.119572713289927e-06,0.49951899999999905,0.667950999999996,-48.06534521867317,0.13590156188811683,-11914.785782165533,20663174.0,0.00308338113462146,112.0,0.0
overhang045_extended,0.001106,407,8,0,8,120.00982800982801,98.0,0.8048267551562068,0.04375349764778702,0.06125579619185818,28.667145771904984,35.513116104932166,-1.225417062142588,3748.8152,120.00447800982802,0.8000169904668308,3.3163789893611812e-06,7.557161543980341e-06,0.37523749999999795,0.7865990000000023,-49.51602865110566,0.1400032726607297,-12220.73327938093,19334364.0,0.0034454452617608275,112.0,0.0
overhang045_extended,0.001206,407,8,0,8,120.00982800982801,98.0,0.8048286701578438,0.0450415172291044,0.0629003662065317,29.45175297963145,37.73013964784579,2.123961306626417,3453.3967,120.00510385749386,0.8000152454545467,3.7798852291646193e-06,1.0086332246486489e-05,0.37523749999999795,0.7865990000000023,-51.48189556511056,0.14556163041020545,-12215.278539489767,24022422.0,0.0037672090637928613,112.0,0.0
overhang045_extended,0.001307,407,8,0,8,120.00982800982801,98.0,0.8048302688579904,0.04656537306701046,0.06485329996354289,30.691473416158907,39.878416218362645,2.202626982156307,3528.4258,120.00576670761666,0.8000129894840293,4.270695642712531e-06,1.2523657582651104e-05,0.37523749999999795,0.7865990000000023,-53.84884194299752,0.152254013627195,-11933.738850861184,27468794.0,0.004052436567187129,112.0,0.0
overhang045_extended,0.001408,407,8,0,8,120.00982800982801,98.0,0.8048315373202395,0.048169552984955656,0.06690050798953676,32.41590111365273,41.893765153883784,2.128022964354012,3749.1155,120.00638484029503,0.800010298108108,4.728532976633907e-06,1.4947857755503689e-05,0.37523749999999795,0.7865990000000023,-56.63039974668307,0.16011868303262952,-11994.395091468736,29765292.0,0.004307565089915021,112.0,0.0
overhang045_extended,0.001508,407,8,0,8,120.00982800982801,98.0,0.8048324396371682,0.049795231190901415,0.0689662068642195,34.43904453952822,43.66578204111089,1.995019108663932,3979.8662,120.00704744471737,0.8000072555528271,5.2189014001228495e-06,1.7385900900859952e-05,0.37523749999999795,0.7865990000000023,-59.540117544810805,0.16834571628538533,-11282.03569244444,31091686.0,0.004535063342970476,112.0,0.0
overhang045_extended,0.001609,407,16,8,8,120.00982800982801,98.0,0.8048328716342854,0.05142905902489529,0.07104419096085664,36.78512922460523,45.49178497217172,1.3940743502558914,4195.7783,120.00767071253065,0.8000040396314504,5.680360389459462e-06,1.9738217861965596e-05,0.37523749999999795,0.7865990000000023,-62.79995382511063,0.1775626862244712,-10416.03959532626,31419126.0,0.004738649323101798,112.0,0.0
overhang045_extended,0.001709,407,8,8,0,120.00982800982801,98.0,0.805984825158162,0.05300182521541587,0.07305191510028562,39.38204075129649,46.668172902390346,2.1295034153963504,4377.6377,120.00824948402949,0.8000006223095812,6.108709515366097e-06,2.2403552751402953e-05,0.37523749999999795,0.7865990000000023,-65.88487509085998,0.18628509561131418,-9435.979408371495,31055066.0,0.004921571723418509,112.0,0.0
overhang045_extended,0.00181,407,5,5,0,120.00982800982801,98.0,0.8059847247020983,0.05441780961323515,0.07485822191424257,41.99921574967157,47.85546168574413,2.012304634946079,4523.0405,120.00889695331693,0.7999969855773958,6.588240595552828e-06,2.5020568956191653e-05,0.37523749999999795,0.7865990000000023,-69.07696737722848,0.1953105239201065,-8386.847073789753,30141300.0,0.005085039693923268,112.0,0.0
