case,variant,part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,region,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,lateral_active_targets,cap_leakage_proxy,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
CaseM3m_Overhang045,overhang045,10,0.001408,638,-1,1,-9.8135835e-14,-0.010000026,0.030000074,0.010000026,0.3333342,0.30000074,interior,0.069999926,0.030000074,0.019999973999999997,0.036055559904211054,153,153,0.009999955000006049,12.935911920847495,0.9967862579080654,0.00015733527224257233,0.0028888751,-1887812.6,-20018.16381977,-19.100735,-5.25285,36.574754706973074,-6.962840116693429,119.99883,0.80005133,-8.7163158e-07,9.1469212e-07,0.0,0.0,-5.2528601,9.1469212e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.010091700084682775,0.0034761508858394347,0.015925090376448542,0.011398097117612683
CaseM3m_Overhang045,overhang045,10,0.001408,572,-1,1,-0.010000026,-6.3671877e-15,0.030000074,0.010000026,0.3333342,0.30000074,interior,0.069999926,0.030000074,0.019999973999999997,0.036055559904211054,153,153,0.009999955000006049,12.935911920847909,0.9967862579080974,0.00015733538774860635,0.0028888751,-1887812.6,-20018.16393866,-19.100735,-5.252850666666667,36.574755523436544,-6.962839388435538,119.99883,0.80005133,-8.7163369e-07,9.1469434e-07,0.0,0.0,-5.252861,9.1469434e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.010091700153900342,0.003476150773666452,0.015925090364138396,0.01139809726740233
CaseM3m_Overhang045,overhang045,10,0.001408,660,-1,1,-2.1041073e-14,0.010000026,0.030000074,0.010000026,0.3333342,0.30000074,interior,0.069999926,0.030000074,0.019999973999999997,0.036055559904211054,153,153,0.009999955000006049,12.935911920841441,0.996786257907599,0.00015733531840973668,0.0028888732,-1887811.4,-20018.16498135,-19.100731,-5.252850666666668,36.5747497187472,-6.96283828338045,119.99883,0.80005133,-8.7163511e-07,9.1469587e-07,0.0,0.0,-5.252861,9.1469587e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.010091700450944121,0.0034761503827547002,0.01592509039519969,0.011398097294414522
CaseM3m_Overhang045,overhang045,10,0.001408,726,-1,1,0.010000026,2.8377008e-14,0.030000074,0.010000026,0.3333342,0.30000074,interior,0.069999926,0.030000074,0.019999973999999997,0.036055559904211054,153,153,0.009999955000006049,12.935911920841319,0.9967862579075896,0.00015733536617365957,0.0028888742,-1887812.0,-20018.16478949,-19.100735,-5.25285,36.574754829526555,-6.962840140024284,119.99883,0.80005133,-8.7163488e-07,9.1469559e-07,0.0,0.0,-5.2528601,9.1469559e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.010091700452676065,0.0034761512709193627,0.015925091312206697,0.011398098092157069
CaseM3m_Overhang045,overhang045,10,0.001408,639,-1,1,-5.2865495e-14,-0.010000037,0.040000029,0.010000037,0.33333456666666667,0.40000029,interior,0.059999971000000006,0.040000029,0.019999963,0.04472136894150502,153,153,0.009999946000004053,12.935898909622303,0.9967852553184877,3.4597672115321184e-05,0.00040519453,-229527.23,-20398.8570033,-19.796331,-4.907747666666669,37.07168466018078,-7.553706339054669,119.99729,0.80005383,-2.0064253e-06,2.0953519e-06,0.0,0.0,-4.9077573,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.014530384739445295,0.0030223719585695365,0.021512820665647137,0.015213502808760415
CaseM3m_Overhang045,overhang045,10,0.001408,573,-1,1,-0.010000037,-2.5238016e-14,0.040000029,0.010000037,0.33333456666666667,0.40000029,interior,0.059999971000000006,0.040000029,0.019999963,0.04472136894150502,153,153,0.009999946000004053,12.935898909617553,0.9967852553181217,3.459780526563575e-05,0.00040519246,-229525.88,-20398.8574095,-19.796326,-4.907749,37.071679070484805,-7.553703147916653,119.99729,0.80005383,-2.0064251e-06,2.0953519e-06,0.0,0.0,-4.9077592,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.014530384767522114,0.0030223709578400737,0.021512820182863,0.015213502456878704
CaseM3m_Overhang045,overhang045,10,0.001408,661,-1,1,-2.4614032e-14,0.010000037,0.040000029,0.010000037,0.33333456666666667,0.40000029,interior,0.059999971000000006,0.040000029,0.019999963,0.04472136894150502,153,153,0.009999946000004053,12.935898909612241,0.9967852553177124,3.4597757686759465e-05,0.00040519112,-229524.98,-20398.85820367,-19.796326,-4.907749,37.07167908922758,-7.55370315173567,119.99729,0.80005383,-2.0064242e-06,2.0953507e-06,0.0,0.0,-4.9077592,2.0953507e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.01453038480471561,0.003022371088121992,0.021512820432778867,0.015213502627751825
CaseM3m_Overhang045,overhang045,10,0.001408,727,-1,1,0.010000037,-2.5636563e-14,0.040000029,0.010000037,0.33333456666666667,0.40000029,interior,0.059999971000000006,0.040000029,0.019999963,0.04472136894150502,153,153,0.009999946000004053,12.935898909617,0.9967852553180792,3.459773751158873e-05,0.00040519139,-229525.17,-20398.85780008,-19.796331,-4.907746666666667,37.07168314367869,-7.553707569192383,119.99729,0.80005383,-2.0064256e-06,2.0953523e-06,0.0,0.0,-4.9077568,2.0953523e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.014530384797079882,0.003022371571105604,0.021512820689427364,0.015213502807989027
CaseM3m_Overhang045,overhang045,11,0.001508,638,-1,1,-1.02278e-13,-0.010000019,0.030000089,0.010000019,0.3333339666666667,0.30000088999999996,interior,0.069999911,0.030000089,0.019999981,0.03605557626787127,153,153,0.009999940000011249,12.935918548976062,0.9967856471264606,0.00016561826572706728,-0.004643721,3124347.8,-19704.05231054,-21.065331,-4.474742666666667,38.351896595232766,-8.570749080371572,119.99883,0.80005133,-8.7163158e-07,9.1469212e-07,0.0,0.0,-4.4747529,9.1469212e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011034423923998412,0.0004058622457762702,0.01569356943378457,0.011273841758403704
CaseM3m_Overhang045,overhang045,11,0.001508,572,-1,1,-0.010000019,-4.3427595e-15,0.030000089,0.010000019,0.3333339666666667,0.30000088999999996,interior,0.069999911,0.030000089,0.019999981,0.03605557626787127,153,153,0.009999940000011249,12.935918548976806,0.996785647126518,0.0001656183549415961,-0.0046437224,3124348.5,-19704.05235403,-21.065331,-4.4747433333333335,38.35189739217693,-8.570747981562501,119.99883,0.80005133,-8.7163369e-07,9.1469434e-07,0.0,0.0,-4.4747534,9.1469434e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011034424067842444,0.0004058622177725651,0.015693569624989596,0.011273842016723316
CaseM3m_Overhang045,overhang045,11,0.001508,660,-1,1,-2.1781352e-14,0.010000019,0.030000089,0.010000019,0.3333339666666667,0.30000088999999996,interior,0.069999911,0.030000089,0.019999981,0.03605557626787127,153,153,0.009999940000011249,12.935918548971248,0.9967856471260896,0.00016561831191429192,-0.0046437238,3124349.5,-19704.05329618,-21.065329,-4.4747426666666685,38.35189358850451,-8.570748408438346,119.99883,0.80005133,-8.7163511e-07,9.1469587e-07,0.0,0.0,-4.4747529,9.1469587e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011034424521295239,0.00040586161941031306,0.015693570192937528,0.011273842472505314
CaseM3m_Overhang045,overhang045,11,0.001508,726,-1,1,0.010000019,3.2562599e-14,0.030000089,0.010000019,0.3333339666666667,0.30000088999999996,interior,0.069999911,0.030000089,0.019999981,0.03605557626787127,153,153,0.009999940000011249,12.935918548970825,0.996785647126057,0.00016561830886328697,-0.0046437243,3124349.8,-19704.05307919,-21.065331,-4.474742999999999,38.35189718167344,-8.570748572973566,119.99883,0.80005133,-8.7163488e-07,9.1469559e-07,0.0,0.0,-4.4747529,9.1469559e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011034424367850282,0.00040586255598448436,0.015693570201725158,0.011273842583015916
CaseM3m_Overhang045,overhang045,11,0.001508,639,-1,1,-5.6140609e-14,-0.010000034,0.040000029,0.010000034,0.33333446666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999966,0.04472137028314312,153,153,0.009999927000007198,12.935910586991497,0.996785033610543,4.675755994551226e-05,-0.0082108565,5506579.0,-19845.24390425,-23.006315,-3.5319266666666684,39.8338218604875,-11.27821317368447,119.99729,0.80005383,-2.0064253e-06,2.0953519e-06,0.0,0.0,-3.5319364,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.016288974646022702,2.062429337878696e-05,0.023160164905568815,0.01637966100429298
CaseM3m_Overhang045,overhang045,11,0.001508,573,-1,1,-0.010000034,-2.4722898e-14,0.040000029,0.010000034,0.33333446666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999966,0.04472137028314312,153,153,0.009999927000007198,12.93591058698701,0.9967850336101973,4.6757672928514845e-05,-0.0082108611,5506582.0,-19845.24400884,-23.00631,-3.5319280000000006,39.83381624766924,-11.278207326896029,119.99729,0.80005383,-2.0064251e-06,2.0953519e-06,0.0,0.0,-3.5319383,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.016288974844787578,2.062337042799963e-05,0.023160165228513017,0.016379661220716442
CaseM3m_Overhang045,overhang045,11,0.001508,661,-1,1,-2.5599931e-14,0.010000034,0.040000029,0.010000034,0.33333446666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999966,0.04472137028314312,153,153,0.009999927000007198,12.935910586982622,0.9967850336098593,4.675760262937376e-05,-0.0082108611,5506582.0,-19845.24480301,-23.006308,-3.531928666666667,39.83381427137522,-11.278204638535135,119.99729,0.80005383,-2.0064242e-06,2.0953507e-06,0.0,0.0,-3.531939,2.0953507e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.016288974953902306,2.0623384384511087e-05,0.023160165511794815,0.016379661411867603
CaseM3m_Overhang045,overhang045,11,0.001508,727,-1,1,0.010000034,-2.5072385e-14,0.040000029,0.010000034,0.33333446666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999966,0.04472137028314312,153,153,0.009999927000007198,12.935910586987113,0.9967850336102053,4.6757565077258646e-05,-0.0082108611,5506582.0,-19845.24439941,-23.006313,-3.5319263333333333,39.83381834158165,-11.278213241777216,119.99729,0.80005383,-2.0064256e-06,2.0953523e-06,0.0,0.0,-3.5319364,2.0953523e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.01628897492730148,2.0623933723779768e-05,0.02316016546056286,0.016379661375350546
CaseM3m_Overhang045,overhang045,12,0.001609,638,-1,1,-1.0537477e-13,-0.010000011,0.030000104,0.010000011,0.3333337,0.30000104,interior,0.069999896,0.030000104,0.019999989,0.0360555931862303,153,153,0.00999992500001445,12.935935195735501,0.9967850097826035,0.0001699876339754348,-0.011980847,8017436.5,-18898.00982295,-23.99209,-2.4672273333333323,39.72833838382892,-16.102423091330703,119.99883,0.80005133,-8.7163158e-07,9.1469212e-07,0.0,0.0,-2.4672372,9.1469212e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011877270214108093,-0.002467366945005867,0.017577221011419175,0.0126162240068313
