case,part,time,Idp,return_status,region,x,y,z,r,distance_to_top,distance_to_bottom,distance_to_lateral_surface,p_eff,q,MccPc,MccVoidRatio,MccPlasticVolStrain,MccEqPlasticStrain,MccPlasticMultiplier,MccReturnIterations,MccYieldResidual,MccSubstepCount,MccSubstepFailureCount,MccAdmissibilityFailureCount,MccFallbackUsed,Kplastic,PorePress,PorePressRate,DivVel,velocity
baseline,2,0.001005,370,-1,lateral_boundary,1.0300861e-13,0.02000029,0.020000003,0.02000029,0.079999997,0.020000003,0.009999709999999998,-2.8495138,25.59881636094154,119.9985,0.80005276,-1.110175e-06,1.1510037e-06,0.0,0.0,-2.8495238,1.0,1.0,0.0,0.0,1.1510037e-06,-21866.87904074,-23219274.0,0.034879923,0.00039667965465685795
baseline,2,0.001005,371,-1,lateral_boundary,-5.0740811e-14,0.020000292,0.029999999,0.020000292,0.070000001,0.029999999,0.009999708,-1.8316259,24.628004136593475,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.831636,1.0,1.0,0.0,0.0,0.0,-20722.77421883,-19305308.0,0.028998543,0.00040278258948770997
baseline,2,0.001005,424,-1,bottom_cap_zone,0.010000035,1.5965182e-14,0.01000002,0.010000035,0.08999998000000001,0.01000002,0.019999965,-4.184968333333333,25.888123963891076,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849785,1.0,1.0,0.0,0.0,0.0,-21506.6955573,-28529650.0,0.042827226,0.00010933271906742664
baseline,2,0.001005,425,-1,interior,0.010000031,-2.3822629e-14,0.020000005,0.010000031,0.079999995,0.020000005,0.019999969,-3.1187129999999996,25.98249609944262,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187227,1.0,1.0,0.0,0.0,0.0,-21241.11781334,-25330672.0,0.038017947,5.49676878062223e-05
baseline,2,0.001005,426,-1,interior,0.010000032,-9.2576153e-15,0.029999999,0.010000032,0.070000001,0.029999999,0.019999968,-1.7809249000000011,24.69847995568289,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809352,1.0,1.0,0.0,0.0,0.0,-20709.72000893,-23506980.0,0.035275787,5.190764204649858e-05
baseline,2,0.001005,435,-1,bottom_cap_zone,0.010000105,0.010000105,0.010000018,0.014142284116155002,0.089999982,0.010000018,0.015857715883845,-4.197807,26.494448508769803,119.99934,0.80005151,-4.8932958e-07,5.0791004e-07,0.0,0.0,-4.1978173,1.0,1.0,0.0,0.0,5.0791004e-07,-21835.9624265,-28421314.0,0.042672817,0.00022574622064347726
baseline,2,0.001005,436,-1,interior,0.010000101,0.010000101,0.020000005,0.014142278459300753,0.079999995,0.020000005,0.015857721540699247,-2.953823666666667,26.327692240101772,119.99969,0.80005103,-2.2951915e-07,2.3841841e-07,0.0,0.0,-2.9538341,1.0,1.0,0.0,0.0,2.3841841e-07,-21326.24941034,-24254424.0,0.036411412,0.00019016245334198788
baseline,2,0.001005,437,-1,interior,0.010000102,0.010000102,0.029999999,0.014142279873514314,0.070000001,0.029999999,0.015857720126485685,-1.3833718000000008,24.91002529703946,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833817,1.0,1.0,0.0,0.0,0.0,-20548.64391312,-21592384.0,0.032409843,0.00019200651535888997
baseline,2,0.001005,446,-1,edge,0.01000028,0.020000389,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.5000533333333324,25.75547834631559,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000632,1.0,1.0,0.0,0.0,0.0,-20984.26204284,-27050684.0,0.040608756,0.0006625134886450883
baseline,2,0.001005,447,-1,lateral_boundary,0.010000277,0.020000385,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.786983966666666,24.90554207026343,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.7869938,1.0,1.0,0.0,0.0,0.0,-20306.3716433,-22372542.0,0.033584651,0.0006367211450333471
baseline,2,0.001005,490,-1,edge,0.020000296,1.1732576e-15,0.010000013,0.020000296,0.089999987,0.010000013,0.009999703999999998,-4.415033333333333,25.804062467191724,119.9977,0.80005389,-1.7053231e-06,1.7668315e-06,0.0,0.0,-4.4150438,1.0,1.0,0.0,0.0,1.7668315e-06,-22691.59688376,-28763496.0,0.043205004,0.0004261968601724172
