case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccSubstepCount_mean,MccSubstepCount_max,MccSubstepFailureCount_sum,MccAdmissibilityFailureCount_sum,MccFallbackUsed_count,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
baseline,CaseM3d3_MCCMildBaseline,10,0.005027,0.0001117352160001639,43.96820416170351,66.34334741735964,0.2439933902539333,0.2772425,0.15079,18,389,0,0,0,0:18|1:389,0.9557739557739557,24.0,1428.3448,0.00010979646,1.0,1.0,0.0,0.0,0,119.63519,119.95456734643724,120.12631,0.79982466,0.8000640202948412,0.80051148,-3.3680283164255515e-05,0.00055048795,0.00055048795,-42177.925609907645,49510.49144842366,62624752.0,0.094204821,0.005704942848729977
baseline,CaseM3d3_MCCMildBaseline,11,0.005529,0.00012678899500004337,45.472043552350506,66.37723563946035,0.247583924377175,0.2772425,0.15079,1,406,0,0,0,0:1|1:406,0.9975429975429976,21.0,168.19905,8.1011458e-05,1.0,1.0,0.0,0.0,0,119.56279,119.94183304668279,120.11368,0.79984313,0.8000793262653564,0.80060899,-4.3125988685749384e-05,0.00062738446,0.00062738446,-48774.82243347713,52279.162918316884,63818784.0,0.09590856,0.005770011133794526
baseline,CaseM3d3_MCCMildBaseline,12,0.006032,0.00014153063300006985,47.63815545470927,66.22154678305145,0.25284411060924417,0.2837375,0.0959757,0,407,0,0,0,1:407,1.0,24.0,0.00011265323,0.00011265323,1.0,1.0,0.0,0.0,0,119.48885,119.92931896805904,120.09983,0.79986221,0.8000937086732199,0.80070853,-5.241123137088451e-05,0.00070687983,0.00070687983,-55119.16709050431,62262.306240746104,64803080.0,0.097447231,0.0058191159832406
baseline,CaseM3d3_MCCMildBaseline,13,0.006535,0.0001561754700001028,48.940734757199,66.07305918345634,0.2559545324685204,0.2837375,0.0959757,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,76.343796,7.7827935e-05,1.0,1.0,0.0,0.0,0,119.41391,119.91702906633913,120.08598,0.7998805,0.8001087206388215,0.80081421,-6.15343910228501e-05,0.0007881705,0.0007881705,-61637.81950704687,63979.38846676036,65653532.0,0.098684236,0.00585548459462462
baseline,CaseM3d3_MCCMildBaseline,14,0.007037,0.0001707631900001172,48.958828844807556,66.13908929197318,0.2560213975792896,0.291647,0.0624526,2,401,0,4,4,-3:4|0:2|1:401,0.9852579852579852,27.0,3125.1248,9.1483889e-05,1.0,1.0,4.0,0.0,0,119.33467,119.90480697788678,120.07678,0.79987693,0.8001248932678144,0.80092156,-7.060994669631452e-05,0.00087038544,0.00087038544,-68808.30089910266,73198.24617415498,66278628.0,0.099691287,0.005886292727521611
baseline,CaseM3d3_MCCMildBaseline,15,0.00754,0.00018533923799995966,48.035154638099925,66.07203414094394,0.2531365956996045,0.291647,0.0624526,2,401,4,0,4,-1:4|0:2|1:401,0.9852579852579852,22.0,1414.4698,6.6406872e-05,1.0,1.0,4.0,0.0,0,119.26263,119.89247235872232,120.08212,0.79986966,0.8001421750859952,0.80101216,-7.97712459513513e-05,0.00094067689,0.00094067689,-76155.47856392594,73338.1133446288,66923092.0,0.10061236,0.005916646641902406
baseline,CaseM3d3_MCCMildBaseline,16,0.008043,0.00019985242300013528,46.27860813852582,67.28092871578575,0.2500432061045428,0.2900795,0.0759669,2,397,4,4,8,-3:4|-1:4|0:2|1:397,0.9754299754299754,22.0,3092.8142,7.9323174e-05,1.0,1.0,8.0,0.0,0,119.18671,119.88060933660933,120.08763,0.79986274,0.800158953636364,0.80111408,-8.858302423538083e-05,0.0010195706,0.0010195706,-83881.71919041716,82075.98779619082,65586388.0,0.098740734,0.005599960538096434
baseline,CaseM3d3_MCCMildBaseline,17,0.008545,0.00021430404300012973,45.66173630769862,67.79795602910944,0.2490707093763971,0.2900795,0.0759669,2,401,4,0,4,-1:4|0:2|1:401,0.9852579852579852,22.0,2861.8821,5.6471697e-05,1.0,1.0,4.0,0.0,0,119.11169,119.86866616707593,120.09371,0.79985631,0.8001751607862403,0.80121469,-9.745697935945947e-05,0.0010977566,0.0010977566,-90888.61731256181,80959.14116578148,63243980.0,0.095064007,0.005588124412878272
baseline,CaseM3d3_MCCMildBaseline,18,0.009048,0.0002287717679999579,46.28829765597871,68.16334430541896,0.2515035691416781,0.304077,0.134108,6,397,4,0,4,-1:4|0:6|1:397,0.9754299754299754,22.0,3421.1082,0.00012604349,1.0,1.0,4.0,0.0,0,119.03785,119.85701764127771,120.10014,0.79984766,0.8001904166339058,0.80131376,-0.00010611373720958233,0.0011749511,0.0011749511,-97668.70224865667,88605.13559360223,60753328.0,0.091438279,0.005578583745090961
baseline,CaseM3d3_MCCMildBaseline,19,0.009551,0.000243390953000161,47.57908770701881,68.57751233130858,0.2558736349725738,0.304077,0.134108,6,393,4,4,8,-3:4|-1:4|0:6|1:393,0.9656019656019657,21.0,3887.4253,0.00010927622,1.0,1.0,8.0,0.0,0,118.96464,119.84575800982789,120.10707,0.79983723,0.8002045992874687,0.80141246,-0.00011448345549778869,0.0012513698,0.0012513698,-103649.4476016301,86125.7279246496,60306752.0,0.090711042,0.0055748133502245886
