case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,4,0.002011,core_small,15,0,26987.597181857996,4956.547120285879,24693768.0,-0.03000487546666667,0.037042968,0.0,0.0,0,-56.51472466666667,-56.514725399999996,-78.79576460000001,78.79576460000001,0.22278977568121563,63.94173822222223,22.28103956666669
dp_high_strength,4,0.002011,core_medium,45,0,27852.07349699912,8199.014715718611,27632220.0,-0.029273922466666668,0.041556198,0.0,0.0,0,-58.807483733333335,-58.80748331111112,-88.83765722222222,88.83765722222222,0.2511825581623154,68.81754142222222,30.030173699999995
dp_high_strength,4,0.002011,specimen_minus_edges,83,0,26029.803438268675,9082.029079452515,27632220.0,-0.025614515590361445,0.041556198,0.0,0.0,0,-55.51077030120482,-55.51077012048192,-89.81914590361447,89.81914590361447,0.25395765203025444,66.94689544176707,34.3083756927711
dp_high_strength,5,0.002513,core_small,15,0,32471.86458836666,4544.1197570822,10088349.0,-0.0077524867733333325,0.015127582,0.0,0.0,0,-56.344240400000004,-56.34424206666666,-121.8358541333333,121.8358541333333,0.34448276186020577,78.17477886666666,65.49161289999999
dp_high_strength,5,0.002513,core_medium,45,0,31357.324969123114,6521.618902768262,10088349.0,-0.005466166244444446,0.015127582,0.0,0.0,0,-56.58986091111108,-56.58986086666664,-131.3942504888889,131.3942504888889,0.3715084908538474,81.5246574222222,74.80438960000005
dp_high_strength,5,0.002513,specimen_minus_edges,79,0,27562.381332662026,7766.440688572616,10088349.0,-0.003955201137974681,0.015127582,0.0,0.0,0,-50.93001583544304,-50.93001612658227,-127.60783513924049,127.60783513924049,0.36080265367254183,76.48928903375527,76.67781915822786
dp_high_strength,6,0.003016,core_small,15,0,31664.948857535994,3018.2281273634485,11874337.0,0.006584683546666667,0.017780937,0.0,0.0,0,-34.38077146666667,-34.38077226666666,-159.77016133333333,159.77016133333333,0.4517394885968904,76.17723502222222,125.38938946666671
dp_high_strength,6,0.003016,core_medium,45,0,29775.744667300674,4456.596518565544,15557895.0,0.00876194307511111,0.023245666,0.0,0.0,0,-33.01179087111111,-33.01178967777777,-166.77237537777776,166.77237537777776,0.4715377823776913,77.59865197555554,133.76058510333337
dp_high_strength,6,0.003016,specimen_minus_edges,71,0,25795.012852812113,6556.003001566149,15557895.0,0.007000642664507042,0.023245666,0.0,0.0,0,-27.329029559154925,-27.329029100000003,-163.9594976197183,163.9594976197183,0.4635845578875421,72.87251875962441,136.63046829014087
dp_high_strength,7,0.003519,core_small,15,0,28749.00305814267,1270.5510712210057,9138205.0,-0.002524497266666667,0.013734359,0.0,0.0,0,-9.747326606666666,-9.74732648,-201.35783333333333,201.35783333333333,0.5693258609484821,73.61749547333334,191.61050679000007
dp_high_strength,7,0.003519,core_medium,45,0,26596.580365712212,2667.9716935241076,9138205.0,-0.0007889781984444449,0.013734359,0.0,0.0,0,-7.809521591111105,-7.809519884444446,-204.77091088888895,204.77091088888895,0.5789761103856813,73.46331745481483,196.96139015111123
dp_high_strength,7,0.003519,specimen_minus_edges,63,0,23604.17062580634,5291.915954603834,19002820.0,-0.003685923567142859,0.02854627,0.0,0.0,0,-3.7961224063492085,-3.7961215365079326,-213.14130498412695,213.14130498412695,0.6026428421232073,73.57784964232803,209.3451830126984
dp_high_strength,8,0.004022,core_small,15,0,34484.822405268,2422.995740613256,25214638.0,-0.027658129200000003,0.037947875,0.0,0.0,0,-2.640446426666666,-2.6404450733333333,-258.7040246666667,258.7040246666667,0.7314683970122215,87.99497205555558,256.06357891666676
dp_high_strength,8,0.004022,core_medium,45,0,31717.86241876045,3329.569164713188,26650342.0,-0.025639127355555555,0.04010969,0.0,0.0,0,-0.6584386177777771,-0.658436500222222,-257.5744660000001,257.5744660000001,0.7282746451241228,86.29711370600002,256.9160284410001
dp_high_strength,8,0.004022,specimen_minus_edges,63,0,29450.26873162238,4858.185246741329,33779200.0,-0.026869392222222233,0.050816566,0.0,0.0,0,-0.8812732507936507,-0.8812721192063446,-263.20258285714294,263.20258285714294,0.7441877706388731,88.32170940904764,262.321310172143
dp_high_strength,9,0.004524,core_small,15,0,43887.390151764004,2215.4794326831684,33745132.0,-0.04575445400000001,0.050707553,0.0,0.0,0,-16.558920218146667,-16.558918978793333,-331.44259,331.44259,0.9371318452476964,121.52014306564666,314.88367040153
dp_high_strength,9,0.004524,core_medium,45,0,41225.65735592578,3764.1340264262394,33745132.0,-0.043507623311111104,0.050707553,0.0,0.0,0,-14.41654901493778,-14.416547059597777,-324.99981933333333,324.99981933333333,0.918915340352049,117.9443051359563,310.58327129606556
dp_high_strength,9,0.004524,specimen_minus_edges,63,0,38563.917512477004,5834.096121909711,33745132.0,-0.04156176687301587,0.050707553,0.0,0.0,0,-16.41797680432064,-16.417975613998408,-325.49132571428567,325.49132571428567,0.9203050419040821,119.44242604420157,309.07334950512615
dp_high_strength,10,0.005027,core_small,15,0,58845.51550397267,2712.883543948834,27710218.0,-0.04080256346666667,0.041657824,0.0,0.0,0,-36.77932706666666,-36.77932793333333,-403.3949413333333,403.3949413333333,1.1405723257692768,158.9845321111111,366.6156138333333
dp_high_strength,10,0.005027,core_medium,45,0,55619.79027847843,4355.055517094657,28217100.0,-0.0396713074888889,0.04240578,0.0,0.0,0,-34.7240488,-34.72404808888889,-392.5207993333333,392.5207993333333,1.109826413610114,153.98963207407405,357.7967508888889
dp_high_strength,10,0.005027,specimen_minus_edges,63,0,52007.492690422056,7043.545066768303,28217100.0,-0.03661506034920635,0.04240578,0.0,0.0,0,-36.02470217460318,-36.02470153968253,-387.5213493650793,387.5213493650793,1.095690801847083,153.190251026455,351.4966475079364
dp_high_strength,11,0.00553,core_small,15,0,64033.54567787867,1115.0406251775867,16876614.0,-0.0181107364,0.025391642,0.0,0.0,0,-45.42809226666667,-45.428094533333336,-456.309188,456.309188,1.2901838335076914,182.38845826666667,410.8810946
dp_high_strength,11,0.00553,core_medium,45,0,60780.93105803132,3462.680076705318,22716114.0,-0.019093623335555556,0.034139048,0.0,0.0,0,-44.36271966666666,-44.36271968888889,-443.76653244444435,443.76653244444435,1.2547203104128346,177.4973239333333,399.4038127666666
dp_high_strength,11,0.00553,specimen_minus_edges,63,0,56691.598027180466,7160.148026659377,24855276.0,-0.01738768826349206,0.037341122,0.0,0.0,0,-44.30854639682539,-44.308545968253966,-435.8491320634919,435.8491320634919,1.2323343882277382,174.82207480952374,391.5405858809523
dp_high_strength,12,0.006032,core_small,15,0,65326.431121122,2179.332302267753,9652756.0,0.004239846113333333,0.014411229,0.0,0.0,0,-36.266808266666665,-36.266812333333334,-484.5142546666667,484.5142546666667,1.369931780718301,185.68262508888893,448.24744436666674
dp_high_strength,12,0.006032,core_medium,45,0,62706.06921751866,5258.451522728855,15399158.0,0.001962544977777779,0.023065059,0.0,0.0,0,-36.96174711111111,-36.961748244444436,-473.1855237777779,473.1855237777779,1.3379005487567748,182.3696730444445,436.2237761000001
dp_high_strength,12,0.006032,specimen_minus_edges,63,0,58463.54459417112,9513.558885784201,20437690.0,0.0016021663492063487,0.030697737,0.0,0.0,0,-36.13781182539682,-36.13781242857143,-466.0970642857143,466.0970642857143,1.3178584017177926,179.45756284656082,429.9592521587302
dp_mild_yield,0,0.0,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,0,0.0,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,1,0.000503,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,1,0.000503,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,2,0.001005,core_small,15,0,3408.232076027334,768.2823869977892,16964116.0,-0.01962920486666667,0.025433157,0.0,0.0,0,-9.073473033333334,-9.073472933333333,-7.400529833333333,7.400529833333333,0.020924505141364885,8.515825266666667,1.6729431500000047
dp_mild_yield,2,0.001005,core_medium,45,0,4156.524398472555,1374.9530355652194,25141952.0,-0.023132744288888885,0.037711866,0.0,0.0,0,-10.654974322222223,-10.654974233333332,-9.855404771111113,9.855404771111113,0.02786550050436882,10.388451108888889,0.7995695066666708
dp_mild_yield,2,0.001005,specimen_minus_edges,87,0,4698.739183172621,2074.1779915309744,31238852.0,-0.025065579636781615,0.046881352,0.0,0.0,0,-11.721895286206898,-11.721895205747128,-12.36440006666667,12.36440006666667,0.034959517573936644,11.936063519540232,0.6425048206896644
dp_mild_yield,3,0.001508,core_small,15,0,15350.595666615332,2787.7195663351567,31349712.0,-0.036800117933333334,0.047020938,0.0,0.0,0,-34.366081,-34.366081,-35.845559466666664,35.845559466666664,0.10135093165586645,34.859240488888894,1.4794784666666914
dp_mild_yield,3,0.001508,core_medium,45,0,16074.040511505757,4608.226450664267,40137892.0,-0.03910584740000001,0.060240835,0.0,0.0,0,-37.475286822222216,-37.47528657777778,-43.14203900000002,43.14203900000002,0.12198124150495596,39.36420413333334,5.66675230000003
dp_mild_yield,3,0.001508,specimen_minus_edges,87,0,15742.843364720437,5434.557105057807,40137892.0,-0.03796296173563218,0.060240835,0.0,0.0,0,-37.89803154022989,-37.8980313908046,-48.00926691609195,48.00926691609195,0.1357430042230434,41.26844328237548,10.111235450574712
dp_mild_yield,4,0.002011,core_small,15,0,26736.873456334662,4743.292616548236,22142310.0,-0.02820980713333333,0.033216432,0.0,0.0,0,-56.11532373333333,-56.115323200000006,-77.71497273333333,77.71497273333333,0.21973390867167394,63.315206555555555,21.599649266666667
dp_mild_yield,4,0.002011,core_medium,45,0,27480.851585540226,7803.153781401943,23027980.0,-0.0268113001111111,0.03464802,0.0,0.0,0,-58.20526308888889,-58.205263533333344,-87.25810124444443,87.25810124444443,0.24671646885216691,67.88954262222222,29.05283793333332
dp_mild_yield,4,0.002011,specimen_minus_edges,83,0,25651.009555531207,8667.807931612628,23027980.0,-0.023214342999999995,0.03464802,1.0757487e-05,1.015974612048193e-06,9,-55.62865081927711,-55.628650951807245,-86.75373525301208,86.75373525301208,0.24529040760810294,66.00367900803214,31.125084367469906
dp_mild_yield,5,0.002513,core_small,15,0,30243.318309523336,3321.499614562163,9083274.0,0.0013647195673333332,0.013578912,0.0,0.0,0,-53.10322673333334,-53.10322446666666,-111.98632513333335,111.98632513333335,0.31663387470725823,72.73092544444445,58.88309953333339
dp_mild_yield,5,0.002513,core_medium,45,0,28923.572223279112,4843.873537440071,16141049.0,0.0043027744344444445,0.024106825,1.0631643e-05,1.6588617977777778e-06,9,-53.84749853333331,-53.84749773333333,-117.7540783333333,117.7540783333333,0.3329418126800132,75.14969153333331,63.906580199999986
dp_mild_yield,5,0.002513,specimen_minus_edges,79,0,25339.669483224807,6556.873741578779,21047436.0,0.004512139234810126,0.031491321,5.7750356e-05,7.225861441772153e-06,18,-52.37297974683543,-52.37297925316454,-107.55444420253161,107.55444420253161,0.3041030265908459,70.76680106751053,55.181464702531635
dp_mild_yield,6,0.003016,core_small,15,0,24079.312465048668,1879.669223507075,31427668.0,0.027399653959999996,0.047137145,1.399314e-05,4.363359806666666e-06,5,-27.20943653333334,-27.20943213333333,-117.59456766666668,117.59456766666668,0.332490806895301,57.33781211111111,90.38513333333344
dp_mild_yield,6,0.003016,core_medium,45,0,22019.359557874443,2898.6054882404956,37647876.0,0.028857759966666667,0.056415055,4.9046674e-05,1.168062911333333e-05,18,-29.856492244444436,-29.856491022222226,-114.02444453333334,114.02444453333334,0.3223965215480192,57.91247593333333,84.16795290000002
dp_mild_yield,6,0.003016,specimen_minus_edges,71,0,18699.49328094984,6082.560968084929,37647876.0,0.024995364060563387,0.056415055,0.00011136909,2.1011842677464787e-05,27,-30.326143295774656,-30.326142887323943,-104.21649654929575,104.21649654929575,0.2946652019479202,54.956260910798115,73.89035345774646
dp_mild_yield,7,0.003519,core_small,15,0,13262.055575945864,3704.07134610706,25810684.0,0.027225454066666665,0.038706433,4.0914085e-05,1.6773492453333334e-05,10,-1.1458758993333333,-1.1458726040000002,-94.76481753333333,94.76481753333333,0.26794120912334746,32.352188678888886,93.61894328166673
dp_mild_yield,7,0.003519,core_medium,45,0,11306.32189351843,6607.068800821877,30294678.0,0.027782048933333324,0.045409549,8.3334206e-05,2.6205868239999998e-05,27,-3.2464316953333348,-3.2464310146666664,-90.50090377777778,90.50090377777778,0.25588527700635305,32.33125549592592,87.2544724227778
dp_mild_yield,7,0.003519,specimen_minus_edges,63,0,7825.904574291571,11159.068429022158,30294678.0,0.025002868220634914,0.045409549,0.00016001475,4.0809570171428567e-05,36,-4.3888964141269815,-4.388895980317457,-88.60039146031744,88.60039146031744,0.2505117050252218,32.45939461825396,84.21149526309523
dp_mild_yield,8,0.004021,core_small,15,0,8866.2679830292,4335.032329025461,6415706.5,0.0015207137533333336,0.0097248349,5.4907759e-05,2.6839523439999998e-05,14,8.206957053333333,8.206958526666668,-80.54178006666667,80.54178006666667,0.22772651810803637,21.375954828888894,88.74873785666674
dp_mild_yield,8,0.004021,core_medium,45,0,6527.706730579955,7792.939815004153,6415706.5,0.0031306847933333325,0.0097248349,0.00010427118,3.705279158444445e-05,35,8.672890777777777,8.672890548888887,-78.53406066666672,78.53406066666672,0.22204982524227776,20.39609311333335,87.20695133000007
dp_mild_yield,8,0.004021,specimen_minus_edges,63,0,3656.600563493779,12183.691059586285,6415706.5,0.002253546872698412,0.0097248349,0.00019586347,5.350329287777778e-05,44,7.077836195238095,7.077835885714286,-80.9755294761905,80.9755294761905,0.22895291567064943,22.273285798412704,88.0533655166667
dp_mild_yield,9,0.004524,core_small,15,0,12371.249821324202,3165.553588014885,23073608.0,-0.026612251399999995,0.034656417,5.6268396e-05,2.805714304666667e-05,14,-3.7422650753333335,-3.742264308,-97.62170973333332,97.62170973333332,0.27601888151620363,35.03541303888888,93.87944504166673
dp_mild_yield,9,0.004524,core_medium,45,0,10047.140030800134,6804.723136162736,23073608.0,-0.024659693022222217,0.034656417,0.0001105906,4.012237230222222e-05,43,-0.830611631777778,-0.8306123715555556,-95.54863975555556,95.54863975555556,0.27015741424489587,32.403287919629626,94.71802775388892
dp_mild_yield,9,0.004524,specimen_minus_edges,63,0,6470.202953695492,12074.557682401155,23073608.0,-0.023408535349206342,0.034656417,0.00021763286,5.961442132222222e-05,60,-1.6836715560317457,-1.68367214952381,-98.78207658730157,98.78207658730157,0.27929974150170983,34.04980676428571,97.09840473452383
dp_mild_yield,10,0.005027,core_small,15,0,23696.851667242667,1895.687418559403,26000306.0,-0.03545733266666667,0.039068513,5.6268396e-05,2.805714304666667e-05,14,-31.159128066666668,-31.1591268,-127.83252066666668,127.83252066666668,0.3614379370346389,63.383591844444446,96.67339323333347
dp_mild_yield,10,0.005027,core_medium,45,0,20911.658679924178,5463.48696938178,26309010.0,-0.03456987760000001,0.039526444,0.0001105906,4.020069962444444e-05,43,-25.13640424444444,-25.136405022222228,-128.51708644444446,128.51708644444446,0.36337350117116796,59.5966319037037,103.3806818111112
dp_mild_yield,10,0.005027,specimen_minus_edges,63,0,16827.611199933253,10898.868512139179,26309010.0,-0.033120114571428584,0.039526444,0.00023062951,6.21018333888889e-05,61,-23.95601814285714,-23.956018730158736,-132.64227920634923,132.64227920634923,0.3750372089190656,60.18477202645503,108.68626076984133
dp_mild_yield,11,0.00553,core_small,15,0,31177.073483827335,2293.6231286330394,16174001.0,-0.023085532466666666,0.024303896,5.6268396e-05,2.805714304666667e-05,14,-53.87083379999999,-53.87083140000001,-156.13134333333332,156.13134333333332,0.4414509730899951,87.95766951111109,102.26051073333342
dp_mild_yield,11,0.00553,core_medium,45,0,28141.914484076002,5738.398457146979,16919678.0,-0.02356376575555556,0.025427729,0.0001105906,4.025195826888888e-05,43,-46.26458775555556,-46.26458806666666,-159.87524688888888,159.87524688888888,0.45203661100528897,84.13480757037037,113.61065897777782
dp_mild_yield,11,0.00553,specimen_minus_edges,63,0,23553.320464731172,11142.426657682076,16919678.0,-0.023122492079365082,0.025427729,0.00024393538,6.447962365714286e-05,61,-43.781398111111095,-43.78139846031744,-165.0471133333333,165.0471133333333,0.4666597188697817,84.20330330158727,121.26571504761907
dp_mild_yield,12,0.006032,core_small,15,0,34572.02477482199,2987.593265427767,2829912.5,-0.0009905347799999996,0.0042866385,5.6268396e-05,2.805714304666667e-05,14,-57.68056119999999,-57.68055806666668,-174.09738199999998,174.09738199999998,0.4922487506703742,96.48616708888888,116.41682236666676
dp_mild_yield,12,0.006032,core_medium,45,0,31905.768398787106,6388.893429091065,5153800.0,-0.0025277754573333334,0.0077797039,0.00012049953,4.1985441113333325e-05,43,-51.24436946666667,-51.24437002222222,-178.2738755555555,178.2738755555555,0.5040575079950826,93.58753834814813,127.0295058111111
dp_mild_yield,12,0.006032,specimen_minus_edges,63,0,27393.34488146384,11434.880779700099,5625930.5,-0.0032102797361904765,0.0085018445,0.0002649269,6.964460685873016e-05,61,-49.56786653968255,-49.56786728571431,-183.0631501587302,183.0631501587302,0.5175988629135048,94.0662946613757,133.49528324603182
