case,part,time,axial_strain,pairwise_reaction_avg,Fz_proxy,force_balance_error,p_proxy,q_proxy
half_speed_adaptive_line,1,0.001005,1.5109332800189446e-06,0.23916369999999998,0.09336097337064118,0.660996,14.36339719847584,29.37147282784098
half_speed_adaptive_line,2,0.002011,1.1261225000142039e-05,0.18370094999999997,0.1506104457945968,0.598903,30.589496234774792,41.198663310122775
half_speed_adaptive_line,3,0.003016,2.4330325600063762e-05,0.219335,0.2047726103007154,0.261938,47.48377630886153,47.50032042590884
half_speed_adaptive_line,4,0.004022,3.8348695400036714e-05,0.255504,0.21214745225532153,0.0504206,42.860149237755984,54.13013185942719
half_speed_adaptive_line,5,0.005027,5.253344770014823e-05,0.2501685,0.21981810010343467,0.0107941,40.49880170802623,59.92604011852957
half_speed_adaptive_line,6,0.006032,6.617994800006688e-05,0.254836,0.24674393692647573,0.000137794,48.29136744048321,63.210240437687716
half_speed_adaptive_line,7,0.007038,7.907632899997741e-05,0.2654695,0.2515915652808107,0.000318331,49.51021466847672,63.660093338608995
half_speed_adaptive_line,8,0.008043,9.125712100002681e-05,0.26019000000000003,0.23848052743601647,0.0269471,45.310908464266966,62.83170166130934
half_speed_adaptive_line,9,0.009048,0.00010300805600008123,0.2539835,0.23536440996574573,0.0479145,45.30548432612617,61.84433632637808
half_speed_adaptive_line,10,0.010054,0.00011475488200005102,0.2552445,0.23702639133115475,0.0476993,46.68961099886157,61.14089505061949
half_speed_adaptive_line,11,0.011059,0.00012652667200005463,0.25619400000000003,0.23425599065061192,0.0356137,45.7424600952498,61.2058439665254
half_speed_adaptive_line,12,0.012064,0.0001383109500001367,0.2539745,0.23243867025463458,0.0251811,45.113609616855015,61.302296796445084
half_speed_adaptive_line,13,0.01307,0.00015027962800007177,0.253653,0.23460830825378612,0.01957,45.92370157849306,61.32291776662209
half_speed_adaptive_line,14,0.014075,0.0001623398580000157,0.254898,0.23607148487197038,0.0194896,46.24677121083532,61.52642712419304
half_speed_adaptive_line,15,0.015081,0.0001744796150000838,0.25499700000000003,0.23569793480990636,0.0205257,45.93704027424243,61.68080048925133
half_speed_adaptive_line,16,0.016086,0.00018652841900015926,0.2547245,0.23586962722473304,0.0193135,45.98502276887799,61.702379967523584
half_speed_adaptive_line,17,0.017091,0.0001985894650001485,0.255112,0.23653326837680308,0.0171549,46.24514835946765,61.70975922235497
half_speed_adaptive_line,18,0.018097,0.0002106557500000661,0.25540399999999996,0.2364942776222971,0.0153831,46.22126196285009,61.7427522672477
half_speed_adaptive_line,19,0.019002,0.00022152804700012463,0.2551595,0.2361976669537155,0.0143224,46.1111249004095,61.77012723207802
half_speed_adaptive_line,20,0.020007,0.00023357398800008533,0.255053,0.23630135368573324,0.013623,46.15582034283372,61.80069268927337
half_speed_adaptive_line,21,0.021012,0.0002455693650001145,0.255053,0.23657963931947512,0.013623,46.248486257600355,61.84820834233864
half_speed_adaptive_line,22,0.022018,0.0002576810500000415,0.25534199999999996,0.23660969122738285,0.0123054,46.24350093549553,61.89934199591109
half_speed_adaptive_line,23,0.023023,0.0002696672700000513,0.25534199999999996,0.23654763049073216,0.0123054,46.22268885799345,61.93217216596262
half_speed_adaptive_line,24,0.024028,0.0002817607299999969,0.255309,0.23658347011518807,0.0112216,46.24953389946763,61.955500784327185
half_speed_adaptive_line,25,0.025034,0.00029374563000006404,0.255316,0.23659458030071914,0.00950324,46.265040941777194,61.981804546127066
half_speed_adaptive_line,26,0.026039,0.0003057647199999902,0.255316,0.23655020205459815,0.00950324,46.25766586192468,62.00760756730742
half_speed_adaptive_line,27,0.027045,0.0003178211300000622,0.2552525,0.23651652303205412,0.00843591,46.257289023243274,62.02019095847499
half_speed_adaptive_line,28,0.02805,0.000329857290000124,0.2552175,0.236479034013841,0.00802137,46.25318176199018,62.03059177401413
half_speed_adaptive_line,29,0.029055,0.0003418553499999477,0.2552175,0.23644809807810907,0.00802137,46.24795551151513,62.047304242706666
half_speed_adaptive_line,30,0.030061,0.00035383762000004704,0.2551815,0.2364419705860428,0.00695427,46.25019423984436,62.06737152326552
half_speed_adaptive_line,31,0.031066,0.0003658656500001023,0.2551815,0.236443781989232,0.00695427,46.25542112669939,62.085843847846014
half_speed_adaptive_line,32,0.032071,0.0003778703500000036,0.25517900000000004,0.23643207254274107,0.00645056,46.256552181081084,62.10264300075422
half_speed_adaptive_line,33,0.033077,0.0003899228200000826,0.2551515,0.23641045445597794,0.00560498,46.25543962380016,62.11883128491015
half_speed_adaptive_line,34,0.034082,0.0004018844000000521,0.2551515,0.23638782235642758,0.00560498,46.25513226453723,62.13437399758559
half_speed_adaptive_line,35,0.035088,0.0004138962800000201,0.25510299999999997,0.2363627721087139,0.00494674,46.25410598900085,62.14943378750699
