case,part,time,line_search_backtrack_max,line_search_backtrack_mean,line_search_reject_reason_max,line_search_min_alpha_min_positive
half_speed_adaptive_line,2,0.002011,67.0,3.5773955773955772,6.0,2.3283064e-10
half_speed_adaptive_line,3,0.003016,4.0,1.0712530712530712,6.0,0.0625
half_speed_adaptive_line,4,0.004022,4.0,1.0835380835380835,4.0,0.0625
half_speed_adaptive_line,5,0.005027,4.0,1.171990171990172,4.0,0.0625
half_speed_adaptive_line,6,0.006032,4.0,1.316953316953317,4.0,0.0625
half_speed_adaptive_line,7,0.007038,4.0,1.479115479115479,4.0,0.0625
half_speed_adaptive_line,8,0.008043,4.0,1.606879606879607,4.0,0.0625
half_speed_adaptive_line,9,0.009048,60.0,2.0884520884520885,4.0,2.3283064e-10
half_speed_adaptive_line,10,0.010054,70.0,2.4275184275184274,4.0,2.3283064e-10
half_speed_adaptive_line,11,0.011059,70.0,1.7567567567567568,4.0,2.3283064e-10
half_speed_adaptive_line,12,0.012064,4.0,1.6363636363636365,4.0,0.0625
half_speed_adaptive_line,13,0.01307,40.0,2.324324324324324,4.0,2.3283064e-10
half_speed_adaptive_line,14,0.014075,40.0,2.3636363636363638,4.0,2.3283064e-10
half_speed_adaptive_line,15,0.015081,7.0,1.7272727272727273,4.0,0.0078125
half_speed_adaptive_line,16,0.016086,58.0,2.746928746928747,4.0,2.3283064e-10
half_speed_adaptive_line,17,0.017091,58.0,2.727272727272727,4.0,2.3283064e-10
half_speed_adaptive_line,18,0.018097,5.0,1.6855036855036856,4.0,0.03125
half_speed_adaptive_line,19,0.019002,60.0,2.773955773955774,4.0,2.3283064e-10
half_speed_adaptive_line,20,0.020007,39.0,2.3513513513513513,4.0,2.3283064e-10
half_speed_adaptive_line,21,0.021012,39.0,2.3513513513513513,4.0,2.3283064e-10
half_speed_adaptive_line,22,0.022018,59.0,2.7837837837837838,4.0,2.3283064e-10
half_speed_adaptive_line,23,0.023023,60.0,2.8034398034398036,4.0,2.3283064e-10
half_speed_adaptive_line,24,0.024028,60.0,2.8034398034398036,4.0,2.3283064e-10
half_speed_adaptive_line,25,0.025034,60.0,2.8034398034398036,4.0,2.3283064e-10
half_speed_adaptive_line,26,0.026039,60.0,2.810810810810811,4.0,2.3283064e-10
half_speed_adaptive_line,27,0.027045,60.0,2.8132678132678133,4.0,2.3283064e-10
half_speed_adaptive_line,28,0.02805,60.0,2.8132678132678133,4.0,2.3283064e-10
half_speed_adaptive_line,29,0.029055,60.0,2.8132678132678133,4.0,2.3283064e-10
half_speed_adaptive_line,30,0.030061,61.0,2.8132678132678133,4.0,2.3283064e-10
half_speed_adaptive_line,31,0.031066,61.0,2.8550368550368552,4.0,2.3283064e-10
half_speed_adaptive_line,32,0.032071,61.0,2.8157248157248156,4.0,2.3283064e-10
half_speed_adaptive_line,33,0.033077,5.0,1.7125307125307125,4.0,0.03125
half_speed_adaptive_line,34,0.034082,4.0,1.7125307125307125,4.0,0.0625
half_speed_adaptive_line,35,0.035088,3.0,1.7027027027027026,4.0,0.125
half_speed_adaptive_line,36,0.036093,3.0,1.7027027027027026,4.0,0.125
quarter_speed_line,0,0.0,0.0,0.0,0.0,0.0
quarter_speed_line,1,0.002011,21.0,2.078624078624079,6.0,0.0625
quarter_speed_line,2,0.004022,7.0,0.7248157248157249,4.0,0.0078125
quarter_speed_line,3,0.006032,2.0,0.6437346437346437,4.0,0.25
quarter_speed_line,4,0.008043,53.0,1.9164619164619165,4.0,2.3283064e-10
quarter_speed_line,5,0.010054,3.0,0.9459459459459459,4.0,0.125
quarter_speed_line,6,0.012065,5.0,1.1007371007371007,4.0,0.03125
quarter_speed_line,7,0.014076,51.0,2.3341523341523343,4.0,2.3283064e-10
quarter_speed_line,8,0.016086,49.0,2.847665847665848,4.0,2.3283064e-10
quarter_speed_line,9,0.018097,57.0,1.2702702702702702,4.0,2.3283064e-10
quarter_speed_line,10,0.020007,58.0,1.1867321867321867,4.0,2.3283064e-10
quarter_speed_line,11,0.022018,58.0,1.2260442260442261,4.0,2.3283064e-10
quarter_speed_line,12,0.024029,3.0,1.1302211302211302,4.0,0.125
quarter_speed_line,13,0.02604,3.0,1.1302211302211302,4.0,0.125
quarter_speed_line,14,0.028051,3.0,1.1302211302211302,4.0,0.125
quarter_speed_line,15,0.030061,3.0,1.1400491400491402,4.0,0.125
quarter_speed_line,16,0.032072,3.0,1.1400491400491402,4.0,0.125
quarter_speed_line,17,0.034083,3.0,1.1400491400491402,4.0,0.125
quarter_speed_line,18,0.036094,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,19,0.038004,3.0,1.1400491400491402,4.0,0.125
quarter_speed_line,20,0.040015,3.0,1.1400491400491402,4.0,0.125
