case,part,time,idp,trial_state_available,trial_p,trial_q,trial_pc,trial_yield_function,newton_initial_residual,line_search_step_residual_trace_available,line_search_backtracks,line_search_reject_reason,line_search_min_alpha
baseline,3,0.001508,337,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,338,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,390,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,391,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,401,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,402,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,403,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,404,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,412,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,413,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,414,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,415,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,467,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,468,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,478,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,479,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,480,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,481,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,522,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,523,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,159,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,160,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,170,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,171,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,203,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,204,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,205,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,206,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,214,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,215,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,216,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,217,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,225,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,226,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,269,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,270,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,271,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,272,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,280,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,281,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,282,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,283,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,291,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,292,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,293,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,294,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,346,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,347,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,348,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,349,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,357,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,358,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,359,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,360,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
