case,part,time,raw_max_abs,converged_max_abs,return_iterations_max,return_iterations_mean
adaptive_line,25,0.012566,5085.0024,0.00012504401,197.0,14.093366093366093
adaptive_line,26,0.013069,5103.4966,0.00012554276,196.0,14.899262899262899
adaptive_line,27,0.013572,5114.0566,0.00012627752,198.0,12.896805896805898
adaptive_line,28,0.014074,5116.7061,0.00012638922,198.0,12.474201474201474
adaptive_line,29,0.014577,5114.1787,0.00012576708,194.0,12.272727272727273
adaptive_line,30,0.015079,5108.5879,0.0001248882,194.0,12.31941031941032
adaptive_line,31,0.015582,5100.1494,0.00012427631,194.0,13.00982800982801
adaptive_line,32,0.016085,5087.8828,0.00012416154,194.0,12.83046683046683
adaptive_line,33,0.016587,5071.1538,0.00012451748,191.0,12.665847665847666
adaptive_line,34,0.01709,5050.3999,0.00012527486,191.0,12.845208845208845
adaptive_line,35,0.017593,5026.6431,0.00012647928,191.0,14.184275184275185
adaptive_line,36,0.018095,5000.9287,7.1746552e-05,190.0,14.199017199017199
half_speed_adaptive_line,0,0.0,0.0,0.0,0.0,0.0
half_speed_adaptive_line,1,0.001005,2854.7717,5.6645586e-06,77.0,13.64864864864865
half_speed_adaptive_line,2,0.002011,4776.4277,3.2301235e-05,105.0,11.076167076167076
half_speed_adaptive_line,3,0.003016,4942.4565,6.8462403e-05,17.0,4.26044226044226
half_speed_adaptive_line,4,0.004022,4840.3594,7.4595111e-05,18.0,4.675675675675675
half_speed_adaptive_line,5,0.005027,4554.0488,4.4172459e-05,17.0,4.953316953316953
half_speed_adaptive_line,6,0.006032,4708.1299,0.0001033812,17.0,5.267813267813268
half_speed_adaptive_line,7,0.007038,5047.1382,0.00011201642,17.0,5.926289926289926
half_speed_adaptive_line,8,0.008043,5134.1821,0.00010535687,17.0,6.587223587223587
half_speed_adaptive_line,9,0.009048,5165.2974,9.9069424e-05,110.0,7.515970515970516
half_speed_adaptive_line,10,0.010054,5060.7466,0.00011913734,115.0,7.9041769041769046
half_speed_adaptive_line,11,0.011059,5018.4688,0.0001317938,108.0,6.6265356265356266
half_speed_adaptive_line,12,0.012064,5072.876,6.2465864e-05,17.0,6.808353808353808
half_speed_adaptive_line,13,0.01307,5133.9736,7.922756e-05,56.0,7.619164619164619
half_speed_adaptive_line,14,0.014075,5164.5864,9.6212978e-05,56.0,7.683046683046683
half_speed_adaptive_line,15,0.015081,5178.6367,0.00011809148,18.0,6.980343980343981
half_speed_adaptive_line,16,0.016086,5180.3789,0.00010884775,135.0,9.390663390663391
half_speed_adaptive_line,17,0.017091,5173.1934,0.0001079857,134.0,9.309582309582309
half_speed_adaptive_line,18,0.018097,5168.5591,0.00010498011,17.0,6.918918918918919
