case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
adaptive_line,7,0.003519,6.554677900005856e-05,-26581.45929622474,28920.391104715058,57192524.0,0.085922867,0.005377103854513994
adaptive_line,8,0.004021,8.037369540012107e-05,-33775.1249682402,36231.31884273828,59250888.0,0.089113265,0.005521094237195851
adaptive_line,9,0.004524,9.529225360002669e-05,-40816.561680782856,37942.06308421684,61469396.0,0.092320375,0.005633137599088984
adaptive_line,10,0.005027,0.00011018524100014915,-47463.84928965477,47490.01678705883,62964312.0,0.094714083,0.005719781485036438
adaptive_line,11,0.005529,0.00012513439700004292,-53217.545211864286,50529.819784201005,64161976.0,0.096423544,0.005785553966883888
adaptive_line,12,0.006032,0.00013996571199992314,-59264.338422705456,60846.74144760755,65108716.0,0.097906828,0.0058357527122803446
adaptive_line,13,0.006535,0.0001546501670000866,-65734.24516720454,62346.80245716773,65911512.0,0.099072255,0.005875808615201695
adaptive_line,14,0.007037,0.00016930325000011348,-73208.64781255658,71576.80997503398,66550764.0,0.10010075,0.005909960769463341
adaptive_line,15,0.00754,0.0001838220440000815,-80879.34479893994,71386.82385819123,67261712.0,0.1011207,0.005940758654503959
adaptive_line,16,0.008043,0.00019831431800010346,-88914.25447582487,80421.57132969769,67924664.0,0.10218889,0.005969815644854705
adaptive_line,17,0.008545,0.00021281655900012852,-96352.00751974953,79839.18056910425,68679896.0,0.10326743,0.005997360027361943
adaptive_line,18,0.009048,0.00022725380199997702,-103936.54015145636,89319.46185581197,69306464.0,0.10428578,0.006023292222587974
adaptive_line,19,0.00955,0.00024171819000010086,-110920.48071223918,88215.12475107975,69956352.0,0.10520031,0.006047684841659926
adaptive_line,20,0.010053,0.00025620331099998617,-118499.20964581078,97568.4620676736,70446912.0,0.1060202,0.006070879566804971
adaptive_line,21,0.010556,0.0002706204520000477,-125629.31853292203,95484.46152466132,71000560.0,0.10678387,0.006093303004861975
adaptive_line,22,0.011058,0.00028503452400005513,-133533.50366749236,104541.87721834572,71441712.0,0.10753445,0.006115080615950181
adaptive_line,23,0.011561,0.0002993767860000329,-140791.16888704285,101782.40154424237,72003704.0,0.10830314,0.006135979183096011
adaptive_line,24,0.012064,0.00031372353800004915,-148742.47605749097,110843.79893061123,72457752.0,0.10907751,0.00615569002448397
adaptive_line,25,0.012566,0.000328092510000072,-155885.77255452215,107629.45490856397,73007968.0,0.10982181,0.006173992567816651
adaptive_line,26,0.013069,0.00034240977200006295,-163793.21081066562,116657.13396369299,73402288.0,0.11051158,0.006190941711734147
adaptive_line,27,0.013572,0.0003567586310000703,-170901.33307756187,112842.89540439931,73877984.0,0.11113808,0.00620666545719503
adaptive_line,28,0.014074,0.00037112035099998164,-178899.3895549594,121665.03737115256,74189560.0,0.11170891,0.006221380449440786
adaptive_line,29,0.014577,0.00038544558700004394,-186051.0947041417,117255.66746206739,74606200.0,0.11224057,0.0062353580529294775
adaptive_line,30,0.015079,0.0003998054700000975,-194116.09676671337,125924.00372203754,74871504.0,0.1127468,0.006248719597600946
