case,part,time,axial_strain,pc_mean,pc_min,pc_max,void_ratio_mean,void_ratio_min,void_ratio_max,plastic_vol_strain_mean,eq_plastic_strain_mean,Kplastic_max
baseline,25,0.012566,0.0003331340410001049,119.77468714987691,118.51315,120.14488,0.800299635184276,0.79978949,0.80202216,-0.0001673665702184275,0.00045386515047346455,0.0017138375
baseline,26,0.013069,0.00034789490100009535,119.76185103194092,118.43732,120.15076,0.8003168930712526,0.79978144,0.80212468,-0.00017692598081154814,0.00047617794458648644,0.0017911197
baseline,27,0.013572,0.00036251632099998377,119.74891169533164,118.36158,120.15667,0.8003342327027038,0.79977345,0.80222714,-0.00018656568065184283,0.0004985382349722362,0.0018683299
baseline,28,0.014074,0.0003770922170000246,119.73590712530714,118.28594,120.16254,0.8003516306388191,0.79976571,0.80232936,-0.00019625573492948413,0.0005209255500459461,0.0019454572
baseline,29,0.014577,0.0003916153570000802,119.72285663390664,118.21044,120.1684,0.800369156904176,0.79975796,0.80243158,-0.00020598254852653578,0.0005433161337289926,0.0020224634
baseline,30,0.01508,0.00040607803799996844,119.70971100737101,118.13509,120.17422,0.8003868438574944,0.79975021,0.80253363,-0.0002157835186813267,0.0005658133737609334,0.0020993322
baseline,31,0.015582,0.00042050267100010585,119.69652665847653,118.0599,120.17999,0.800404615282554,0.79974246,0.80263555,-0.0002256151691506143,0.0005882900936479122,0.0021760617
baseline,32,0.016085,0.0004349519110000144,119.6833335135135,117.98486,120.1857,0.8004222875429973,0.79973501,0.8027373,-0.0002354567825314494,0.0006107214251810813,0.002252653
baseline,33,0.016588,0.0004492885050001727,119.67005916461916,117.91005,120.19138,0.8004399596805898,0.79972756,0.8028388,-0.000245361404799263,0.0006333013592474205,0.0023290303
baseline,34,0.01709,0.0004636546450001444,119.65687027027036,117.83559,120.19707,0.8004575235380837,0.79971981,0.80293989,-0.00025520493036191666,0.0006557098690484028,0.0024050788
baseline,35,0.017593,0.00047805187000010685,119.64357267813291,117.76148,120.20275,0.8004751788697787,0.79971218,0.80304056,-0.0002651319376985258,0.0006783538529845209,0.0024808114
baseline,36,0.018096,0.0004923412500000557,119.63033950859979,117.68771,120.2084,0.8004928626289921,0.79970473,0.80314088,-0.0002750144962390663,0.0007008079509599502,0.0025562742
admissible_line,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.80000001,0.80000001,0.0,0.0,0.0
admissible_line,1,0.000503,-2.0285726015645267e-08,120.0,120.0,120.0,0.8000175002702695,0.80001062,0.80002099,0.0,0.0,0.0
admissible_line,2,0.001005,3.5213260500543964e-06,120.00135990171987,119.99577,120.04405,0.8000307715479129,0.79989302,0.80005389,1.0080403203464376e-06,3.562119514471745e-06,5.1022213e-05
admissible_line,3,0.001508,1.2303372170091587e-05,120.00157511056517,119.98267,120.09379,0.8000235949877162,0.79983652,0.80005747,1.166933091449631e-06,1.3976331229729735e-05,0.00011550775
admissible_line,4,0.002011,2.375143980007377e-05,120.00008009828,119.96996,120.12095,0.8000124674938589,0.79981232,0.80005389,5.886129884520875e-08,2.6017208824103197e-05,0.00017018846
admissible_line,5,0.002513,3.682086509998461e-05,119.99695206388196,119.94254,120.13522,0.8000028485995087,0.79980093,0.80009329,-2.258807819459459e-06,4.000556691624079e-05,0.00022549932
admissible_line,6,0.003016,5.091539840004766e-05,119.99215009827994,119.89624,120.14246,0.7999993112039299,0.79979551,0.80016106,-5.817312604373463e-06,5.471875539243245e-05,0.00028229438
admissible_line,7,0.003519,6.57151932001443e-05,119.98605899262907,119.83672,120.14488,0.8000082118181823,0.79979575,0.80023831,-1.0332020050565109e-05,6.964280880373466e-05,0.00033631627
admissible_line,8,0.004021,8.101679450006616e-05,119.97813277641275,119.77281,120.14371,0.800026188132678,0.79979998,0.80032521,-1.6207859861375918e-05,8.62599886079115e-05,0.00040012356
admissible_line,9,0.004524,9.63944103000991e-05,119.96711938574953,119.70541,120.13651,0.8000461753071247,0.79981172,0.80041653,-2.437272715460935e-05,0.00010642434344142503,0.00047462969
admissible_line,10,0.005027,0.0001117352160001639,119.95456734643724,119.63519,120.12631,0.8000640202948412,0.79982466,0.80051148,-3.3680283164255515e-05,0.000127940033753661,0.00055048795
admissible_line,11,0.005529,0.00012678899500004337,119.94183304668279,119.56279,120.11368,0.8000793262653564,0.79984313,0.80060899,-4.3125988685749384e-05,0.00014980422823734647,0.00062738446
admissible_line,12,0.006032,0.00014153063300006985,119.92931896805904,119.48885,120.09983,0.8000937086732199,0.79986221,0.80070853,-5.241123137088451e-05,0.00017159584625970513,0.00070687983
admissible_line,13,0.006535,0.0001561754700001028,119.91702906633913,119.41391,120.08598,0.8001087206388215,0.7998805,0.80081421,-6.15343910228501e-05,0.0001933985645100737,0.0007881705
admissible_line,14,0.007037,0.0001707631900001172,119.90480697788678,119.33467,120.07678,0.8001248932678144,0.79987693,0.80092156,-7.060994669631452e-05,0.00021523907972899263,0.00087038544
admissible_line,15,0.00754,0.00018533923799995966,119.89247235872232,119.26263,120.08212,0.8001421750859952,0.79986966,0.80101216,-7.97712459513513e-05,0.00023730132882727274,0.00094067689
admissible_line,16,0.008043,0.00019985242300013528,119.88060933660933,119.18671,120.08763,0.800158953636364,0.79986274,0.80111408,-8.858302423538083e-05,0.0002586893167265358,0.0010195706
admissible_line,17,0.008545,0.00021430404300012973,119.86866616707593,119.11169,120.09371,0.8001751607862403,0.79985631,0.80121469,-9.745697935945947e-05,0.00028012933456437355,0.0010977566
admissible_line,18,0.009048,0.0002287717679999579,119.85701764127771,119.03785,120.10014,0.8001904166339058,0.79984766,0.80131376,-0.00010611373720958233,0.0003012324435226044,0.0011749511
admissible_line,19,0.009551,0.000243390953000161,119.84575800982789,118.96464,120.10707,0.8002045992874687,0.79983723,0.80141246,-0.00011448345549778869,0.0003220913643186729,0.0012513698
admissible_line,20,0.010053,0.0002583861720001357,119.83440582309593,118.89112,120.1144,0.8002182512285008,0.7998271,0.80151182,-0.00012292511573808358,0.0003445121325275183,0.0013274918
admissible_line,21,0.010556,0.00027345230400002696,119.82347621621619,118.81644,120.12133,0.8002328574201482,0.79981929,0.80161273,-0.00013105445994496305,0.0003657209798567566,0.001404275
admissible_line,22,0.011059,0.00028850714399994426,119.81181265356273,118.74095,120.12754,0.8002487760196572,0.79981238,0.80171472,-0.00013973198220933666,0.0003875828122179359,0.0014815286
admissible_line,23,0.011561,0.0003034814579999656,119.79979886977884,118.66508,120.13335,0.8002654160442257,0.7998051,0.80181712,-0.0001486727262953316,0.0004094891713358721,0.0015589668
admissible_line,24,0.012064,0.00031837837400003344,119.78738100737102,118.58907,120.13908,0.8002824507862412,0.79979748,0.80191964,-0.00015791549645552817,0.0004315949536233413,0.0016364641
admissible_line,25,0.012566,0.0003331340410001049,119.77468714987691,118.51315,120.14488,0.800299635184276,0.79978949,0.80202216,-0.0001673665702184275,0.00045386515047346455,0.0017138375
admissible_line,26,0.013069,0.00034789490100009535,119.76185103194092,118.43732,120.15076,0.8003168930712526,0.79978144,0.80212468,-0.00017692598081154814,0.00047617794458648644,0.0017911197
admissible_line,27,0.013572,0.00036251632099998377,119.74891169533164,118.36158,120.15667,0.8003342327027038,0.79977345,0.80222714,-0.00018656568065184283,0.0004985382349722362,0.0018683299
admissible_line,28,0.014074,0.0003770922170000246,119.73590712530714,118.28594,120.16254,0.8003516306388191,0.79976571,0.80232936,-0.00019625573492948413,0.0005209255500459461,0.0019454572
admissible_line,29,0.014577,0.0003916153570000802,119.72285663390664,118.21044,120.1684,0.800369156904176,0.79975796,0.80243158,-0.00020598254852653578,0.0005433161337289926,0.0020224634
admissible_line,30,0.01508,0.00040607803799996844,119.70971100737101,118.13509,120.17422,0.8003868438574944,0.79975021,0.80253363,-0.0002157835186813267,0.0005658133737609334,0.0020993322
admissible_line,31,0.015582,0.00042050267100010585,119.69652665847653,118.0599,120.17999,0.800404615282554,0.79974246,0.80263555,-0.0002256151691506143,0.0005882900936479122,0.0021760617
admissible_line,32,0.016085,0.0004349519110000144,119.6833335135135,117.98486,120.1857,0.8004222875429973,0.79973501,0.8027373,-0.0002354567825314494,0.0006107214251810813,0.002252653
admissible_line,33,0.016588,0.0004492885050001727,119.67005916461916,117.91005,120.19138,0.8004399596805898,0.79972756,0.8028388,-0.000245361404799263,0.0006333013594931208,0.0023290303
admissible_line,34,0.01709,0.0004636546450001444,119.65687027027036,117.83559,120.19707,0.8004575235380837,0.79971981,0.80293989,-0.00025520493043562674,0.000655709869294103,0.0024050788
admissible_line,35,0.017593,0.00047805187000010685,119.64357267813291,117.76148,120.20275,0.8004751788697787,0.79971218,0.80304056,-0.00026513193798108115,0.0006783538535250614,0.0024808114
admissible_line,36,0.018096,0.0004923412500000557,119.63033950859979,117.68771,120.2084,0.8004928626289921,0.79970473,0.80314088,-0.00027501449645036846,0.0007008079517461911,0.0025562742
adaptive_line,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.80000001,0.80000001,0.0,0.0,0.0
