case,part,time,axial_strain,pc_mean,pc_min,pc_max,void_ratio_mean,void_ratio_min,void_ratio_max,plastic_vol_strain_mean,eq_plastic_strain_mean,Kplastic_max
quarter_speed_line,1,0.002011,3.812653000118127e-06,119.98959417690409,119.95415,120.0,0.8000412924324332,0.79999048,0.80009687,-7.708095693046684e-06,9.955607522948403e-06,4.447444e-05
quarter_speed_line,2,0.004022,1.5030805299992567e-05,119.97364336609344,119.86581,120.00423,0.8000472289189188,0.79996985,0.80021292,-1.9527883357690423e-05,2.79266169022113e-05,0.00013549582
quarter_speed_line,3,0.006032,2.8994677000043767e-05,119.96023675675701,119.78175,120.00468,0.800060016609336,0.79996234,0.80032825,-2.946526143223588e-05,4.3860090668796076e-05,0.00021593302
quarter_speed_line,4,0.008043,4.119874499997067e-05,119.94847199017218,119.71786,120.00875,0.8000752027027034,0.79996181,0.80040759,-3.818850477604423e-05,6.0514561457248136e-05,0.00027879103
quarter_speed_line,5,0.010054,5.130004200007421e-05,119.93369705159706,119.66128,120.01476,0.8000928823832922,0.79995245,0.8004809,-4.91446499289435e-05,8.22348121746929e-05,0.00034014951
quarter_speed_line,6,0.012065,6.025658100011766e-05,119.9179296560197,119.59704,120.02047,0.8001165988943486,0.79994506,0.80056876,-6.084023982533167e-05,0.00010473325588599507,0.00040989733
quarter_speed_line,7,0.014076,6.954547800003263e-05,119.90233459459465,119.52651,120.02598,0.8001369048648651,0.79993534,0.80066478,-7.24117317184275e-05,0.00012632472529793606,0.00048279614
quarter_speed_line,8,0.016086,7.954466900009227e-05,119.88803051597039,119.45909,120.03107,0.8001557582555282,0.79992849,0.80075485,-8.302981198756758e-05,0.00014669616879879613,0.00055214198
quarter_speed_line,9,0.018097,8.986287000009585e-05,119.87396036855041,119.39503,120.03649,0.800174199410321,0.79992062,0.8008402,-9.347653032132674e-05,0.00016723732943845217,0.00061848725
quarter_speed_line,10,0.020007,9.954720700006137e-05,119.86009429975441,119.33602,120.04183,0.8001925018427531,0.79991323,0.80091912,-0.00010377562458221132,0.00018755344817690414,0.00068000873
quarter_speed_line,11,0.022018,0.00010957486500012825,119.84541371007364,119.27494,120.04753,0.8002121507125302,0.79990488,0.80100065,-0.00011468232321530704,0.0002091479683515969,0.00074398238
quarter_speed_line,12,0.024029,0.00011960010400005605,119.83062867321881,119.21421,120.05318,0.8002318825552828,0.79989684,0.80108172,-0.00012566820444707375,0.00023096463823205405,0.00080779812
quarter_speed_line,13,0.02604,0.00012966731200006465,119.81586169533186,119.15357,120.05882,0.8002516631203938,0.79988968,0.80116278,-0.00013664383353464375,0.00025279165931228504,0.00087143778
quarter_speed_line,14,0.028051,0.00013972509800008748,119.80114135135159,119.09323,120.06447,0.8002713597543004,0.79988253,0.80124384,-0.00014758785955921373,0.0002745825132874695,0.0009347726
quarter_speed_line,15,0.030061,0.00014975966100005955,119.78647083538095,119.03325,120.07011,0.8002909703439804,0.79987538,0.80132467,-0.0001584962662879606,0.00029633631568574926,0.00099776383
quarter_speed_line,16,0.032072,0.00015986085000002648,119.77184095823107,118.97361,120.07576,0.80031055041769,0.79986823,0.80140454,-0.00016937839105896803,0.00031807271117199,0.0010604453
quarter_speed_line,17,0.034083,0.00016994186000013345,119.75723449631458,118.91422,120.08141,0.8003300910319416,0.79986107,0.80148441,-0.00018024870223766593,0.0003398111284274202,0.0011229267
quarter_speed_line,18,0.036094,0.0001800027700001039,119.7426558230959,118.855,120.08705,0.8003496490909079,0.79985392,0.80156428,-0.00019110752521348903,0.00036157124996901715,0.0011853115
quarter_speed_line,19,0.038004,0.0001895249600000759,119.72882203931229,118.79877,120.09241,0.8003682248157248,0.79984713,0.80164015,-0.00020141245612515977,0.0003822540991926286,0.001244514
quarter_speed_line,20,0.040015,0.00019964951000012165,119.71428049140044,118.73974,120.09806,0.8003877265601966,0.79983997,0.80172002,-0.00021224831896707606,0.0004040110980680589,0.0013067159
quarter_speed_line,21,0.042026,0.00020968725000000688,119.69975972972976,118.68085,120.10371,0.800407187837838,0.79983282,0.80179989,-0.00022307369826167064,0.00042575816349385727,0.0013687881
quarter_speed_line,22,0.044036,0.00021978764000007978,119.68525285012286,118.62211,120.10935,0.800426643710073,0.79982567,0.80187863,-0.00023388951449842779,0.0004475060677214987,0.0014307778
quarter_speed_line,23,0.046047,0.00022988323000003308,119.67075329238321,118.56341,120.115,0.8004460946928746,0.79981852,0.80195731,-0.00024470006382948416,0.0004692647062002456,0.0014927214
quarter_speed_line,24,0.048058,0.00023990658000003218,119.65626769041779,118.50481,120.12064,0.8004655228501222,0.79981136,0.80203599,-0.0002555064726810811,0.0004910192614103199,0.0015546262
quarter_speed_line,25,0.050069,0.00025000751000009425,119.64178538083534,118.44622,120.12629,0.8004849282555283,0.79980421,0.80211467,-0.0002663105712737101,0.0005127716885520881,0.0016164884
quarter_speed_line,26,0.05208,0.00026009435000001746,119.62730216216215,118.38775,120.13194,0.8005043783292383,0.79979706,0.80219334,-0.00027711761575208854,0.0005345298583800986,0.0016783276
quarter_speed_line,27,0.05409,0.00027017755000011134,119.61282471744471,118.32931,120.13758,0.8005238147911545,0.79978991,0.80227202,-0.00028792339079312045,0.0005562866899936121,0.001740162
quarter_speed_line,28,0.056001,0.00027974202000000115,119.59907800982799,118.27379,120.14294,0.8005422900737102,0.79978311,0.80234677,-0.0002981890267302212,0.0005769569509845203,0.0017989126
quarter_speed_line,29,0.058011,0.0002898281600000052,119.58461968058987,118.21535,120.14859,0.800561728353809,0.79977596,0.80242544,-0.00030899490754742034,0.000598715187585749,0.0018607712
quarter_speed_line,30,0.060022,0.00029990174000016356,119.57016371007369,118.15691,120.15411,0.8005811688206385,0.79976881,0.80250412,-0.000319799892132678,0.0006204725908078624,0.0019226422
quarter_speed_line,31,0.062033,0.00030990302000002967,119.55570233415217,118.09846,120.15961,0.8006006264373474,0.79976165,0.8025828,-0.0003306106956869778,0.0006422362079965604,0.0019845245
quarter_speed_line,32,0.064044,0.0003199703100001394,119.54124265356282,118.04002,120.1651,0.80062010076167,0.7997545,0.80266148,-0.0003414240563980343,0.0006640028052825554,0.0020464212
quarter_speed_line,33,0.066055,0.00033003470000000923,119.52679093366099,117.98158,120.17059,0.8006395748402946,0.79974735,0.80274016,-0.0003522372287823095,0.0006857684884154793,0.0021083376
quarter_speed_line,34,0.068065,0.00034010718000007656,119.51234093366108,117.92314,120.17609,0.8006590447174452,0.7997402,0.80281883,-0.000363052308907125,0.0007075369297953315,0.0021702719
quarter_speed_line,35,0.070076,0.0003501673100000935,119.49789882063881,117.8647,120.18158,0.8006785188943489,0.79973304,0.80289829,-0.00037386838962088424,0.0007293063807896805,0.0022322291
quarter_speed_line,36,0.072087,0.0003602242600000971,119.48345668304668,117.80626,120.18713,0.8006979929238329,0.79972589,0.80297816,-0.0003846846453027027,0.0007510759974773949,0.0022942086
