case,time,part,specimen_axial_strain_proxy,top_reaction_fz,bottom_reaction_fz,reaction_force_avg_compression,top_axial_stress,bottom_axial_stress,reaction_axial_stress_avg,Fz_proxy,axial_stress_proxy,reaction_over_proxy_force,force_balance_error,p_eff_proxy,q_proxy,kplastic_max,kplastic_nonzero_count
dp_high_strength,0.006032,12,-0.00020927541300008734,1.04649,-0.867504,0.956997,370.121,306.817,338.469,1.038537859175914,367.30763083538096,0.9214849430326814,0.093516,145.66138292649472,332.46937186332934,0.0,0
dp_mild_yield,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,-0.0,0.0,0.0,0
dp_mild_yield,0.000503,1,0.0,0.433946,0.0,0.216973,153.477,-0.0,76.7385,-0.0,-0.0,nan,1.0,-0.0,0.0,0.0,0
dp_mild_yield,0.001005,2,-4.130368580074206e-06,0.66218,-0.00102458,0.33160229,234.198,0.362372,117.280186,0.09074207349206857,32.093443428157244,3.65433891070369,0.99691,22.761834853538,13.997412861928863,0.0,0
dp_mild_yield,0.001508,3,-1.5709309520023362e-05,0.916065,-0.0147913,0.46542815,323.992,5.23136,164.61168,0.19702601798965613,69.68369929059216,2.362267454567523,0.96822,49.091620658084345,30.888117948761717,1.7767963e-05,41
dp_mild_yield,0.002011,4,-3.218904810003975e-05,0.553189,-0.0779902,0.3155896,195.651,27.5834,111.61720000000001,0.26007672528655784,91.98332536113026,1.2134480686508067,0.752875,63.975371829533195,42.011930297395594,7.018396e-05,95
dp_mild_yield,0.002513,5,-5.046706970004977e-05,0.553189,-0.0779902,0.3155896,195.651,27.5834,111.61720000000001,0.27271441188390333,96.45299267493854,1.1572164368575761,0.752875,61.23794179636362,52.822576317862385,0.00013190215,116
dp_mild_yield,0.003016,6,-6.86203921000661e-05,0.189083,-0.19068,0.18988149999999998,66.8744,67.4393,67.15684999999999,0.2452786502788127,86.74957694840298,0.7741460570830695,0.00420559,45.62640698737099,61.684754941547965,0.00018835922,153
dp_mild_yield,0.003519,7,-8.590377060010979e-05,0.189083,-0.19068,0.18988149999999998,66.8744,67.4393,67.15684999999999,0.2121615396483197,75.0367950422605,0.894985492256272,0.00420559,29.12929035496316,68.86125703094599,0.0002522337,198
dp_mild_yield,0.004021,8,-0.00010241743290007044,0.285679,-0.331249,0.308464,101.038,117.155,109.09649999999999,0.21496561158145322,76.02853261769037,1.4349457931001166,0.0738663,23.738985007458623,78.43432141534763,0.00030496734,235
dp_mild_yield,0.004524,9,-0.00011754942250002953,0.285679,-0.331249,0.308464,101.038,117.155,109.09649999999999,0.2685563425429183,94.98237647641271,1.148600688701679,0.0738663,34.42653133270269,90.83376771556503,0.00034415023,312
dp_mild_yield,0.005027,10,-0.0001323792000000601,0.55936,-0.426189,0.4927745,197.833,150.733,174.28300000000002,0.3531803596338327,124.91200008599506,1.3952488765538789,0.135124,55.5797735834316,103.99833975384519,0.0003771442,333
dp_mild_yield,0.00553,11,-0.0001473696520000456,0.55936,-0.426189,0.4927745,197.833,150.733,174.28300000000002,0.4335620349445301,153.3412022186734,1.1365720710833123,0.135124,75.9208826984112,116.13047928039332,0.00040582451,341
dp_mild_yield,0.006032,12,-0.00016290701300006316,0.55936,-0.426189,0.4927745,197.833,150.733,174.28300000000002,0.4837401837606574,171.08809203931207,1.0186759680973962,0.135124,86.57907906487306,126.76351946165852,0.00043803279,341
