quantity,line,region,n,rmse,mean_abs_error,max_abs_error,relative_rmse,note
PorePress_profile_t0.1,gpu_mode0_xi005,bottom,4,270.416278881,270.166255583,283.01525223,0.0103762530573,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.1,gpu_mode0_xi005,interior,92,167.729656498,155.461949213,240.747776315,0.0102500359956,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.1,gpu_mode0_xi005,top,4,141.742145871,119.275498662,246.899998964,0.225036296014,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.1,gpu_mode1_xi005_b5,all,100,236.789278405,167.534004208,576.549772898,0.014324600504,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.1,gpu_mode1_xi005_b5,bottom,4,564.569217224,564.454927547,576.549772898,0.0216565922728,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.1,gpu_mode1_xi005_b5,interior,92,215.646925393,152.878307683,535.498639141,0.0131863230991,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.1,gpu_mode1_xi005_b5,top,4,115.792660543,107.694100943,162.278737868,0.201497638836,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.5,gpu_mode0_xi005,all,100,155.187707598,120.770703757,327.178712746,0.0111849716993,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.5,gpu_mode0_xi005,bottom,4,322.26519333,322.230007861,327.178712746,0.0151245723137,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.5,gpu_mode0_xi005,interior,92,144.43387394,112.227545933,309.640624139,0.0104924024506,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.5,gpu_mode0_xi005,top,4,135.718271656,115.804029603,236.620989889,0.225560265989,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t0.5,gpu_mode1_xi005_b5,all,102,379.825581456,347.592156001,618.373665682,0.0272465301074,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.5,gpu_mode1_xi005_b5,bottom,4,613.399704764,613.380173941,618.373665682,0.0287778771609,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.5,gpu_mode1_xi005_b5,interior,94,374.075498125,346.450995438,600.684516697,0.027029978242,mode=1 profile from retained raw PartCsv
PorePress_profile_t0.5,gpu_mode1_xi005_b5,top,4,118.945813655,108.62141129,154.176617189,0.216254177142,mode=1 profile from retained raw PartCsv
PorePress_profile_t1,gpu_mode0_xi005,all,100,211.814914294,177.576120286,375.676684695,0.0184716148018,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t1,gpu_mode0_xi005,bottom,4,372.588366887,372.576005791,375.676684695,0.020906950781,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t1,gpu_mode0_xi005,interior,92,203.944371109,170.165194663,365.160189135,0.0179488224894,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t1,gpu_mode0_xi005,top,4,161.773938375,153.027524128,243.147808909,0.317285814213,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t1,gpu_mode1_xi005_b5,all,116,459.806688131,424.884313343,664.953433397,0.0383293711478,mode=1 profile from retained raw PartCsv
PorePress_profile_t1,gpu_mode1_xi005_b5,bottom,5,661.717619718,661.711525371,664.953433397,0.0371358529177,mode=1 profile from retained raw PartCsv
PorePress_profile_t1,gpu_mode1_xi005_b5,interior,107,456.572847996,426.696772454,654.031005225,0.0384274694999,mode=1 profile from retained raw PartCsv
PorePress_profile_t1,gpu_mode1_xi005_b5,top,4,87.3715336127,80.3670171002,108.839694597,0.187074833169,mode=1 profile from retained raw PartCsv
PorePress_profile_t2,gpu_mode0_xi005,all,100,147.958786241,129.191858078,265.045467715,0.0172877855621,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t2,gpu_mode0_xi005,bottom,4,237.693899743,237.689345726,239.096153807,0.0173522092592,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t2,gpu_mode0_xi005,interior,92,138.79693505,120.673604491,234.070624071,0.0164197335748,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t2,gpu_mode0_xi005,top,4,218.428751663,216.614202927,265.045467715,0.576926602982,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t2,gpu_mode1_xi005_b5,all,236,384.539000396,361.981607675,524.571189834,0.0410183104613,mode=1 profile from retained raw PartCsv
PorePress_profile_t2,gpu_mode1_xi005_b5,bottom,8,523.023641762,523.021727917,524.571189834,0.0381618854419,mode=1 profile from retained raw PartCsv
PorePress_profile_t2,gpu_mode1_xi005_b5,interior,224,382.099853363,362.075246785,519.223318984,0.0412305323052,mode=1 profile from retained raw PartCsv
PorePress_profile_t2,gpu_mode1_xi005_b5,top,4,34.9311088416,34.6575769962,40.5815986145,0.100474127254,mode=1 profile from retained raw PartCsv
PorePress_profile_t3.6,gpu_mode0_xi005,all,100,150.704207043,136.572206651,287.033870445,0.0228149873435,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t3.6,gpu_mode0_xi005,bottom,4,74.8637071709,74.863093119,75.3669542257,0.0068492748697,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t3.6,gpu_mode0_xi005,interior,92,145.847217188,133.458284414,257.74889723,0.022443646582,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t3.6,gpu_mode0_xi005,top,4,270.08689036,269.901531636,287.033870445,0.952091054684,mode=0 profile recovered approximately from retained SVG
PorePress_profile_t3.6,gpu_mode1_xi005_b5,all,426,169.070772881,157.368286469,211.401182829,0.0224357032049,mode=1 profile from retained raw PartCsv
PorePress_profile_t3.6,gpu_mode1_xi005_b5,bottom,27,210.585910207,210.585437601,211.401182829,0.0192508326955,mode=1 profile from retained raw PartCsv
PorePress_profile_t3.6,gpu_mode1_xi005_b5,interior,393,167.123887808,155.792096156,209.687328231,0.0228841969325,mode=1 profile from retained raw PartCsv
PorePress_profile_t3.6,gpu_mode1_xi005_b5,top,6,23.022798389,21.1315719119,41.0570498668,0.0785551027975,mode=1 profile from retained raw PartCsv
bottom_excess_time,gpu_mode0_xi005,bottom_time,36,550.170560942,528.109579312,714.778503019,0.0759352616358,"time-series metric, t=0 omitted"
bottom_porepress_time,gpu_mode0_xi005,bottom_time,36,549.166745118,526.993718523,713.84173434,0.0339223280921,"time-series metric, t=0 omitted"
excess_envelope_time,gpu_mode0_xi005,bottom_time,36,549.394983208,527.412174996,713.882078129,0.0758282153808,"time-series metric, t=0 omitted"
bottom_excess_time,gpu_mode0_xi010,bottom_time,36,585.501328773,544.162895404,922.991223691,0.0808116605011,"time-series metric, t=0 omitted"
bottom_porepress_time,gpu_mode0_xi010,bottom_time,36,584.580332563,543.054296186,922.681721172,0.0361098446214,"time-series metric, t=0 omitted"
excess_envelope_time,gpu_mode0_xi010,bottom_time,36,584.676965609,543.472785989,920.248789191,0.0806978808171,"time-series metric, t=0 omitted"
bottom_excess_time,gpu_mode1_xi005_b5,bottom_time,36,550.176485428,528.19979379,714.799336349,0.0759360793411,"time-series metric, t=0 omitted"
bottom_porepress_time,gpu_mode1_xi005_b5,bottom_time,36,549.17237651,527.083850686,713.86261904,0.0339226759463,"time-series metric, t=0 omitted"
excess_envelope_time,gpu_mode1_xi005_b5,bottom_time,36,549.403129854,527.504417012,713.900582269,0.0758293397916,"time-series metric, t=0 omitted"
